store_id,retailer,store_name,current_address,current_city
7678835,Be Pharm,BE אוסישקין,,
7696681,Be Pharm,BE אפרת,,
7695467,Be Pharm,BE אריאל,,
7493106,Be Pharm,BE באר שבע,,
12398859,Be Pharm,BE בלוך גבעתיים,,
12398862,Be Pharm,BE דיזנגוף סנטר,,
7693109,Be Pharm,BE מעלה אדומים,,מעלה אדומים
7444642,Be Pharm,BE נתיבות,,
12398876,Be Pharm,BE נתניה,,
7505954,Be Pharm,BE עיןשמר,,עין שמר
7694327,Be Pharm,BE קרית גת-כרמי גת,BE קרית גת-כרמי גת,
12398878,Be Pharm,BE ראש העין,,
12633086,Be Pharm,BE ראשי,,
7600463,Be Pharm,BE רמלה נווה דורון,,
12398879,Be Pharm,BE רמת גן,,
16678063,Be Pharm,Be Pharm Store 017,,
17100928,Be Pharm,Be Pharm Store 020,,
7661630,Be Pharm,Be Pharm Store 703,,
7687784,Be Pharm,Be Pharm Store 779,,
7700040,Be Pharm,Be Pharm Store 819,,
7708332,Be Pharm,Be Pharm Store 869,,
17135780,Good Pharm,Good Pharm Store 048,,
17135777,Good Pharm,Good Pharm Store 051,,
17135779,Good Pharm,Good Pharm Store 070,,
17135775,Good Pharm,Good Pharm Store 073,,
17135774,Good Pharm,Good Pharm Store 075,,
17135773,Good Pharm,Good Pharm Store 083,,
17135772,Good Pharm,Good Pharm Store 085,,
17135771,Good Pharm,Good Pharm Store 086,,
11248421,Good Pharm,Good Pharm Store 257,,
11248416,Good Pharm,Good Pharm Store 456,,
11248420,Good Pharm,Good Pharm Store 482,,
11248419,Good Pharm,Good Pharm Store 502,,
11248418,Good Pharm,Good Pharm Store 757,,
11248417,Good Pharm,Good Pharm Store 914,,
17135752,Super-Pharm,Super-Pharm Store 001,,
17135824,Super-Pharm,Super-Pharm Store 002,,
17135800,Super-Pharm,Super-Pharm Store 004,,
17135801,Super-Pharm,Super-Pharm Store 005,,
17135802,Super-Pharm,Super-Pharm Store 006,,
17135760,Super-Pharm,Super-Pharm Store 007,,
17135761,Super-Pharm,Super-Pharm Store 008,,
17135762,Super-Pharm,Super-Pharm Store 009,,
17135763,Super-Pharm,Super-Pharm Store 010,,
17135757,Super-Pharm,Super-Pharm Store 012,,
17135758,Super-Pharm,Super-Pharm Store 013,,
17135759,Super-Pharm,Super-Pharm Store 014,,
17134781,Super-Pharm,Super-Pharm Store 015,,
17135753,Super-Pharm,Super-Pharm Store 016,,
17135754,Super-Pharm,Super-Pharm Store 017,,
17135755,Super-Pharm,Super-Pharm Store 018,,
17135756,Super-Pharm,Super-Pharm Store 020,,
17135750,Super-Pharm,Super-Pharm Store 024,,
17135751,Super-Pharm,Super-Pharm Store 025,,
17135748,Super-Pharm,Super-Pharm Store 026,,
17135825,Super-Pharm,Super-Pharm Store 027,,
17135749,Super-Pharm,Super-Pharm Store 028,,
17135826,Super-Pharm,Super-Pharm Store 029,,
17135803,Super-Pharm,Super-Pharm Store 030,,
17135741,Super-Pharm,Super-Pharm Store 032,,
17135804,Super-Pharm,Super-Pharm Store 033,,
17135805,Super-Pharm,Super-Pharm Store 035,,
17135806,Super-Pharm,Super-Pharm Store 036,,
17135807,Super-Pharm,Super-Pharm Store 038,,
17135742,Super-Pharm,Super-Pharm Store 039,,
17135808,Super-Pharm,Super-Pharm Store 040,,
17135743,Super-Pharm,Super-Pharm Store 042,,
17135744,Super-Pharm,Super-Pharm Store 043,,
17135745,Super-Pharm,Super-Pharm Store 044,,
17135809,Super-Pharm,Super-Pharm Store 045,,
17135810,Super-Pharm,Super-Pharm Store 046,,
17135811,Super-Pharm,Super-Pharm Store 047,,
17135746,Super-Pharm,Super-Pharm Store 048,,
17135812,Super-Pharm,Super-Pharm Store 049,,
17135747,Super-Pharm,Super-Pharm Store 050,,
17135813,Super-Pharm,Super-Pharm Store 051,,
17135814,Super-Pharm,Super-Pharm Store 052,,
17135815,Super-Pharm,Super-Pharm Store 053,,
17135816,Super-Pharm,Super-Pharm Store 054,,
17135817,Super-Pharm,Super-Pharm Store 055,,
17135818,Super-Pharm,Super-Pharm Store 056,,
17135819,Super-Pharm,Super-Pharm Store 057,,
17135820,Super-Pharm,Super-Pharm Store 059,,
17135821,Super-Pharm,Super-Pharm Store 061,,
17135822,Super-Pharm,Super-Pharm Store 064,,
17135823,Super-Pharm,Super-Pharm Store 065,,
17135764,Super-Pharm,Super-Pharm Store 066,,
17135765,Super-Pharm,Super-Pharm Store 067,,
17135766,Super-Pharm,Super-Pharm Store 068,,
17135767,Super-Pharm,Super-Pharm Store 071,,
17135768,Super-Pharm,Super-Pharm Store 072,,
17135769,Super-Pharm,Super-Pharm Store 073,,
17135770,Super-Pharm,Super-Pharm Store 074,,
17135776,Super-Pharm,Super-Pharm Store 075,,
17135778,Super-Pharm,Super-Pharm Store 076,,
17135781,Super-Pharm,Super-Pharm Store 077,,
17135782,Super-Pharm,Super-Pharm Store 078,,
17135783,Super-Pharm,Super-Pharm Store 079,,
17135784,Super-Pharm,Super-Pharm Store 081,,
17135785,Super-Pharm,Super-Pharm Store 082,,
17135786,Super-Pharm,Super-Pharm Store 083,,
17135787,Super-Pharm,Super-Pharm Store 084,,
17135788,Super-Pharm,Super-Pharm Store 085,,
17135789,Super-Pharm,Super-Pharm Store 086,,
17135790,Super-Pharm,Super-Pharm Store 087,,
17135791,Super-Pharm,Super-Pharm Store 088,,
17135792,Super-Pharm,Super-Pharm Store 090,,
17135793,Super-Pharm,Super-Pharm Store 091,,
17135794,Super-Pharm,Super-Pharm Store 093,,
17135795,Super-Pharm,Super-Pharm Store 094,,
17135796,Super-Pharm,Super-Pharm Store 095,,
17135797,Super-Pharm,Super-Pharm Store 096,,
17135798,Super-Pharm,Super-Pharm Store 097,,
17135799,Super-Pharm,Super-Pharm Store 098,,
