barcode,product_name,retailer_name,suspicious_price,median_price_for_barcode,reason_for_flag
0022796970053,חלב קוקוס שמפו (₪9.32 ל-),Super-Pharm,9.32,9.32,Suspiciously Low Price
0022796970060,חלב קוקוס מרכך (₪9.32 ל-),Super-Pharm,9.32,9.32,Suspiciously Low Price
0022796976116,שמן ארגן שמפו (₪9.32 ל-),Super-Pharm,9.32,9.32,Suspiciously Low Price
0022796976703,ביוטין וקולגן שמפו (₪9.32 ל-),Super-Pharm,9.32,9.32,Suspiciously Low Price
0022796976710,ביוטין וקולגן מרכך (₪9.32 ל-),Super-Pharm,9.32,9.32,Suspiciously Low Price
0022796977519,שמן קרטין שמפו (₪9.32 ל-),Super-Pharm,9.32,9.32,Suspiciously Low Price
0025675301108,חמצוצים מקלות חמוצים תות 50 גרם,Super-Pharm,6.9,6.9,Suspiciously Low Price
0025675301122,חמצוצים מקלות חמוצים פירות יער 50 גרם,Super-Pharm,7.9,7.9,Suspiciously Low Price
0025675301184,חמצוצים מקלות חמוצים קולה 50 גרם,Super-Pharm,6.9,6.9,Suspiciously Low Price
0036000183399,ליטל סווימרס בגד-ים חד פעמי 7- מידה S/M (₪3.74 ליחידה),Super-Pharm,3.74,3.74,Suspected Unit Price (Keyword)
0036000516876,לושן-טישו ממחטות אף 3 שכבות מסייע במניעת אף אדום ומגורה,Super-Pharm,2.0,2.0,Suspiciously Low Price
0038000232169,פרינגלס אורגינל 67 גרם,Super-Pharm,7.9,7.9,Suspiciously Low Price
0051131000148,"3M נקסקר אגד רפואי דביק מנייר - עדין ונושם ""0.5 9.14 מטר (₪1.42 ל-1 מטר)",Super-Pharm,1.42,1.42,Suspiciously Low Price
0051131000155,"3M נקסקר אגד רפואי דביק מנייר - עדין ונושם ""1 9.14 מטר (₪2.07 ל-1 מטר)",Super-Pharm,2.07,2.07,Suspiciously Low Price
0051131000162,"3M נקסקר אגד רפואי דביק מנייר - עדין ונושם ""2 9.14 מטר (₪3.38 ל-1 מטר)",Super-Pharm,3.38,3.38,Suspiciously Low Price
0051131000209,"3M נקסקר אגד רפואי דביק מבד - עמיד וחזק ""1 9.14 מטר (₪3.38 ל-1 מטר)",Super-Pharm,3.38,3.38,Suspiciously Low Price
0051131566613,"3M נקסקר אגד רפואי דביק שקוף - גמיש במיוחד ""2 9.14 מטר (₪4.04 ל-1 מטר)",Super-Pharm,4.04,4.04,Suspiciously Low Price
0051131664296,"3M נקסקר אגד רפואי דביק מנייר - עדין ונושם ""1 9.14 מטר (₪2.29 ל-1 מטר)",Super-Pharm,2.29,2.29,Suspiciously Low Price
