barcode,product_name,retailer_name,suspicious_price,median_price_for_barcode,price_ratio,retailer_count,reason_for_flag
7290019541141,"סבון לניקוי בקבוקים לבנדר 500 מל (₪0.11 ל-1 מ""ר)",Be Pharm,49.5,24.805,450.0,2,Unit/Package Mismatch (Same barcode has 450.0x price variance)
7290019541141,"סבון לניקוי בקבוקים לבנדר 500 מל (₪0.11 ל-1 מ""ר)",Super-Pharm,0.11,24.805,450.0,2,Unit/Package Mismatch (Lowest price for barcode with 450.0x variance)
7290002921516,סופג לחות לשימוש חוזר 450 גר' (₪0.12 ל-),Good Pharm,38.9,19.509999999999998,324.1666666666667,2,Unit/Package Mismatch (Same barcode has 324.2x price variance)
7290002921516,סופג לחות לשימוש חוזר 450 גר' (₪0.12 ל-),Super-Pharm,0.12,19.509999999999998,324.1666666666667,2,Unit/Package Mismatch (Lowest price for barcode with 324.2x variance)
7290012193071,ג'ורדן קיסמי שיניים דקים דו צדדיים מארז זוג (₪0.15 ליחידה),Be Pharm,30.9,15.524999999999999,206.0,2,Unit/Package Mismatch (Same barcode has 206.0x price variance)
7290012193071,ג'ורדן קיסמי שיניים דקים דו צדדיים מארז זוג (₪0.15 ליחידה),Super-Pharm,0.15,15.524999999999999,206.0,2,Unit/Package Mismatch (Lowest price for barcode with 206.0x variance)
7290014775510,ויטמין D-400 כמוסות רכות,Super-Pharm,0.4,41.9,153.75,3,Unit/Package Mismatch (Lowest price for barcode with 153.8x variance)
7290014775510,ויטמין D-400 כמוסות רכות,Good Pharm,41.9,41.9,153.75,3,Unit/Package Mismatch (Same barcode has 153.8x price variance)
7290014775510,ויטמין D-400 כמוסות רכות,Be Pharm,61.5,41.9,153.75,3,Unit/Package Mismatch (Same barcode has 153.8x price variance)
7290019075271,פרוקטו סופט מגבונים היגיינים,Super-Pharm,0.24,34.9,149.58333333333334,3,Unit/Package Mismatch (Lowest price for barcode with 149.6x variance)
7290019075271,פרוקטו סופט מגבונים היגיינים,Good Pharm,34.9,34.9,149.58333333333334,3,Unit/Package Mismatch (Same barcode has 149.6x price variance)
7290019075271,פרוקטו סופט מגבונים היגיינים,Be Pharm,35.9,34.9,149.58333333333334,3,Unit/Package Mismatch (Same barcode has 149.6x price variance)
7290013142917,מולטי ויטמין+Q10 גילאי 50+ אלטמן,Be Pharm,313.0,207.9,134.91379310344828,3,Unit/Package Mismatch (Same barcode has 134.9x price variance)
7290013142917,מולטי ויטמין+Q10 גילאי 50+ אלטמן,Good Pharm,207.9,207.9,134.91379310344828,3,Unit/Package Mismatch (Same barcode has 134.9x price variance)
7290013142917,מולטי ויטמין+Q10 גילאי 50+ אלטמן,Super-Pharm,2.32,207.9,134.91379310344828,3,Unit/Package Mismatch (Lowest price for barcode with 134.9x variance)
7290010318087,אלספה SUPER,Be Pharm,206.0,103.84,122.61904761904762,2,Unit/Package Mismatch (Same barcode has 122.6x price variance)
7290010318087,אלספה SUPER,Super-Pharm,1.68,103.84,122.61904761904762,2,Unit/Package Mismatch (Lowest price for barcode with 122.6x variance)
7290019501688,פרוקטו סופט מגבונים נשטפים באסלה,Be Pharm,40.9,39.9,120.29411764705881,3,Unit/Package Mismatch (Same barcode has 120.3x price variance)
7290019501688,פרוקטו סופט מגבונים נשטפים באסלה,Good Pharm,39.9,39.9,120.29411764705881,3,Unit/Package Mismatch (Same barcode has 120.3x price variance)
7290019501688,פרוקטו סופט מגבונים נשטפים באסלה,Super-Pharm,0.34,39.9,120.29411764705881,3,Unit/Package Mismatch (Lowest price for barcode with 120.3x variance)
7610458017517,עץ מיקרו 1751 (₪0.39 ליחידה),Super-Pharm,0.39,20.145,102.3076923076923,2,Unit/Package Mismatch (Lowest price for barcode with 102.3x variance)
7610458017500,קיסמי עץ 1750 (₪0.39 ליחידה),Be Pharm,39.9,20.145,102.3076923076923,2,Unit/Package Mismatch (Same barcode has 102.3x price variance)
7610458017500,קיסמי עץ 1750 (₪0.39 ליחידה),Super-Pharm,0.39,20.145,102.3076923076923,2,Unit/Package Mismatch (Lowest price for barcode with 102.3x variance)
7610458017517,עץ מיקרו 1751 (₪0.39 ליחידה),Be Pharm,39.9,20.145,102.3076923076923,2,Unit/Package Mismatch (Same barcode has 102.3x price variance)
7610458017555,שיניים פרש סטיק מעץ גודל מדיום בטעם מנטה (₪0.41 ליחידה),Super-Pharm,0.41,20.154999999999998,97.3170731707317,2,Unit/Package Mismatch (Lowest price for barcode with 97.3x variance)
7610458017555,שיניים פרש סטיק מעץ גודל מדיום בטעם מנטה (₪0.41 ליחידה),Be Pharm,39.9,20.154999999999998,97.3170731707317,2,Unit/Package Mismatch (Same barcode has 97.3x price variance)
5029053579986,טישו ממחטות אף 3 שכבות (₪0.20 ליחידה),Good Pharm,16.9,8.549999999999999,84.49999999999999,2,Unit/Package Mismatch (Same barcode has 84.5x price variance)
5029053579986,טישו ממחטות אף 3 שכבות (₪0.20 ליחידה),Super-Pharm,0.2,8.549999999999999,84.49999999999999,2,Unit/Package Mismatch (Lowest price for barcode with 84.5x variance)
7046110063460,ג'ורדן קיסמים שיניים דקים במיוחד דו צדדיים (₪0.18 ליחידה),Be Pharm,15.0,7.59,83.33333333333334,2,Unit/Package Mismatch (Same barcode has 83.3x price variance)
7046110063460,ג'ורדן קיסמים שיניים דקים במיוחד דו צדדיים (₪0.18 ליחידה),Super-Pharm,0.18,7.59,83.33333333333334,2,Unit/Package Mismatch (Lowest price for barcode with 83.3x variance)
7038513909018,ג'ורדן קיסמי שיניים דקים דו צדדיים (₪0.25 ליחידה),Super-Pharm,0.25,10.125,80.0,2,Unit/Package Mismatch (Lowest price for barcode with 80.0x variance)
7038513909018,ג'ורדן קיסמי שיניים דקים דו צדדיים (₪0.25 ליחידה),Be Pharm,20.0,10.125,80.0,2,Unit/Package Mismatch (Same barcode has 80.0x price variance)
7290112005953,POWER טבליות למדיח בניחוח מרענן (₪0.90 ליחידה),Good Pharm,64.9,32.900000000000006,72.11111111111111,2,Unit/Package Mismatch (Same barcode has 72.1x price variance)
7290112005953,POWER טבליות למדיח בניחוח מרענן (₪0.90 ליחידה),Super-Pharm,0.9,32.900000000000006,72.11111111111111,2,Unit/Package Mismatch (Lowest price for barcode with 72.1x variance)
7290014397842,מכשיר חשמלי+ מילוי (₪0.57 ליחידה),Good Pharm,39.9,20.235,70.0,2,Unit/Package Mismatch (Same barcode has 70.0x price variance)
7290014397842,מכשיר חשמלי+ מילוי (₪0.57 ליחידה),Super-Pharm,0.57,20.235,70.0,2,Unit/Package Mismatch (Lowest price for barcode with 70.0x variance)
7290013142450,אלטמן כורכום C3 60 קפליות (₪2.78 ליחידה),Be Pharm,173.0,139.9,62.230215827338135,3,Unit/Package Mismatch (Same barcode has 62.2x price variance)
7290013142450,אלטמן כורכום C3 60 קפליות (₪2.78 ליחידה),Super-Pharm,2.78,139.9,62.230215827338135,3,Unit/Package Mismatch (Lowest price for barcode with 62.2x variance)
7290013142450,אלטמן כורכום C3 60 קפליות (₪2.78 ליחידה),Good Pharm,139.9,139.9,62.230215827338135,3,Unit/Package Mismatch (Same barcode has 62.2x price variance)
7290113560413,צנטרום סילבר- מולטי-ויטמין בתוספת מינרלים לנשים בנות 50 ומעלה לשימוש יום-יומי 60 טבליות (₪2.87 ליחידה),Super-Pharm,2.87,149.9,61.67247386759582,3,Unit/Package Mismatch (Lowest price for barcode with 61.7x variance)
7290113560413,צנטרום סילבר- מולטי-ויטמין בתוספת מינרלים לנשים בנות 50 ומעלה לשימוש יום-יומי 60 טבליות (₪2.87 ליחידה),Be Pharm,177.0,149.9,61.67247386759582,3,Unit/Package Mismatch (Same barcode has 61.7x price variance)
7290113560413,צנטרום סילבר- מולטי-ויטמין בתוספת מינרלים לנשים בנות 50 ומעלה לשימוש יום-יומי 60 טבליות (₪2.87 ליחידה),Good Pharm,149.9,149.9,61.67247386759582,3,Unit/Package Mismatch (Same barcode has 61.7x price variance)
7253340034898,מגה פרוביוטיק גרמזה,Super-Pharm,2.53,77.765,60.474308300395265,2,Unit/Package Mismatch (Lowest price for barcode with 60.5x variance)
7253340034898,מגה פרוביוטיק גרמזה,Be Pharm,153.0,77.765,60.474308300395265,2,Unit/Package Mismatch (Same barcode has 60.5x price variance)
7290113560420,צנטרום סילבר לגילאי 50+,Be Pharm,173.5,124.9,60.45296167247387,3,Unit/Package Mismatch (Same barcode has 60.5x price variance)
7290113560420,צנטרום סילבר לגילאי 50+,Super-Pharm,2.87,124.9,60.45296167247387,3,Unit/Package Mismatch (Lowest price for barcode with 60.5x variance)
7290113560420,צנטרום סילבר לגילאי 50+,Good Pharm,124.9,124.9,60.45296167247387,3,Unit/Package Mismatch (Same barcode has 60.5x price variance)
