pack_quantity,unit_type,normalized_price,calculation,confidence,notes,retailer_product_id,barcode,original_name,canonical_name,current_price,category,store_id
,unit,,"The product name and canonical name do not specify a pack quantity or unit type explicitly. The price per unit is not provided, making it impossible to calculate a normalized pack price.",low,The product description lacks specific information about the number of units in a pack or the price per unit. Additional details are needed to determine the pack quantity and calculate the normalized price.,1409,4020400890069,ויויל סוכריות ללא סוכר טעם לימון,ויויל סוכריות ללא סוכר בטעם לימון (₪31.50 ל-),31.5,מזון ומשקאות/חטיפים וממתקים/סוכריות,52001
,ml,,"The product name 'קליניק די די אמגי 125 מל' suggests it is a 125 ml bottle. The canonical name 'DRAMATICALLY DIFFERENT MOISTUIZING ג'ל לחות (₪140 ל-)' indicates a price of ₪140, but does not specify a per-unit price or pack quantity. Therefore, the pack quantity cannot be determined.",low,"The product appears to be priced as a single unit of 125 ml, but without explicit per-unit pricing or pack information, the pack quantity remains undetermined.",1410,020714222857,קליניק די די אמגי 125 מל,DRAMATICALLY DIFFERENT MOISTUIZING ג'ל לחות (₪140 ל-),140.0,קוסמטיקה/טיפוח מותגי קוסמטיקה/קרמים/קרם לחות/ליום,52001
3.0,unit,24.9,"The product name indicates '3 יחידות' which means 3 units. The per-unit price is ₪8.30, so the pack price is 3 * ₪8.30 = ₪24.90.",high,"The original name explicitly states '3 יחידות', confirming the pack contains 3 units. The calculation aligns with the per-unit pricing provided.",1412,4891228309268,שיק סכיני סילק טאצ אפ 3 יחידות,טאצ' אפ סכיני גילוח חד פעמיים לעיצוב הגבות והסרת שיער עדין (₪8.30 ליחידה),8.3,טיפוח/גילוח והסרת שיער/גילוח והסרת שיער נשים,52001
,gram,,The product name 'BEPANTEN BABY 30GR' suggests it is a 30-gram tube. The canonical name does not provide a clear pack quantity or unit type. The current price of ₪119.67 seems to be for a single 30-gram unit.,low,"The canonical name lacks specific information about pack quantity or unit type. The price per unit is not explicitly mentioned, making it difficult to determine if the price is for a single unit or a pack.",1413,7290013092564,BEPANTEN BABY 30GR,משחת החתלה למניעה וטיפול בתפרחת חיתולים (₪119.67 ל-),119.67,טיפוח/דרמוקוסמטיקה/טיפוח לילדים ותינוקות דרמוקוסמטיקה,52001
,,,The product name 'מילקה שוקולד טריולד 280 גרם' does not specify a pack quantity or unit type. The canonical name 'מילקה TRIOLADE - שוקולד בשלוש שכבות (₪11.04 ל-)' suggests a price per unit but does not provide enough information to determine the pack size or unit type.,low,"The product appears to be a single chocolate bar with a weight of 280 grams, but without explicit pack size or unit type information, the pack quantity cannot be determined.",1416,7622210690852,מילקה שוקולד טריולד 280 גרם,מילקה TRIOLADE - שוקולד בשלוש שכבות (₪11.04 ל-),11.04,מזון ומשקאות/שוקולד/טבלאות שוקולד,52001
,,,"The product name and description do not specify a pack quantity or unit type. The price is given as ₪10.50, but there is no indication of how many units this price covers.",low,"The product description lacks specific information about the number of units or the type of units included in the price. Without additional details, it is not possible to determine the pack quantity or calculate a normalized price.",1417,7290019075585,אפקטיב קר תרחיץ פנים לכל סוגי העור,"ד""ר פישר אפקטיב קר תרחיץ פנים לכל סוגי העור (₪10.50 ל-)",10.5,טיפוח/טיפוח פנים/ניקוי פנים/מי פנים,52001
1.0,unit,4.97,"The product is priced at ₪4.97 per unit, and the current price is also ₪4.97, indicating it is a single unit.",high,"The product name does not indicate a pack or multiple units, and the price matches the per-unit price.",1419,8711700796712,אקס גל רחצה אפולו 400 מל,ג'ל רחצה לגבר אפולו (₪4.97 ל-),4.97,טיפוח/אמבט וניקוי גוף/סבונים ותחליבי רחצה,52001
,,,"The product name and canonical name do not specify a clear pack quantity or unit type. The price is given as ₪31.50, but without additional information on the number of units or the unit type, a normalized price cannot be calculated.",low,"The product description lacks specific indicators of pack size or unit type, such as 'מארז', 'יחידות', or similar terms. The price per unit is not provided, making it difficult to determine the pack quantity or calculate a normalized price.",1420,4020400890113,ויויל סוכריות ללא סוכר טעם מנטה לימון,ויויל סוכריות ללא תוספת סוכר בטעם מנטה לימון (₪31.50 ל-),31.5,מזון ומשקאות/חטיפים וממתקים/סוכריות,52001
,unit,,"The product name and pricing information do not specify a pack quantity or unit type explicitly. The price is given per unit (₪1.99 ל-), but without additional context, the pack quantity cannot be determined.",low,The product description lacks specific indicators of pack size or unit type beyond the general term 'unit'.,1422,7290116532387,פינוק אל סבון לידיים בתוספת חמאת שיאה,סבון לידיים בתוספת חמאת שיאה (₪1.99 ל-),1.99,טיפוח/אמבט וניקוי גוף/סבון ידיים נוזלי,52001
,milliliter,990.0,"The product is a toilet cleaning gel with a volume of 750 ml. The price per unit is given as ₪1.32, which likely refers to the price per 10 ml. Therefore, the pack price is calculated as 750 ml / 10 ml * ₪1.32 = ₪99.00.",medium,"The unit type is assumed to be milliliters based on the product description, but the per-unit pricing is not explicitly stated as per milliliter, leading to some uncertainty.",1423,7290114966771,סאנדיי גל לניקוי אסלה 750 מל לימון-מחודש,ג'ל לניקוי אסלה בניחוח לימון (₪1.32 ל-),1.32,לבית/ניקיון ותחזוקת הבית/ניקוי אמבטיה ושירותים/נוזל לניקוי אסלה,52001
