retailer_product_id,barcode,product_name,original_retailer_name,current_price,pack_size,normalized_price,store_id,can_normalize
1412,4891228309268,טאצ' אפ סכיני גילוח חד פעמיים לעיצוב הגבות והסרת שיער עדין (,שיק סכיני סילק טאצ אפ 3 יחידות,8.3,3.0,24.900000000000002,52001,True
1424,8718951187122,שיניים לילדים בגילאי 0-3 ניקוי לשיניים ראשונות אריזת זוג (₪1,אלמקס זוג מברשות שיניים לילדים 0-3,14.45,2.0,28.9,52001,True
1492,8712713883888,מבריש גמיש ורך (₪1.12 ליחידה),סטימודנט קיסם מבריש 40 יח,1.12,40.0,44.800000000000004,52001,True
1497,5713795229314,מוצץ לטקס מידה 2 BOHEME זוג (₪39.95 ליחידה),BIBS מוצץ לטקס מידה 2 BOHEME אפור,39.95,2.0,79.9,52001,True
1508,8006540156674,חיתולים מידה 5 11- (₪2.41 ליחידה),פמפרס הרמוני חיתולים שלב 5 24 יח,2.41,24.0,57.84,52001,True
1602,8710103985129,נטורל ריספונס +1M שלב 3 זוג (₪25.45 ליחידה),אוונט נטורל ריספונס זוג פטמות +1M שלב 3,25.45,2.0,50.9,52001,True
1628,7290107280020,לחות לניקוי כללי אריזת שלישייה (₪6.97 ליחידה),סנו סושי מטליות לחות לניקוי כללי שלישייה,6.97,3.0,20.91,52001,True
1629,7290113810877,גילוח רב פעמיים וונדר לנשים 5 להבים לעור רגיש (₪9.97 ליחידה),לייף מחסנית וונדר 5 להבים לנשים 4 יח,9.97,4.0,39.88,52001,True
1650,5713795110209,מוצץ לטקס מידה 1 COLOUR זוג (₪39.95 ליחידה),BIBS מוצץ לטקס מידה 1 COLOUR ורוד,39.95,2.0,79.9,52001,True
1662,8017331060070,מברשת לרווחים רגילים (₪0.72 ליחידה),ביוריפייר קיסם מברשת לרווחים רגילים 40יח,0.72,40.0,28.799999999999997,52001,True
1669,3014260836665,PRO-EXPERT מברשת שיניים להגנה מקיפה 35 רך (₪21.95 ליחידה),אורל בי פרו אקספרט להגנה מקיפה 35 רך זוג,21.95,2.0,43.9,52001,True
1700,7290111600500,ידיים נוזלי אל סבון זוג שחור-לבן אריזת זוג (₪1.59 ל-),לייף זוג סבוני ידיים 500 מל שחור לבן,1.59,2.0,3.18,52001,True
1722,7290016437621,פנטס תחתוני חיתולים מידה 4 9- (₪1.41 ליחידה),האגיס פרידום דריי פנטס מידה 4 36 יחידות,1.41,36.0,50.76,52001,True
1737,5713795229208,מוצץ לטקס מידה 1 BOHEME זוג (₪39.95 ליחידה),BIBS מוצץ לטקס מידה 1 BOHEME ורוד אפור,39.95,2.0,79.9,52001,True
1741,7046110052457,ג'ורדן חוט דנטלי מתרחב 25 מטר (₪0.96 ל-1 מטר),גורדן חוט דנטלי מתרחב 25 מטר,0.96,25.0,24.0,52001,True
1746,9001616804564,לבקבוק יום ולילה תכלת (₪21.45 ליחידה),מאם זוג ידיות לבקבוק יום ולילה תכלת,21.45,2.0,42.9,52001,True
1756,3600523816699,L'OREAL PARIS TRIPLE ACTIVE קרם לחות לפנים במרקם ג'ל לעור רג,לוריאל פעולה משולשת פרש רגיל,106.0,3.0,318.0,52001,True
1800,7290119919475,ישראל - בדי בדיקה 100% כותנה (₪0.66 ליחידה),לייף בדי בדיקה 18 יח,0.66,18.0,11.88,52001,True
1902,4008600336440,ספייס לגילאי 0-6 חודשים (₪22.95 ליחידה),נוק זוג מוצצי סיליקון ספייס 0-6 אפורכחול,22.95,2.0,45.9,52001,True
1906,7290016437645,פנטס תחתוני חיתולים מידה 5 12- (₪1.59 ליחידה),האגיס פרידום דריי פנטס מידה 5 32 יחידות,1.59,32.0,50.88,52001,True
1959,7290000205762,אקסטרה קר חיתולים מידה 3 6- (₪1.42 ליחידה),האגיס אקסטרה קר מידה 3  40 יחידות,1.42,40.0,56.8,52001,True
1965,8700216350358,אקטיב בייבי דריי חיתולים בייבי דריי מידה 1 2- (₪1.16 ליחידה),פמפרס בייבי דריי מידה 1  37 יחידות,1.16,37.0,42.919999999999995,52001,True
2025,7290113829244,לייף קולגן וחומצה היאלורונית 30 טבליות (₪4.06 ליחידה),לייף קולגן וחומצה היאלורונית 30 טבליות,4.06,30.0,121.79999999999998,52001,True
2060,7290118203346,ממחטות אף רכות במיוחד 3 שכבות - פנדה (₪0.13 ליחידה),לייף טישו קוביה לושן פנדה 76 יחידות 3 שכ,0.13,76.0,9.88,52001,True
2080,8693495041461,שיניים פחם מארז זוג (₪16.45 ליחידה),קולגייט מברשת סלים סופט זוג פחם,16.45,2.0,32.9,52001,True
2160,7290112005953,POWER טבליות למדיח בניחוח מרענן (₪0.90 ליחידה),פיניש פאוור טבליות 72 יחידות ניחוח מרענן,0.9,72.0,64.8,52001,True
2170,5713795229307,מוצץ לטקס מידה 1 BOHEME זוג (₪39.95 ליחידה),BIBS מוצץ לטקס מידה 1 BOHEME אפור,39.95,2.0,79.9,52001,True
2234,7290014331730,ג'ורדן מארז מברשות שיניים לילדים 6-9 שנים (₪10.45 ליחידה),גורדן מארז זוג מב.שיניים לילדים 6-9 ורוד,10.45,2.0,20.9,52001,True
2265,8710103985181,נטורל ריספונס +6M שלב 6 זוג (₪25.45 ליחידה),אוונט נטורל ריספונס זוג פטמות +6M שלב 6,25.45,2.0,50.9,52001,True
2316,0651080647519,חוט דנטלי עם ידית לשימוש רב פעמי מנטה (₪0.44 ליחידה),פולסר פלקרס 36 יח מנטה,0.44,36.0,15.84,52001,True
2379,7290114968539,בייביז חיתולי פרימיום מידה 2 3- (₪0.83 ליחידה),לייף בייביז חיתולי פרימיום מידה 2 24 יח,0.83,24.0,19.919999999999998,52001,True
2510,7290113560413,צנטרום סילבר- מולטי-ויטמין בתוספת מינרלים לנשים בנות 50 ומעל,צנטרום סילבר נשים 50+ מולטיויטמין 60 טב,2.87,60.0,172.20000000000002,52001,True
2522,5713795110124,מוצץ לטקס מידה 1 COLOUR זוג (₪39.95 ליחידה),BIBS מוצץ לטקס מידה 1 COLOUR ורוד חום,39.95,2.0,79.9,52001,True
2570,7702018441075,ג'ילט מארז סכיני גילוח פיוז'ן ידני 12 סכינים (₪15.16 ליחידה),גילט מארז סכינים פיוזן ידני 12 יחידות,15.16,12.0,181.92000000000002,52001,True
2586,8700216350310,אקטיב בייבי דריי חיתולים בייבי דריי מידה 4+ 10- (₪1.53 ליחיד,פמפרס בייבי דריי מידה 4+  28 יחידות,1.53,28.0,42.84,52001,True
2607,7290108459760,לייף חטיפי חרובים בטעם שוקולד 6 מטריות חרובים (₪3.65 ליחידה),לייף תופינית 6 מטריות שוקולד חרובים שקית,3.65,6.0,21.9,52001,True
2614,5410103161617,L'OREAL PARIS TRIPLE ACTIVE קרם יום עם הפעולה המשולשת לעור י,לוריאל פעולה משולשת יבש ועדין,106.0,3.0,318.0,52001,True
