query,code,product_name,description,price,formatted_price,unit_description,brand,image_url,image_path
בייגלה,P_7290106574977,בייגלה שטוחים מלח,בייגלה שטוחים מלח,13.3,13.30 ₪,300 גרם,אסם,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/SXE64_M_P_7290106574977_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/בייגלה/P_7290106574977.jpg
בייגלה,P_7290106574953,בייגלה שטוחים שומשום,בייגלה שטוחים שומשום,13.3,13.30 ₪,300 גרם,אסם,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/SWG58_M_P_7290106574953_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/בייגלה/P_7290106574953.jpg
בייגלה,P_71008,בייגלה שטוח מלח,בייגלה שטוח מלח,4.5,4.50 ₪,60 גרם,אסם,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/AAB16_M_P_71008_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/בייגלה/P_71008.jpg
בייגלה,P_7290106570177,"בייגלה שטוחים מלח כשל""פ","בייגלה שטוחים מלח כשל""פ",14.9,14.90 ₪,250 גרם,אסם,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/LUO52_M_P_7290106570177_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/בייגלה/P_7290106570177.jpg
בייגלה,P_7290017928685,בייגלה שמיניות מלח,בייגלה שמיניות מלח,12.9,12.90 ₪,400 גרם,מאיר בייגל,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/DIK64_M_P_7290017928685_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/בייגלה/P_7290017928685.jpg
בייגלה,P_7290017928098,בייגלה שטוחל'ה מלח,בייגלה שטוחל'ה מלח,12.9,12.90 ₪,330 גרם,מאיר בייגל,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/CLV62_M_P_7290017928098_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/בייגלה/P_7290017928098.jpg
בייגלה,P_7290017928616,בייגלה שטוחלה שומשום,בייגלה שטוחלה שומשום,12.9,12.90 ₪,300 גרם,מאיר בייגל,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/DFT58_M_P_7290017928616_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/בייגלה/P_7290017928616.jpg
בייגלה,P_7290017928227,בייגלה שטוחלה פינוקים,בייגלה שטוחלה פינוקים,12.9,12.90 ₪,300 גרם,מאיר בייגל,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/CQU56_M_P_7290017928227_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/בייגלה/P_7290017928227.jpg
בייגלה,P_7290118420477,בייגלה שטוחים ביסלי בצל,בייגלה שטוחים בטעם ביסלי בצל,13.3,13.30 ₪,300 גרם,אסם,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/RVI52_M_P_7290118420477_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/בייגלה/P_7290118420477.jpg
בייגלה,P_7290112491787,בייגלה דקים שומשום,בייגלה דקים שומשום,12.5,12.50 ₪,300 גרם,בייגל בייגל,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/JOU58_M_P_7290112491787_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/בייגלה/P_7290112491787.jpg
