query,code,product_name,description,price,formatted_price,unit_description,brand,image_url,image_path
ביצים,P_1201589,ביצים ארוזות L,ביצים ארוזות L,14.09,14.09 ₪,12 יחידות,לסר,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/ILY26_M_P_1201589_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/ביצים/P_1201589.jpg
ביצים,P_1201596,ביצים ארוזות M,ביצים ארוזות M,13.0,13.00 ₪,12 יחידות,לסר,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/IMF24_M_P_1201596_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/ביצים/P_1201596.jpg
ביצים,P_1201572,ביצים ארוזות XL,ביצים ארוזות XL,15.32,15.32 ₪,12 יחידות,לסר,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/ILH18_M_P_1201572_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/ביצים/P_1201572.jpg
ביצים,P_1201602,ביצים ארוזות L,ביצים ארוזות L,21.13,21.13 ₪,18 יחידות,לסר,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/IML12_M_P_1201602_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/ביצים/P_1201602.jpg
ביצים,P_1201855,ביצים אומגה 3 L,ביצים אומגה 3 L,23.9,23.90 ₪,12 יחידות,לסר,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/IWE22_M_P_1201855_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/ביצים/P_1201855.jpg
ביצים,P_1201893,ביצים אומגה M,ביצים אומגה M,21.9,21.90 ₪,12 יחידות,לסר,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/IXQ24_M_P_1201893_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/ביצים/P_1201893.jpg
ביצים,P_1201619,ביצים ארוזות M,ביצים ארוזות M,19.5,19.50 ₪,18 יחידות,לסר,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/INC20_M_P_1201619_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/ביצים/P_1201619.jpg
ביצים,P_1201862,ביצי חופש L,ביצי חופש L,21.9,21.90 ₪,12 יחידות,לסר,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/IWL20_M_P_1201862_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/ביצים/P_1201862.jpg
ביצים,P_7296073224679,ביצים חופש אורגני L,ביצים חופש אורגני L,26.9,26.90 ₪,12 יח,גרין,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/VUE64_M_P_7296073224679_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/ביצים/P_7296073224679.jpg
ביצים,P_7296073224662,ביצים חופש אורגניות M,ביצים חופש אורגניות M,25.9,25.90 ₪,12 יחידות,גרין,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/VTN56_M_P_7296073224662_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/ביצים/P_7296073224662.jpg
