query,code,product_name,description,price,formatted_price,unit_description,brand,image_url,image_path
גבינה בולגרית,P_7290011499327,גבינה בולגרית מעודנת 5%,גבינה בולגרית מעודנת 5%,27.9,27.90 ₪,250 גרם,מחלבות גד,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/ILK54_M_P_7290011499327_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/גבינה_בולגרית/P_7290011499327.jpg
גבינה בולגרית,P_7290011499105,גבינה בולגרית מסורתית 5%,גבינה בולגרית מסורתית 5%,27.5,27.50 ₪,250 גרם,מחלבות גד,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/ICW48_M_P_7290011499105_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/גבינה_בולגרית/P_7290011499105.jpg
גבינה בולגרית,P_7290011499112,גבינה בולגרית 16%,גבינה בולגרית 16%,28.5,28.50 ₪,250 גרם,מחלבות גד,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/IDD46_M_P_7290011499112_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/גבינה_בולגרית/P_7290011499112.jpg
גבינה בולגרית,P_4120573,גבינה בולגרית פיראוס16%,גבינה בולגרית פיראוס16%,27.5,27.50 ₪,250 גרם,פיראוס,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/KMO22_M_P_4120573_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/גבינה_בולגרית/P_4120573.jpg
גבינה בולגרית,P_4120566,גבינה בולגרית פיראוס24%,גבינה בולגרית פיראוס 24%,27.5,27.50 ₪,250 גרם,פיראוס,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/KMH24_M_P_4120566_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/גבינה_בולגרית/P_4120566.jpg
גבינה בולגרית,P_7290019635222,קוביות בולגרית מעודנת16%,קוביות בולגרית מעודנת16%,24.9,24.90 ₪,200 גרם,מחלבות גד,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/FUL48_M_P_7290019635222_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/גבינה_בולגרית/P_7290019635222.jpg
גבינה בולגרית,P_7290011499129,קוביות בולגרית מעודנת 5%,קוביות בולגרית מעודנת 5% שומן,24.9,24.90 ₪,200 גרם,מחלבות גד,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/IDU54_M_P_7290011499129_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/גבינה_בולגרית/P_7290011499129.jpg
גבינה בולגרית,P_6492616,פרוסות בולגרית מעודנת 5%,פרוסות בולגרית מעודנת 5%,31.9,31.90 ₪,250 גרם,מחלבות גד,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/JKZ34_M_P_6492616_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/גבינה_בולגרית/P_6492616.jpg
גבינה בולגרית,P_7290017065236,בולגרית מעודנת 24%,בולגרית מעודנת 24%,28.5,28.50 ₪,250 גרם,מחלבות גד,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/AAV48_M_P_7290017065236_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/גבינה_בולגרית/P_7290017065236.jpg
גבינה בולגרית,P_7290110321604,קוביות בולגרית מעודנת 5%,קוביות בולגרית מעודנת 5%,24.9,24.90 ₪,200 גרם,פיראוס,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/XGF36_M_P_7290110321604_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/גבינה_בולגרית/P_7290110321604.jpg
גבינה בולגרית,P_7290116931739,פרוסות בולגרית מעודנת 5%,פרוסות בולגרית מעודנת 5%,24.9,24.90 ₪,200 גרם,פיראוס,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/ZOE58_M_P_7290116931739_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/גבינה_בולגרית/P_7290116931739.jpg
גבינה בולגרית,P_4135614,בולגרית מעודנת 5% פיראוס,בולגרית מעודנת 5% פיראוס,25.5,25.50 ₪,250 גרם,פיראוס,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/GTB24_M_P_4135614_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/גבינה_בולגרית/P_4135614.jpg
גבינה בולגרית,P_7290110320591,בולגרית מעודנת 16%,בולגרית מעודנת 16%,25.5,25.50 ₪,250 גרם,פיראוס,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/VTG40_M_P_7290110320591_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/גבינה_בולגרית/P_7290110320591.jpg
גבינה בולגרית,P_7290014761438,בולגרית 24% המעדניה,בולגרית 24% המעדניה,30.7,30.70 ₪,400 גרם,פיראוס,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/YBF52_M_P_7290014761438_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/גבינה_בולגרית/P_7290014761438.jpg
