query,code,product_name,description,price,formatted_price,unit_description,brand,image_url,image_path
גבינה צהובה,P_7296073579878,נעם צהובה 15% מגורדת,נעם גבינה צהובה 15% מגורד,79.0,79.00 ₪,כ- 300 גרם,טרה,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/BFR78_M_P_7296073579878_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/גבינה_צהובה/P_7296073579878.jpg
גבינה צהובה,P_5079665,נועם גבינה צהובה9% חריץ,נועם גבינה צהובה9% חריץ,85.0,85.00 ₪,מחיר לפי משקל,טרה,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/ZGS38_M_P_5079665_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/גבינה_צהובה/P_5079665.jpg
גבינה צהובה,P_5079290,נעם גבינה צהובה 15% במשק,נעם גבינה צהובה 15% במשקל,79.0,79.00 ₪,מחיר לפי משקל,טרה,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/YSH32_M_P_5079290_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/גבינה_צהובה/P_5079290.jpg
גבינה צהובה,P_7296073626640,נועם גבינה צהובה9% פרוס,"""נעם גבינה צהובה9% פרוס",85.0,85.00 ₪,כ- 200 גרם,טרה,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/SKF58_M_P_7296073626640_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/גבינה_צהובה/P_7296073626640.jpg
גבינה צהובה,P_9954234,נועם גבינה צהובה 9% חריץ,נעם גבינה צהובה 9% במשקל,85.0,85.00 ₪,מחיר לפי משקל,טרה,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/IED36_M_P_9954234_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/גבינה_צהובה/P_9954234.jpg
גבינה צהובה,P_7290102395415,נועם גבינה צהובה9% חריץ,נעם גבינה צהובה 9% במשקל,85.0,85.00 ₪,מחיר לפי משקל,טרה,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/YCU48_M_P_7290102395415_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/גבינה_צהובה/P_7290102395415.jpg
גבינה צהובה,P_7296073453536,גב.נעם 15% פרוס ארוז,נעם גבינה צהובה 15% פרוס ארוז,79.0,79.00 ₪,כ-400 גרם פרוס,טרה,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/WIJ60_M_P_7296073453536_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/גבינה_צהובה/P_7296073453536.jpg
גבינה צהובה,P_7296073453529,גב.נעם 9% פרוס ארוז,נעם גבינה צהובה 9% פרוס ארוז,85.0,85.00 ₪,כ-400 גרם,טרה,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/WIC62_M_P_7296073453529_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/גבינה_צהובה/P_7296073453529.jpg
גבינה צהובה,P_46136,גבינה גלבוע 22%,גבינה גלבוע 22%,49.03,49.03 ₪,מחיר לפי משקל,גלבוע,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/PFL20_M_P_46136_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/גבינה_צהובה/P_46136.jpg
גבינה צהובה,P_7296073453444,גב.עמק 28% פרוס ארוז,עמק גבינה צהובה 28% פרוס ארוז,51.58,51.58 ₪,כ-400 גרם,עמק,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/WEV58_M_P_7296073453444_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/גבינה_צהובה/P_7296073453444.jpg
גבינה צהובה,P_7290102395422,נעם גבינה צהובה22% במשק,נעם גבינה צהובה 22% במשקל,49.03,49.03 ₪,מחיר לפי משקל,טרה,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/YDB46_M_P_7290102395422_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/גבינה_צהובה/P_7290102395422.jpg
גבינה צהובה,P_5079672,נעם גבינה צהובה22% משקל,נעם גבינה צהובה22% במשקל,49.03,49.03 ₪,מחיר לפי משקל,טרה,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/ZGZ36_M_P_5079672_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/גבינה_צהובה/P_5079672.jpg
גבינה צהובה,P_7296073453628,גב.נעם 22% פרוס ארוז,נעם גבינה צהובה 22% פרוס,49.03,49.03 ₪,כ-400 גרם פרוס,טרה,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/WLX62_M_P_7296073453628_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/גבינה_צהובה/P_7296073453628.jpg
גבינה צהובה,P_7290102395408,נעם גבינה צהובה28% חריץ,נעם גבינה צהובה 28% במשקל,51.58,51.58 ₪,מחיר לפי משקל,טרה,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/YCN50_M_P_7290102395408_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/גבינה_צהובה/P_7290102395408.jpg
גבינה צהובה,P_5079658,נעם גבינה צהובה28% חריץ,נעם גבינה צהובה28% חריץ,51.58,51.58 ₪,מחיר לפי משקל,טרה,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/ZGL40_M_P_5079658_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/גבינה_צהובה/P_5079658.jpg
גבינה צהובה,P_7296073453611,גב.נעם 28% פרוס ארוז,נעם גבינה צהובה 28% פרוס,51.58,51.58 ₪,כ-400 גרם פרוס,טרה,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/WLG54_M_P_7296073453611_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/גבינה_צהובה/P_7296073453611.jpg
גבינה צהובה,P_7296073527497,גב.גלבוע 22% פרוס ארוז,גבינה גלבוע 22% פרוס ארוז,49.03,49.03 ₪,כ-200 גרם פרוס,גלבוע,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/BTA68_M_P_7296073527497_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/גבינה_צהובה/P_7296073527497.jpg
