query,code,product_name,description,price,formatted_price,unit_description,brand,image_url,image_path
גבינת עיזים,P_8695543007924,גבינת רסטה,גבינת רסטה,19.9,19.90 ₪,150 גרם,MURATBEY,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/MQF62_M_P_8695543007924_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/גבינת_עיזים/P_8695543007924.jpg
גבינת עיזים,P_369617,כדורי פטה בשמן מתובל,כדורי פטה בשמן מתובל,19.9,19.90 ₪,225 גרם,גבינות ניצן,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/ZTA32_M_P_369617_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/גבינת_עיזים/P_369617.jpg
גבינת עיזים,P_7290011064099,פינצ'וס פלפלונים+גבינה,פינצ'וס פלפלונים+גבינה,22.5,22.50 ₪,125 גרם,גבינות ניצן,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/OPW48_M_P_7290011064099_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/גבינת_עיזים/P_7290011064099.jpg
גבינת עיזים,P_5416095,גבינת עזים 5% טל,גבינת עזים 5% טל,16.5,16.50 ₪,200 גרם,מחלבת טל,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/CYI30_M_P_5416095_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/גבינת_עיזים/P_5416095.jpg
גבינת עיזים,P_6492630,גליל גבינת עיזים 16%,גליל גבינת עיזים 16%,29.5,29.50 ₪,180 גרם,מחלבות גד,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/JLN30_M_P_6492630_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/גבינת_עיזים/P_6492630.jpg
גבינת עיזים,P_3523230026826,גבינת עיזים,גבינת עיזים,29.9,29.90 ₪,140 גרם,סואניון,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/MWP42_M_P_3523230026826_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/גבינת_עיזים/P_3523230026826.jpg
גבינת עיזים,P_3523230061148,גבינת עיזים מוקצפת,גבינת עיזים מוקצפת,29.9,29.90 ₪,140 גרם,סואניון,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/LQR38_M_P_3523230061148_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/גבינת_עיזים/P_3523230061148.jpg
גבינת עיזים,P_1258668,גבינת עז מה,גבינת עז מה,19.9,19.90 ₪,250 גרם,משק יעקבס,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/OXH36_M_P_1258668_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/גבינת_עיזים/P_1258668.jpg
גבינת עיזים,P_2107491,גבינת עיזים למריחה 5%,גבינת עיזים למריחה 5%,14.9,14.90 ₪,250 גרם,משק צוריאל,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/WOI24_M_P_2107491_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/גבינת_עיזים/P_2107491.jpg
גבינת עיזים,P_2370123,גבינת עיזים רכה 29%,גבינת עיזים רכה 29%,139.0,139.00 ₪,מחיר לפי משקל,אל פסטור,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/VBO18_M_P_2370123_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/גבינת_עיזים/P_2370123.jpg
גבינת עיזים,P_7290114320238,גליל טבעוני גבינת עיזים,גליל טבעוני גבינת עיזים,16.5,16.50 ₪,160 גרם,מאמא קיו,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/KJV42_M_P_7290114320238_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/גבינת_עיזים/P_7290114320238.jpg
גבינת עיזים,P_3523230026888,גבינת עיזים שום ע.תיבול,גבינת עיזים שום ע.תיבול,29.9,29.90 ₪,140 גרם,סואניון,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/MYZ50_M_P_3523230026888_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/גבינת_עיזים/P_3523230026888.jpg
גבינת עיזים,P_7296073453505,גב. תום עיזים פרוס ארוז,תום גבינת עיזים 30% פרוס המחלבה,179.0,179.00 ₪,כ-200 גרם פרוס,המחלבה,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/WHE56_M_P_7296073453505_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/גבינת_עיזים/P_7296073453505.jpg
גבינת עיזים,P_6492852,גבינה לבנה עיזים 5% גד,גבינה לבנה עיזים 5% גד,19.9,19.90 ₪,250 גרם,מחלבות גד,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/JUB36_M_P_6492852_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/גבינת_עיזים/P_6492852.jpg
גבינת עיזים,P_3523230025638,גבינת בושה עיזים טבעית,גבינת בושה עיזים טבעית,29.9,29.90 ₪,125 גרם,סואניון,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/LCX42_M_P_3523230025638_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/גבינת_עיזים/P_3523230025638.jpg
גבינת עיזים,P_571478,גבינת תום עיזים פרוס,גבינת תום עיזים פרוס,44.9,44.90 ₪,200 גרם,המחלבה,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/MIX32_M_P_571478_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/גבינת_עיזים/P_571478.jpg
גבינת עיזים,P_6559692,גבינת קדם 5%,גבינת קדם 5%,25.9,25.90 ₪,500 גרם,חוות הבופאלו,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/EQV42_M_P_6559692_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/גבינת_עיזים/P_6559692.jpg
גבינת עיזים,P_6559784,דבקה גבינה צ'רקסית,דבקה גבינה צ'רקסית חצי קשה 19% שומן,28.9,28.90 ₪,250 גרם,חוות הבופאלו,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/EUJ44_M_P_6559784_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/גבינת_עיזים/P_6559784.jpg
גבינת עיזים,P_6559265,מוצרלה די בופאלו,מוצרלה די בופאלו,38.9,38.90 ₪,250 גרם,חוות הבופאלו,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/EAK38_M_P_6559265_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/גבינת_עיזים/P_6559265.jpg
גבינת עיזים,P_6559807,בלה מוצרלה 18% שומן,בלה מוצרלה 18% שומן,27.5,27.50 ₪,150 גרם,חוות הבופאלו,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/EVG40_M_P_6559807_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/גבינת_עיזים/P_6559807.jpg
גבינת עיזים,P_6559340,בוקנצ'ני די בופאלו,בוקנצ'ני די בופאלו,27.9,27.90 ₪,150 גרם,חוות הבופאלו,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/EDH32_M_P_6559340_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/גבינת_עיזים/P_6559340.jpg
גבינת עיזים,P_7290017065663,פטה עיזים מעודנת 16%,פטה עיזים מעודנת 16%,35.9,35.90 ₪,250 גרם,מחלבות גד,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/ARG52_M_P_7290017065663_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/גבינת_עיזים/P_7290017065663.jpg
