query,code,product_name,description,price,formatted_price,unit_description,brand,image_url,image_path
גבינת פטה,P_7290011499051,גבינה פטה כבשים 20%,גבינה פטה כבשים 20%,33.5,33.50 ₪,250 גרם,מחלבות גד,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/IAU48_M_P_7290011499051_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/גבינת_פטה/P_7290011499051.jpg
גבינת פטה,P_7290019635055,קוביות פטה עזים מעודנת9%,קוביות פטה עיזים מעודנת9%,33.9,33.90 ₪,200 גרם,מחלבות גד,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/FOA52_M_P_7290019635055_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/גבינת_פטה/P_7290019635055.jpg
גבינת פטה,P_7290011499303,פטה מעודנת עיזים 5%,פטה מעודנת עיזים 5%,35.9,35.90 ₪,250 גרם,מחלבות גד,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/IKM48_M_P_7290011499303_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/גבינת_פטה/P_7290011499303.jpg
גבינת פטה,P_7290017065663,פטה עיזים מעודנת 16%,פטה עיזים מעודנת 16%,35.9,35.90 ₪,250 גרם,מחלבות גד,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/ARG52_M_P_7290017065663_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/גבינת_פטה/P_7290017065663.jpg
גבינת פטה,P_7290011499358,פטה עיזים 20% שומן,פטה עיזים 20% שומן,30.5,30.50 ₪,200 גרם,מחלבות גד,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/IMP58_M_P_7290011499358_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/גבינת_פטה/P_7290011499358.jpg
גבינת פטה,P_4121839,פטה כבשים 20% פיראוס,פטה כבשים 20% פיראוס,27.9,27.90 ₪,250 גרם,פיראוס,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/MJG28_M_P_4121839_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/גבינת_פטה/P_4121839.jpg
גבינת פטה,P_55015,פטה כבשים 5% פיראוס,פטה כבשים 5% פיראוס,27.9,27.90 ₪,250 גרם,פיראוס,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/CIY16_M_P_55015_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/גבינת_פטה/P_55015.jpg
גבינת פטה,P_49458,פטה עיזים 16% פיראוס,פטה עיזים 16% פיראוס,27.9,27.90 ₪,250 גרם,פיראוס,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/UDF30_M_P_49458_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/גבינת_פטה/P_49458.jpg
גבינת פטה,P_7296073641902,פטה כבשים 20%,פטה כבשים 20% שומן,27.9,27.90 ₪,250 גרם,שופרסל,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/OZF56_M_P_7296073641902_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/גבינת_פטה/P_7296073641902.jpg
גבינת פטה,P_7290114310550,פטה עיזים מעודנת 5%,פטה עיזים מעודנת 5%,31.9,31.90 ₪,200 גרם,משק צוריאל,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/WBF38_M_P_7290114310550_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/גבינת_פטה/P_7290114310550.jpg
