query,code,product_name,description,price,formatted_price,unit_description,brand,image_url,image_path
גבינת שמנת,P_7290011499624,גבינת שמנת 30%טבעי,גבינת שמנת 30%טבעי,16.9,16.90 ₪,200 גרם,מחלבות גד,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/IWV54_M_P_7290011499624_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/גבינת_שמנת/P_7290011499624.jpg
גבינת שמנת,P_554969,גבינת שמנת 30% שומן,גבינת שמנת 30% שומן,52.0,52.00 ₪,מחיר לפי משקל,מחלבות גד,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/NXY38_M_P_554969_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/גבינת_שמנת/P_554969.jpg
גבינת שמנת,P_7290019635369,גבינת שמנת 16%,גבינת שמנת 16%,16.9,16.90 ₪,200 גרם,מחלבות גד,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/GAC60_M_P_7290019635369_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/גבינת_שמנת/P_7290019635369.jpg
גבינת שמנת,P_7290019635116,גבינת שמנת זיתים 5%,גבינת שמנת זיתים 5%,15.5,15.50 ₪,200 גרם,מחלבות גד,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/FQJ50_M_P_7290019635116_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/גבינת_שמנת/P_7290019635116.jpg
גבינת שמנת,P_7290019635376,גבינת שמנת גורגונזולה24%,גבינת שמנת גורגונזולה24%,16.9,16.90 ₪,200 גרם,מחלבות גד,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/GAJ58_M_P_7290019635376_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/גבינת_שמנת/P_7290019635376.jpg
גבינת שמנת,P_7290019635383,גבינת שמנת ריבת בצל 24%,גבינת שמנת ריבת בצל 24%,16.9,16.90 ₪,200 גרם,מחלבות גד,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/GAQ56_M_P_7290019635383_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/גבינת_שמנת/P_7290019635383.jpg
גבינת שמנת,P_5992902,גבינת שמנת ירקות 30%,גבינת שמנת ירקות 30%,52.0,52.00 ₪,מחיר לפי משקל,מחלבות גד,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/YFF36_M_P_5992902_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/גבינת_שמנת/P_5992902.jpg
גבינת שמנת,P_5992889,גבינת שמנת שום שמיר 30%,גבינת שמנת שום שמיר 30%,52.0,52.00 ₪,מחיר לפי משקל,מחלבות גד,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/YES50_M_P_5992889_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/גבינת_שמנת/P_5992889.jpg
גבינת שמנת,P_554976,גב.שמנת 30%שומן זיתים,גבינת שמנת זיתים 30% שומן,52.0,52.00 ₪,מחיר לפי משקל,מחלבות גד,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/NYF36_M_P_554976_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/גבינת_שמנת/P_554976.jpg
גבינת שמנת,P_7296073453123,גב.שמנת גד 30% ארוז,גד גבינת שמנת 30% מחלבת גד,52.0,52.00 ₪,כ - 300 גרם,מחלבות גד,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/VSM52_M_P_7296073453123_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/גבינת_שמנת/P_7296073453123.jpg
גבינת שמנת,P_7290017065731,גב.שמנת נ.יורק+כמהין30%,גב.שמנת נ.יורק+כמהין30%,16.9,16.90 ₪,200 גרם,מחלבות גד,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/ATW48_M_P_7290017065731_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/גבינת_שמנת/P_7290017065731.jpg
גבינת שמנת,P_7296073719748,גב.שמנת שום שמיר30% ארוז,גב.שמנת שום שמיר30% ארוז,52.0,52.00 ₪,כ - 300 גרם,מחלבות גד,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/ADH70_M_P_7296073719748_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/גבינת_שמנת/P_7296073719748.jpg
גבינת שמנת,P_7296073719762,גב.שמנת זיתים30% ארוז,גב.שמנת זיתים30% ארוז,52.0,52.00 ₪,כ - 300 גרם,מחלבות גד,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/ADV66_M_P_7296073719762_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/גבינת_שמנת/P_7296073719762.jpg
גבינת שמנת,P_7290108502541,גבינת שמנת 22%,גבינת שמנת 22%,13.9,13.90 ₪,200 גרם,אירו מחלבות אירופה,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/KIG44_M_P_7290108502541_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/גבינת_שמנת/P_7290108502541.jpg
גבינת שמנת,P_7290108504378,גבינת שמנת עם זיתים,גבינת שמנת עם זיתים,13.9,13.90 ₪,200 גרם,אירו מחלבות אירופה,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/NAX54_M_P_7290108504378_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/גבינת_שמנת/P_7290108504378.jpg
גבינת שמנת,P_7290108502589,גבינת שמנת 24% עם שום,גבינת שמנת 24% עם שום,13.9,13.90 ₪,200 גרם,אירו מחלבות אירופה,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/KKC56_M_P_7290108502589_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/גבינת_שמנת/P_7290108502589.jpg
גבינת שמנת,P_7290014759084,גבינת נפוליאון 16%,גבינת נפוליאון 16%,15.9,15.90 ₪,225 גרם,נפוליאון,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/UOR56_M_P_7290014759084_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/גבינת_שמנת/P_7290014759084.jpg
