query,code,product_name,description,price,formatted_price,unit_description,brand,image_url,image_path
חלב,P_4131074,חלב בקרטון 3% שומן,חלב בקרטון 3% שומן,7.18,7.18 ₪,1 ליטר,תנובה,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/AAL20_M_P_4131074_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/חלב/P_4131074.jpg
חלב,P_7290107932080,חלב יטבתה מועשר3% בקבוק,חלב יטבתה מועשר3% בקבוק,9.0,9.00 ₪,1 ליטר,יטבתה,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/YLL48_M_P_7290107932080_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/חלב/P_7290107932080.jpg
חלב,P_42435,חלב מפוסטר 1% בקרטון,חלב מפוסטר 1% בקרטון,6.75,6.75 ₪,1 ליטר,תנובה,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/JTC18_M_P_42435_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/חלב/P_42435.jpg
חלב,P_7290110563462,חלב נטול לקטוז 2%,חלב נטול לקטוז 2%,9.8,9.80 ₪,1 ליטר,יטבתה,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/RAL46_M_P_7290110563462_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/חלב/P_7290110563462.jpg
חלב,P_7290102398065,חלב 3% בקרטון מהדרין,חלב 3% בקרטון מהדרין,14.36,14.36 ₪,2 ליטר,טרה,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/CAS52_M_P_7290102398065_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/חלב/P_7290102398065.jpg
חלב,P_56845,חלב טרי הומוגני 3% קרטון,חלב טרי הומוגני 3% קרטון,10.77,10.77 ₪,1.5 ליטר,תנובה,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/FBI28_M_P_56845_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/חלב/P_56845.jpg
חלב,P_40974,חלב טרי 2% דל לקטוז,חלב טרי 2% דל לקטוז,8.7,8.70 ₪,1 ליטר,תנובה,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/HOX24_M_P_40974_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/חלב/P_40974.jpg
חלב,P_7290116930695,חלב נטול לקטוז 2% מהדרין,חלב נטול לקטוז 2% מהדרין,9.3,9.30 ₪,1 ליטר,תנובה,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/YAA58_M_P_7290116930695_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/חלב/P_7290116930695.jpg
חלב,P_51352,חלב של פעם מלא4%-3.6%,חלב של פעם מלא 4%-3.6%,8.9,8.90 ₪,1 ליטר,תנובה,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/WYB16_M_P_51352_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/חלב/P_51352.jpg
חלב,P_7290114311328,חלב נטול לקטוז מועשר 2%,חלב נטול לקטוז מועשר 2%,9.5,9.50 ₪,1 ליטר,טרה,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/XFD42_M_P_7290114311328_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/חלב/P_7290114311328.jpg
