query,code,product_name,description,price,formatted_price,unit_description,brand,image_url,image_path
חלב סויה,P_7296073675167,משקה בריסטה סויה,משקה בריסטה סויה בתוספת סידן וויטמינים,11.9,11.90 ₪,1 ליטר,גרין,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/MEQ66_M_P_7296073675167_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/חלב_סויה/P_7296073675167.jpg
חלב סויה,P_8410128785734,ויוה סוי סויה בריסטה,ויוה סוי סויה בריסטה,12.9,12.90 ₪,1 ליטר,ויוה סוי,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/KTZ58_M_P_8410128785734_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/חלב_סויה/P_8410128785734.jpg
חלב סויה,P_5411188115472,משקה סויה אלפרו,משקה סויה אלפרו,16.9,16.90 ₪,1 ליטר,אלפרו,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/YCV48_M_P_5411188115472_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/חלב_סויה/P_5411188115472.jpg
חלב סויה,P_8263658,משקה סויה ללא תוספת סוכר,"משקה סויה ללת""ס",14.9,14.90 ₪,1 ליטר,הרדוף,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/DHZ38_M_P_8263658_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/חלב_סויה/P_8263658.jpg
חלב סויה,P_5411188081852,משקה סויה בטעם וניל,משקה סויה בטעם וניל,16.9,16.90 ₪,1 ליטר,אלפרו,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/AJT52_M_P_5411188081852_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/חלב_סויה/P_5411188081852.jpg
חלב סויה,P_5411188300328,משקה סויה בטעם שוקולד,משקה סויה בטעם שוקולד,16.9,16.90 ₪,1 ליטר,אלפרו,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/LOR44_M_P_5411188300328_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/חלב_סויה/P_5411188300328.jpg
חלב סויה,P_5411188543398,"משקה סויה לל""ס אלפרו","משקה סויה לל""ס אלפרו",16.9,16.90 ₪,1 ליטר,אלפרו,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/HDN60_M_P_5411188543398_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/חלב_סויה/P_5411188543398.jpg
חלב סויה,P_8000215204684,משקה סויה בריסטה ויטריז,משקה סויה בריסטה ויטריז,15.9,15.90 ₪,1 ליטר,ויטריז,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/VSN40_M_P_8000215204684_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/חלב_סויה/P_8000215204684.jpg
חלב סויה,P_8410128180621,ויוה סויה שיבולת שועל,ויוה סויה שיבולת שועל,14.9,14.90 ₪,1 ליטר,ויוה סוי,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/ZQK42_M_P_8410128180621_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/חלב_סויה/P_8410128180621.jpg
חלב סויה,P_4131074,חלב בקרטון 3% שומן,חלב בקרטון 3% שומן,7.18,7.18 ₪,1 ליטר,תנובה,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/AAL20_M_P_4131074_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/חלב_סויה/P_4131074.jpg
חלב סויה,P_7290107932080,חלב יטבתה מועשר3% בקבוק,חלב יטבתה מועשר3% בקבוק,9.0,9.00 ₪,1 ליטר,יטבתה,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/YLL48_M_P_7290107932080_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/חלב_סויה/P_7290107932080.jpg
חלב סויה,P_42435,חלב מפוסטר 1% בקרטון,חלב מפוסטר 1% בקרטון,6.75,6.75 ₪,1 ליטר,תנובה,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/JTC18_M_P_42435_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/חלב_סויה/P_42435.jpg
חלב סויה,P_7290110563462,חלב נטול לקטוז 2%,חלב נטול לקטוז 2%,9.8,9.80 ₪,1 ליטר,יטבתה,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/RAL46_M_P_7290110563462_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/חלב_סויה/P_7290110563462.jpg
חלב סויה,P_7290102398065,חלב 3% בקרטון מהדרין,חלב 3% בקרטון מהדרין,14.36,14.36 ₪,2 ליטר,טרה,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/CAS52_M_P_7290102398065_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/חלב_סויה/P_7290102398065.jpg
חלב סויה,P_56845,חלב טרי הומוגני 3% קרטון,חלב טרי הומוגני 3% קרטון,10.77,10.77 ₪,1.5 ליטר,תנובה,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/FBI28_M_P_56845_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/חלב_סויה/P_56845.jpg
חלב סויה,P_40974,חלב טרי 2% דל לקטוז,חלב טרי 2% דל לקטוז,8.7,8.70 ₪,1 ליטר,תנובה,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/HOX24_M_P_40974_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/חלב_סויה/P_40974.jpg
