query,code,product_name,description,price,formatted_price,unit_description,brand,image_url,image_path
טורטיה,P_7290117382868,טורטיה כוסמין,טורטיה כוסמין,12.5,12.50 ₪,240 גרם,מאסטר שף,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/QXH62_M_P_7290117382868_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/טורטיה/P_7290117382868.jpg
טורטיה,P_7290114600927,טורטיה חיטה מלאה,טורטיה חיטה מלאה,10.9,10.90 ₪,320 גרם,מאסטר שף,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/JPO48_M_P_7290114600927_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/טורטיה/P_7290114600927.jpg
טורטיה,P_7296073597230,טורטיה מוגברת חלבון,טורטיה מוגברת חלבון,12.9,12.90 ₪,8*40 גרם,papa tortilla,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/AXB60_M_P_7296073597230_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/טורטיה/P_7296073597230.jpg
טורטיה,P_7296073597247,טורטיה תירס 20%,טורטיה תירס 20%,12.9,12.90 ₪,8*40 גרם,papa tortilla,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/AXS68_M_P_7296073597247_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/טורטיה/P_7296073597247.jpg
טורטיה,P_7290107974073,עלי טורטיה קמח חיטה,עלי טורטיה קמח חיטה,10.9,10.90 ₪,320 גרם,מאסטר שף,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/IOO56_M_P_7290107974073_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/טורטיה/P_7290107974073.jpg
טורטיה,P_7296073553274,טורטיות מקמח חיטה,טורטיות מקמח חיטה,12.9,12.90 ₪,8יח' * 40 גרם,papa tortilla,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/NWL60_M_P_7296073553274_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/טורטיה/P_7296073553274.jpg
טורטיה,P_7296073553304,טורטיות מקמח חיטה,טורטיות מקמח חיטה,16.9,16.90 ₪,12 יח * 65 גרם,papa tortilla,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/NXP54_M_P_7296073553304_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/טורטיה/P_7296073553304.jpg
טורטיה,P_7290117901205,טורטיה,טורטיה,12.5,12.50 ₪,420 גרם,שקדיה,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/DRI44_M_P_7290117901205_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/טורטיה/P_7290117901205.jpg
טורטיה,P_7296073424581,טורטיות עם קמח כוסמין,טורטיות עם קמח כוסמין,12.9,12.90 ₪,8יח * 40 גרם,papa tortilla,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/FMS58_M_P_7296073424581_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/טורטיה/P_7296073424581.jpg
טורטיה,P_7296073398325,טורטיות עם קמח כוסמת,טורטיות עם קמח כוסמת,12.9,12.90 ₪,8יח * 40 גרם,papa tortilla,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/SQW64_M_P_7296073398325_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/טורטיה/P_7296073398325.jpg
