query,code,product_name,description,price,formatted_price,unit_description,brand,image_url,image_path
לבן,P_1715,תפוח אדמה לבן ארוז,תפוח אדמה לבן ארוז,5.9,5.90 ₪,מחיר לפי משקל,שופרסל,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/BMY14_M_P_1715_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/לבן/P_1715.jpg
לבן,P_138,כרוב לבן,"כרוב לבן  כ 2 ק""ג - תוצרת ישראל",6.9,6.90 ₪,מחיר לפי משקל,קטיף.,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/EHI12_M_P_138_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/לבן/P_138.jpg
לבן,P_964362,פומלה לבנה,פומלה לבנה,8.9,8.90 ₪,מחיר לפי משקל,קטיף.,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/VNV30_M_P_964362_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/לבן/P_964362.jpg
לבן,P_964379,אשכולית לבנה,אשכולית לבנה - תוצרת ישראל,7.9,7.90 ₪,מחיר לפי משקל,כללי,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/VOM38_M_P_964379_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/לבן/P_964379.jpg
לבן,P_7296073224464,אורז לבן ארוך אורגני,אורז לבן ארוך אורגני,10.9,10.90 ₪,500 גרם,גרין,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/VLX56_M_P_7296073224464_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/לבן/P_7296073224464.jpg
לבן,P_5610127,תפוח אדמה גורמה לבן,תפוח אדמה גורמה לבן,9.9,9.90 ₪,מחיר לפי משקל,דוד משה,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/DZC22_M_P_5610127_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/לבן/P_5610127.jpg
לבן,P_7296073596455,תירס לבן,תירס לבן,21.9,21.90 ₪,יחידה,שופרסל,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/ZTG68_M_P_7296073596455_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/לבן/P_7296073596455.jpg
לבן,P_9147759,כרוב לבן אורגני ארוז,כרוב לבן אורגני ארוז,11.9,11.90 ₪,יחידה,גרין,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/LDW42_M_P_9147759_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/לבן/P_9147759.jpg
לבן,P_916248,כרוב לבן אורגני,כרוב לבן אורגני,11.9,11.90 ₪,יחידה,גרין,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/CJH30_M_P_916248_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/לבן/P_916248.jpg
לבן,P_1043,כרוב לבן כשר,כרוב לבן כשר,13.9,13.90 ₪,מחיר לפי משקל,א.מ.תקומה עשבי תיבול,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/ANC08_M_P_1043_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/לבן/P_1043.jpg
