query,code,product_name,description,price,formatted_price,unit_description,brand,image_url,image_path
לחם,P_6451934,לחם מחמצת אגוזים,לחם מחמצת אגוזים,20.9,20.90 ₪,,שופרסל,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/BGH32_M_P_6451934_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/לחם/P_6451934.jpg
לחם,P_6451507,לחם מחמצת מכוסמין,לחם מחמצת מכוסמין,20.9,20.90 ₪,,שופרסל,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/APW28_M_P_6451507_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/לחם/P_6451507.jpg
לחם,P_7296073641568,לחם מחמצת אגוזים פרוס,לחם מחמצת אגוזים פרוס,20.9,20.90 ₪,,שופרסל,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/OMJ64_M_P_7296073641568_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/לחם/P_7296073641568.jpg
לחם,P_6451477,לחם מחמצת צרפתי,לחם מחמצת צרפתי,20.9,20.90 ₪,,שופרסל,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/AOS34_M_P_6451477_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/לחם/P_6451477.jpg
לחם,P_6451514,לחם מחמצת דגנים,לחם מחמצת דגנים,20.9,20.90 ₪,,שופרסל,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/AQD26_M_P_6451514_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/לחם/P_6451514.jpg
לחם,P_7296073641582,לחם מחמצת כוסמין פרוס,לחם מחמצת כוסמין פרוס,20.9,20.90 ₪,,שופרסל,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/OMX60_M_P_7296073641582_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/לחם/P_7296073641582.jpg
לחם,P_7296073612735,לחם מחמצת כוסמין,לחם מחמצת כוסמין,20.9,20.90 ₪,,שופרסל,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/XVK58_M_P_7296073612735_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/לחם/P_7296073612735.jpg
לחם,P_6451521,לחם מחמצת שיפון,לחם מחמצת שיפון,20.9,20.90 ₪,,שופרסל,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/AQK24_M_P_6451521_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/לחם/P_6451521.jpg
לחם,P_7296073612728,לחם מחמצת דגנים,לחם מחמצת דגנים,20.9,20.90 ₪,,שופרסל,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/XVD60_M_P_7296073612728_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/לחם/P_7296073612728.jpg
לחם,P_7296073612711,לחם מחמצת אגוזים,לחם מחמצת אגוזים,20.9,20.90 ₪,,שופרסל,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/XUM52_M_P_7296073612711_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/לחם/P_7296073612711.jpg
לחם,P_6451491,לחם מחמצת זיתי קלמטה,לחם מחמצת זיתי קלמטה,20.9,20.90 ₪,,שופרסל,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/APG30_M_P_6451491_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/לחם/P_6451491.jpg
לחם,P_7296073612759,לחם מחמצת צרפתי,לחם מחמצת צרפתי,20.9,20.90 ₪,,שופרסל,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/XWI64_M_P_7296073612759_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/לחם/P_7296073612759.jpg
לחם,P_7296073612766,לחם מחמצת שיפון,לחם מחמצת שיפון,20.9,20.90 ₪,,שופרסל,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/XWP62_M_P_7296073612766_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/לחם/P_7296073612766.jpg
לחם,P_6451675,לחם מחמצת סלק,לחם מחמצת סלק,20.9,20.90 ₪,,שופרסל,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/AWI34_M_P_6451675_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/לחם/P_6451675.jpg
לחם,P_7296073641575,לחם מחמצת דגנים פרוס,לחם מחמצת דגנים פרוס,20.9,20.90 ₪,,שופרסל,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/OMQ62_M_P_7296073641575_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/לחם/P_7296073641575.jpg
לחם,P_6451484,לחם מחמצת אגוזים צימוקים,לחם מחמצת אגוזים וצימוקים,20.9,20.90 ₪,,שופרסל,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/AOZ32_M_P_6451484_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/לחם/P_6451484.jpg
לחם,P_7296073641605,לחם מחמצת צרפתי פרוס,לחם מחמצת צרפתי פרוס,20.9,20.90 ₪,,שופרסל,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/ONU56_M_P_7296073641605_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/לחם/P_7296073641605.jpg
לחם,P_7296073721512,לחם מחמצת עגבניות,לחם מחמצת עגבניות,20.9,20.90 ₪,.,Bakery,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/CTD52_M_P_7296073721512_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/לחם/P_7296073721512.jpg
