query,code,product_name,description,price,formatted_price,unit_description,brand,image_url,image_path
לחם ללא גלוטן,P_7296073389460,לחם  בסגנון צרפתי,לחם בסגנון צרפתי לנמנעים גלוטן,24.5,24.50 ₪,500 גרם,גרין,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/FNX64_M_P_7296073389460_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/לחם_ללא_גלוטן/P_7296073389460.jpg
לחם ללא גלוטן,P_7296073389477,לחם עם גרעינים וזרעים,לחם בסגנון צרפתי עם גרעינים וזרעים לנמנעים מגלוטן,25.9,25.90 ₪,500 גרם,גרין,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/FOO72_M_P_7296073389477_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/לחם_ללא_גלוטן/P_7296073389477.jpg
לחם ללא גלוטן,P_7296073389446,בגט גרעינים ללא גלוטן,בגט עם גרעינים לנמנעים מגלוטן,16.5,16.50 ₪,240 גרם,גרין,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/FNJ68_M_P_7296073389446_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/לחם_ללא_גלוטן/P_7296073389446.jpg
לחם ללא גלוטן,P_7296073389453,בגט עם ציה ללא גלוטן,באגט  עם זרעי ציה וטף – לנמנעים מגלוטן,16.5,16.50 ₪,240 גרם,גרין,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/FNQ66_M_P_7296073389453_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/לחם_ללא_גלוטן/P_7296073389453.jpg
לחם ללא גלוטן,P_7296073447443,מאפה רוסטיק ללא גלוטן,"מאפ רוסטיק לנמנעים מגלוטן כשל""פ",14.5,14.50 ₪,240 גרם,גרין,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/NIA60_M_P_7296073447443_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/לחם_ללא_גלוטן/P_7296073447443.jpg
לחם ללא גלוטן,P_7290013645050,פרורי לחם ללא גלוטן,פרורי לחם ללא גלוטן,21.9,21.90 ₪,300 גרם,שרהלה,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/KPF42_M_P_7290013645050_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/לחם_ללא_גלוטן/P_7290013645050.jpg
לחם ללא גלוטן,P_7290011570644,קמח לחם ללא גלוטן,קמח לחם ללא גלוטן,19.9,19.90 ₪,500 גרם,אשבל,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/JYJ46_M_P_7290011570644_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/לחם_ללא_גלוטן/P_7290011570644.jpg
לחם ללא גלוטן,P_7290013121035,לחם פשתן ללא גלוטן,לחם פשתן ללא גלוטן,23.9,23.90 ₪,500 גרם,גרין לייט,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/PKU34_M_P_7290013121035_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/לחם_ללא_גלוטן/P_7290013121035.jpg
לחם ללא גלוטן,P_7296073345060,"לחם פרוס קפוא לל""ג",לחם לבן ללא גלוטן,16.9,16.90 ₪,500 גרם,Green,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/RWF52_M_P_7296073345060_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/לחם_ללא_גלוטן/P_7296073345060.jpg
לחם ללא גלוטן,P_7290013121028,לחם לבן ללא גלוטן לייט,לחם לבן ללא גלוטן לייט,20.9,20.90 ₪,500 גרם,גרין לייט,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/PKN36_M_P_7290013121028_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/לחם_ללא_גלוטן/P_7290013121028.jpg
לחם ללא גלוטן,P_7296073459200,מיקס להכנת לחם כהה,תערובת להכנת לחם כהה ללא גלוטן,19.5,19.50 ₪,500 גרם,גרין,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/ESF54_M_P_7296073459200_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/לחם_ללא_גלוטן/P_7296073459200.jpg
לחם ללא גלוטן,P_7290013121752,לחם לבן ביתי ללא גלוטן,לחם לבן ביתי ללא גלוטן,23.9,23.90 ₪,700 גרם,גרין לייט,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/QMJ40_M_P_7290013121752_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/לחם_ללא_גלוטן/P_7290013121752.jpg
לחם ללא גלוטן,P_7290013121011,חלת שבת ללא גלוטן,חלת שבת ללא גלוטן,26.9,26.90 ₪,500 גרם,גרין לייט,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/PJW28_M_P_7290013121011_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/לחם_ללא_גלוטן/P_7290013121011.jpg
