query,code,product_name,description,price,formatted_price,unit_description,brand,image_url,image_path
לחם שיפון,P_3719259,לחם אקסקלוסיבי שיפון מלא,לחם אקסקלוסיבי שיפון מלא,18.9,18.90 ₪,"1 ק""ג",ליבו,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/OVK36_M_P_3719259_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/לחם_שיפון/P_3719259.jpg
לחם שיפון,P_3133123,לחם עגול מקמח שיפון,לחם עגול מקמח שיפון,15.5,15.50 ₪,750 גרם,שיבולת,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/FTS16_M_P_3133123_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/לחם_שיפון/P_3133123.jpg
לחם שיפון,P_498034,לחם E-FREE מקמח כוסמין,לחם E-FREE מקמח כוסמין,17.9,17.90 ₪,750 גרם,ברמן לחם,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/HSD28_M_P_498034_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/לחם_שיפון/P_498034.jpg
לחם שיפון,P_4685157,לחם שיפון 100%פרוס,לחם שיפון 100%פרוס,17.5,17.50 ₪,750 גרם,לחם הארץ,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/NRI36_M_P_4685157_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/לחם_שיפון/P_4685157.jpg
לחם שיפון,P_8713900,לחם שיפון עגול,לחם שיפון עגול,15.5,15.50 ₪,750 גרם,אחדות לחם,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/TIZ28_M_P_8713900_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/לחם_שיפון/P_8713900.jpg
לחם שיפון,P_2065616,לחם שיפון גרעינים,לחם שיפון גרעינים,15.5,15.50 ₪,750 גרם,אחדות לחם,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/MPT26_M_P_2065616_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/לחם_שיפון/P_2065616.jpg
לחם שיפון,P_498003,לחם E-FREE מקמח חיטה,לחם E-FREE מקמח חיטה,16.9,16.90 ₪,750 גרם,ברמן לחם,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/HQY24_M_P_498003_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/לחם_שיפון/P_498003.jpg
לחם שיפון,P_6322838,לחם קמח מלא 100%,לחם קמח מלא 100%,14.5,14.50 ₪,750 גרם,דוידוביץ,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/SHB32_M_P_6322838_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/לחם_שיפון/P_6322838.jpg
לחם שיפון,P_2065623,לחם שיפון כפרי,לחם שיפון כפרי,15.5,15.50 ₪,750 גרם,אחדות לחם,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/MQA24_M_P_2065623_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/לחם_שיפון/P_2065623.jpg
לחם שיפון,P_8713917,לחם שיפון כהה,לחם שיפון כהה,15.5,15.50 ₪,750 גרם,אחדות לחם,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/TJQ36_M_P_8713917_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/לחם_שיפון/P_8713917.jpg
לחם שיפון,P_4685201,לחם הארץ שיפון אגוזים,לחם הארץ שיפון אגוזים,17.5,17.50 ₪,500 גרם,לחם הארץ,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/NTA26_M_P_4685201_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/לחם_שיפון/P_4685201.jpg
