query,code,product_name,description,price,formatted_price,unit_description,brand,image_url,image_path
לחמניות,P_7290121012041,לחמניות המבורגר,לחמניות המבורגר,15.0,15.00 ₪,4יח * 100 גרם,שופרסל,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/DMW30_M_P_7290121012041_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/לחמניות/P_7290121012041.jpg
לחמניות,P_9952339,מארז לחמניות אצבע,מארז לחמניות אצבע,11.9,11.90 ₪,8 יחידות,שופרסל,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/FJG40_M_P_9952339_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/לחמניות/P_9952339.jpg
לחמניות,P_9952346,מארז לחמניות חלה,מארז לחמניות חלה,14.9,14.90 ₪,4 יחידות,שופרסל,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/FJN38_M_P_9952346_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/לחמניות/P_9952346.jpg
לחמניות,P_9952308,מארז לחמניות דגנים,מארז לחמניות דגנים,16.5,16.50 ₪,4 יחידות,שופרסל,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/FIB36_M_P_9952308_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/לחמניות/P_9952308.jpg
לחמניות,P_9952377,מארז לחמניות קשר,מארז לחמניות קשר,16.5,16.50 ₪,5 יחידות,שופרסל,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/FKS42_M_P_9952377_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/לחמניות/P_9952377.jpg
לחמניות,P_3158850,מארז לחמניות המבורגר,מארז לחמניות המבורגר,16.5,16.50 ₪,5 יחידות,שופרסל,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/RVF30_M_P_3158850_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/לחמניות/P_3158850.jpg
לחמניות,P_2759522,מארז לחמניות חלה מתוקה,מארז לחמניות חלה מתוקה,14.9,14.90 ₪,4 יחידות,שופרסל,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/ZCL32_M_P_2759522_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/לחמניות/P_2759522.jpg
לחמניות,P_9399707,מארז לחמניות כפריות,מארז לחמניות כפריות,16.5,16.50 ₪,4 יחידות,שופרסל,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/TWE44_M_P_9399707_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/לחמניות/P_9399707.jpg
לחמניות,P_9396867,מארז לחמניות ביס,מארז לחמניות ביס,13.3,13.30 ₪,8 יחידות,שופרסל,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/PQY48_M_P_9396867_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/לחמניות/P_9396867.jpg
לחמניות,P_9137842,מארז לחמניות כוסמין,מארז לחמניות כוסמין,16.5,16.50 ₪,5 יחידות,שופרסל,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/WML34_M_P_9137842_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/לחמניות/P_9137842.jpg
