query,code,product_name,description,price,formatted_price,unit_description,brand,image_url,image_path
מעדן,P_7290102390427,יוגורט פרופ מולר תות שדה,מולר פרופ יוגורט עם קציפת תות,5.9,5.90 ₪,"150 מ""ל",מולר,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/QSY46_M_P_7290102390427_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/מעדן/P_7290102390427.jpg
מעדן,P_7290102390465,יוג.קציפת אפרסק+פסיפלורה,מולר פרופ יוגורט עם קציפת אפרסק פסיפלורה,5.9,5.90 ₪,"150 מ""ל",מולר,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/QUK48_M_P_7290102390465_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/מעדן/P_7290102390465.jpg
מעדן,P_7290014455467,מעדן שיבולת שועל,מעדן שיבולת שועל,7.2,7.20 ₪,150 גרם,מחלבות גד,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/NLC54_M_P_7290014455467_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/מעדן/P_7290014455467.jpg
מעדן,P_7290115678376,מעדן הגולן שוקולד,מעדן הגולן שוקולד,3.6,3.60 ₪,125 גרם,שטראוס,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/RLX62_M_P_7290115678376_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/מעדן/P_7290115678376.jpg
מעדן,P_7290110557133,מעדן הגולן וניל,מעדן הגולן וניל,3.6,3.60 ₪,125 גרם,שטראוס,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/HRA44_M_P_7290110557133_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/מעדן/P_7290110557133.jpg
מעדן,P_7290115678383,מעדן הגולן שוקולד מריר,מעדן הגולן שוקולד מריר,3.6,3.60 ₪,125 גרם,שטראוס,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/RME60_M_P_7290115678383_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/מעדן/P_7290115678383.jpg
מעדן,P_7290110555146,מעדן הגולן בטעם מוקה,מעדן הגולן בטעם מוקה,3.6,3.60 ₪,125 גרם,שטראוס,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/ESP46_M_P_7290110555146_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/מעדן/P_7290110555146.jpg
מעדן,P_7290102396399,מעדן מוו בטעם שוקולד,מעדן מוו בטעם שוקולד,16.5,16.50 ₪,8 * 100 גרם,טרה,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/ZOQ60_M_P_7290102396399_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/מעדן/P_7290102396399.jpg
מעדן,P_4120061,מעדן קרלו שוניל 3% שומן,מעדן קרלו שוניל 3% שומן,3.7,3.70 ₪,125 גרם,קרלו,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/JSW14_M_P_4120061_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/מעדן/P_4120061.jpg
מעדן,P_4135072,מעדן קרלו מיני שוקולד,מעדן קרלו מיני שוקולד,15.9,15.90 ₪,8 * 100 גרם,קרלו,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/FYF22_M_P_4135072_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/מעדן/P_4135072.jpg
מעדן,P_7290102396405,מעדן  מוו בטעם וניל מארז,מעדן  מוו בטעם וניל מארז,16.5,16.50 ₪,8 * 100 גרם,טרה,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/ZOW48_M_P_7290102396405_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/מעדן/P_7290102396405.jpg
