query,code,product_name,description,price,formatted_price,unit_description,brand,image_url,image_path
מצות,P_591728,מצות ראשון,מצות ראשון,14.9,14.90 ₪,"1 ק""ג",מצות ראשון,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/QHT32_M_P_591728_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/מצות/P_591728.jpg
מצות,P_96086001338,מצות הגדה - אביב,מצות הגדה - אביב,14.9,14.90 ₪,"1 ק""ג",מצות אביב,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/SFB44_M_P_96086001338_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/מצות/P_96086001338.jpg
מצות,P_598390,מצות מצופות,מצות מצופות,13.9,13.90 ₪,200 גרם,מצות יהודה,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/ADZ34_M_P_598390_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/מצות/P_598390.jpg
מצות,P_5811197,"מצות ראשון לציון כשל""פ","מצות ראשון לציון כשל""פ",8.9,8.90 ₪,400 גרם,מצות ראשון,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/PKO32_M_P_5811197_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/מצות/P_5811197.jpg
מצות,P_7290012738593,מצות מחיטה מלאה,מצות מחיטה מלאה,29.9,29.90 ₪,900 גרם,מצות יהודה,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/VRM56_M_P_7290012738593_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/מצות/P_7290012738593.jpg
מצות,P_7290012738142,מצות יהודה מקמח כוסמין,מצות יהודה מקמח כוסמין,15.9,15.90 ₪,300 גרם,מצות יהודה,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/VAD46_M_P_7290012738142_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/מצות/P_7290012738142.jpg
מצות,P_2153320,מצות שמורות לליל הסדר,מצות שמורות לליל הסדר,10.0,10.00 ₪,3 יחידות,מצות ראשון,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/MIZ16_M_P_2153320_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/מצות/P_2153320.jpg
מצות,P_7290012738081,מצות מצופות עם סוכריות,מצות מצופות עם סוכריות,13.9,13.90 ₪,170 גרם,מצות יהודה,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/UXU48_M_P_7290012738081_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/מצות/P_7290012738081.jpg
מצות,P_7290012738173,מצות עם סיבים תזונתיים,מצות עם סיבים תזונתיים,14.9,14.90 ₪,300 גרם,מצות יהודה,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/VBI50_M_P_7290012738173_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/מצות/P_7290012738173.jpg
מצות,P_598260,מצות שמורות כשר לפסח,3 מצות שמורות כשר לפסח,10.0,10.00 ₪,3 יחידות,מצות יהודה,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/ZYZ30_M_P_598260_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/מצות/P_598260.jpg
מצות,P_591643,מצה כשר לפסח,מצה כשר לפסח,25.9,25.90 ₪,"2.5 ק""ג",מצות ראשון,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/QEM28_M_P_591643_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/מצות/P_591643.jpg
מצות,P_96086000065,מצה עשירה כ.לפסח,"מצות ביצים ,מצה עשירה לפסח",15.9,15.90 ₪,300 גרם,מצות אביב,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/QIC40_M_P_96086000065_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/מצות/P_96086000065.jpg
מצות,P_598307,מצה יהודה כשר לפסח,מצה יהודה כשר לפסח,25.9,25.90 ₪,"2.5 ק""ג",מצות יהודה,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/AAU32_M_P_598307_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/מצות/P_598307.jpg
מצות,P_5811067,מצה מחיטה מלאה,מצה מחיטה מלאה,10.0,10.00 ₪,300 גרם,מצות ראשון,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/PFO28_M_P_5811067_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/מצות/P_5811067.jpg
מצות,P_130545,החמישיה מצה כשר לפסח,החמישיה מצה כשר לפסח,25.9,25.90 ₪,"2.5 ק""ג",מצות אביב,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/KBY18_M_P_130545_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/מצות/P_130545.jpg
