query,code,product_name,description,price,formatted_price,unit_description,brand,image_url,image_path
משקה שקדים,P_7296073675174,משקה בריסטה שקדים,משקה בריסטה שקדים,13.9,13.90 ₪,1 ליטר,גרין,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/MEX64_M_P_7296073675174_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/משקה_שקדים/P_7296073675174.jpg
משקה שקדים,P_7290014760141,משקה שקדים טרי,משקה שקדים טרי,14.3,14.30 ₪,1 ליטר,תנובה אלטרנטיב,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/WDI42_M_P_7290014760141_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/משקה_שקדים/P_7290014760141.jpg
משקה שקדים,P_5411188110835,משקה שקדים אלפרו,משקה שקדים אלפרו,16.9,16.90 ₪,1 ליטר,אלפרו,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/RGM46_M_P_5411188110835_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/משקה_שקדים/P_5411188110835.jpg
משקה שקדים,P_7290110558437,משקה שקדים בקירור,אלפרו משקה שקדים מצונן,15.1,15.10 ₪,1 ליטר,אלפרו,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/JPE52_M_P_7290110558437_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/משקה_שקדים/P_7290110558437.jpg
משקה שקדים,P_7290110325626,"משקה שקדים ללת""ס",משקה שקדים ללא תוספת סוכר,14.3,14.30 ₪,1 ליטר,תנובה אלטרנטיב,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/DEX44_M_P_7290110325626_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/משקה_שקדים/P_7290110325626.jpg
משקה שקדים,P_8000215204240,משקה שקדים ואורז אורגני,משקה שקדים ואורז אורגני,15.9,15.90 ₪,1 ליטר,ויטריז,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/VBL28_M_P_8000215204240_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/משקה_שקדים/P_8000215204240.jpg
משקה שקדים,P_7290017325453,"משקה שקדים ללת""ס","משקה שקדים אורגני ללת""ס ללא גלוטן",18.9,18.90 ₪,1 ליטר,הרדוף,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/UZE48_M_P_7290017325453_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/משקה_שקדים/P_7290017325453.jpg
משקה שקדים,P_5411188112709,"משקה שקדים ללת""ס אלפרו","משקה שקדים ללת""ס אלפרו",16.9,16.90 ₪,1 ליטר,אלפרו,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/UAO48_M_P_5411188112709_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/משקה_שקדים/P_5411188112709.jpg
משקה שקדים,P_8000215204271,משקה שקדים ואורז אישי,משקה שקדים ואורז אישי,5.9,5.90 ₪,"200 מ""ל",ויטריז,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/VCQ32_M_P_8000215204271_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/משקה_שקדים/P_8000215204271.jpg
משקה שקדים,P_5411188129899,משקה שקדים בריסטה אלפרו,משקה שקדים בריסטה אלפרו,16.9,16.90 ₪,1 ליטר,אלפרו,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/TLS66_M_P_5411188129899_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/משקה_שקדים/P_5411188129899.jpg
משקה שקדים,P_8006040380180,וולסויה משקה שקדים קלאסי,וולסויה משקה שקדים קלאסי,13.9,13.90 ₪,1 ליטר,וולסויה,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/RFX38_M_P_8006040380180_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/משקה_שקדים/P_8006040380180.jpg
משקה שקדים,P_7290119375110,משקה שקדים טעם טורטית,אלפרו משקה שקדים טעם טורטית,15.1,15.10 ₪,1 ליטר,אלפרו,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/ZZZ46_M_P_7290119375110_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/משקה_שקדים/P_7290119375110.jpg
משקה שקדים,P_7290110570040,"אלפרו שקדים לל""ס",אלפרו משקה שקדים ללא סוכר מצונן,15.1,15.10 ₪,1 ליטר,אלפרו,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/ATL36_M_P_7290110570040_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/משקה_שקדים/P_7290110570040.jpg
משקה שקדים,P_7394376621093,משקה ש.שועל מועשר בסידן,משקה ש.שועל מועשר בסידן,17.5,17.50 ₪,1 ליטר,אוטלי,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/ZGG60_M_P_7394376621093_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/משקה_שקדים/P_7394376621093.jpg
משקה שקדים,P_749,פלפל שישקה מתוק,פלפל שישקה מתוק,14.9,14.90 ₪,מחיר לפי משקל,קטיף.,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/ABU20_M_P_749_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/משקה_שקדים/P_749.jpg
משקה שקדים,P_7290110324926,משקה סויה ללא תוספת סוכר,משקה סויה ללא תוספת סוכר,12.3,12.30 ₪,1 ליטר,תנובה אלטרנטיב,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/CDZ46_M_P_7290110324926_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/משקה_שקדים/P_7290110324926.jpg
משקה שקדים,P_4125578,משקה סויה,משקה סויה,12.2,12.20 ₪,1 ליטר,תנובה אלטרנטיב,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/RXB32_M_P_4125578_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/משקה_שקדים/P_4125578.jpg
משקה שקדים,P_4125585,משקה סויה בטעם וניל,משקה סויה בטעם וניל,12.3,12.30 ₪,1 ליטר,תנובה אלטרנטיב,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/RXI30_M_P_4125585_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/משקה_שקדים/P_4125585.jpg
משקה שקדים,P_4132552,משקה סויה לייט,משקה סויה לייט,12.3,12.30 ₪,1 ליטר,תנובה אלטרנטיב,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/CFH22_M_P_4132552_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/משקה_שקדים/P_4132552.jpg
משקה שקדים,P_4130794,משקה סויה במתיקות מופחתת,משקה סויה במתיקות מופחתת,12.3,12.30 ₪,1 ליטר,תנובה אלטרנטיב,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/ZPR28_M_P_4130794_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/משקה_שקדים/P_4130794.jpg
משקה שקדים,P_7296073675167,משקה בריסטה סויה,משקה בריסטה סויה בתוספת סידן וויטמינים,11.9,11.90 ₪,1 ליטר,גרין,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/MEQ66_M_P_7296073675167_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/משקה_שקדים/P_7296073675167.jpg
משקה שקדים,P_7290117860991,תחליב רחצה יוגורט שקדים,תחליב רחצה יוגורט שקדים,15.5,15.50 ₪,"700 מ""ל",הוואי,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/WEQ60_M_P_7290117860991_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/משקה_שקדים/P_7290117860991.jpg
משקה שקדים,P_7290108356106,כיף תחליב רחצה חלב שקדים,כיף תחליב רחצה חלב שקדים,11.5,11.50 ₪,"700 מ""ל",כיף,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/BSD48_M_P_7290108356106_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/משקה_שקדים/P_7290108356106.jpg
משקה שקדים,P_7296073675181,משקה בריסטה שיבולת שועל,"משקה בריסטה שיבולת שועל ללת""ס",13.9,13.90 ₪,1 ליטר,גרין,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/MFE62_M_P_7296073675181_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/משקה_שקדים/P_7296073675181.jpg
משקה שקדים,P_7290110573577,משקה יוגורט פרו וניל ללס,משקה יוגורט פרו,7.7,7.70 ₪,255 גרם,דנונה,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/FZM54_M_P_7290110573577_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/משקה_שקדים/P_7290110573577.jpg
משקה שקדים,P_7290018921067,תחליב רחצה אפקטיב שקדים,תחליב רחצה אפקטיב שקדים,17.9,17.90 ₪,"700 מ""ל",אפקטיב קר,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/PIY52_M_P_7290018921067_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/משקה_שקדים/P_7290018921067.jpg
משקה שקדים,P_7290110573737,משקה יוגורט פרו תות ללס,משקה יוגורט פרו חלבון תות ללא ת.סוכר,7.8,7.80 ₪,255 גרם,דנונה,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/GFQ52_M_P_7290110573737_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/משקה_שקדים/P_7290110573737.jpg
משקה שקדים,P_7290121160865,תחליב רחצה נטורלס שקדים,תחליב רחצה נטורלס שקדים מארז,35.9,35.90 ₪,750*2,פלמוליב,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/PQW48_M_P_7290121160865_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/משקה_שקדים/P_7290121160865.jpg
משקה שקדים,P_7290110552244,"משקה דנונה פרו20 ללת""ס",משקה יוגורט פרו חלבון וניל ללא ת.סוכר,7.8,7.80 ₪,255 גרם,דנונה,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/AKZ42_M_P_7290110552244_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/משקה_שקדים/P_7290110552244.jpg
משקה שקדים,P_5906485301012,משקה אנרגיה XL,XL משקה אנרגיה,5.0,5.00 ₪,"250 מ""ל",XL,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/EKJ44_M_P_5906485301012_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/משקה_שקדים/P_5906485301012.jpg
