query,code,product_name,description,price,formatted_price,unit_description,brand,image_url,image_path
פסטה,P_7296073011224,פסטה פוסילי,פסטה פוסילי,7.9,7.90 ₪,500 גרם,MORINI,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/SAJ44_M_P_7296073011224_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/פסטה/P_7296073011224.jpg
פסטה,P_60781,פסטה מסולסלת,פסטה מסולסלת,6.9,6.90 ₪,500 גרם,אסם,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/KWS22_M_P_60781_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/פסטה/P_60781.jpg
פסטה,P_7296073053743,פסטה קונקיליוני,פסטה קונקיליוני,7.9,7.90 ₪,500 גרם,MORINI,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/CXS56_M_P_7296073053743_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/פסטה/P_7296073053743.jpg
פסטה,P_7290107871990,פסטה צינורות,פסטה צינורות,6.9,6.90 ₪,500 גרם,אסם,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/NOH60_M_P_7290107871990_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/פסטה/P_7290107871990.jpg
פסטה,P_60248,פסטה תלתלים,פסטה תלתלים,6.9,6.90 ₪,500 גרם,אסם,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/KCF20_M_P_60248_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/פסטה/P_60248.jpg
פסטה,P_7296073229674,פסטה לינגוויני,פסטה לינגוויני,7.9,7.90 ₪,500 גרם,MORINI,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/DEH64_M_P_7296073229674_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/פסטה/P_7296073229674.jpg
פסטה,P_4760161882148,פסטה פוזילי 400 גרם,פסטה פוזילי,6.9,6.90 ₪,400 גרם,favelli,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/BYJ56_M_P_4760161882148_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/פסטה/P_4760161882148.jpg
פסטה,P_7296073011248,פסטה פרפלה,פסטה פרפלה,7.9,7.90 ₪,500 גרם,MORINI,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/SBH50_M_P_7296073011248_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/פסטה/P_7296073011248.jpg
פסטה,P_4760161882230,פסטה צדפות,פסטה צדף,6.9,6.90 ₪,400 גרם,favelli,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/CBN48_M_P_4760161882230_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/פסטה/P_4760161882230.jpg
פסטה,P_60828,פסטה קרניים בינוניות,פסטה קרניים בינוניות,6.9,6.90 ₪,500 גרם,אסם,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/KYN24_M_P_60828_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/פסטה/P_60828.jpg
