query,code,product_name,description,price,formatted_price,unit_description,brand,image_url,image_path
פסטה פנה,P_7296073011217,פסטה פנה ריגטה,פסטה פנה ריגטה,7.9,7.90 ₪,500 גרם,MORINI,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/SAC46_M_P_7296073011217_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/פסטה_פנה/P_7296073011217.jpg
פסטה פנה,P_4760161882131,פסטה פנה ריגטה,פסטה פנה ריגטה,6.9,6.90 ₪,400 גרם,favelli,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/BXS48_M_P_4760161882131_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/פסטה_פנה/P_4760161882131.jpg
פסטה פנה,P_8004690052044,פסטה פנה ריגטה,פסטה פנה ריגטה,8.2,8.20 ₪,500 גרם,לה מוליזנה,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/SKJ42_M_P_8004690052044_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/פסטה_פנה/P_8004690052044.jpg
פסטה פנה,P_7296073205463,פסטה פנה אורגני,פסטה פנה אורגני מחיטת דורום,13.5,13.50 ₪,500 גרם,Green,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/TJC54_M_P_7296073205463_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/פסטה_פנה/P_7296073205463.jpg
פסטה פנה,P_7296073205456,פסטה פנה אורגני,פסטה פנה אורגני מחיטת דורום מלאה,13.5,13.50 ₪,500 גרם,Green,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/TIV56_M_P_7296073205456_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/פסטה_פנה/P_7296073205456.jpg
פסטה פנה,P_7296073630913,פסטה פנה ללא גלוטן,"פסטה פנה ללא גלוטן כשל""פ",13.5,13.50 ₪,400 גרם,גרין,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/YSO56_M_P_7296073630913_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/פסטה_פנה/P_7296073630913.jpg
פסטה פנה,P_8076809529433,פסטה פנה חיטה מלאה,"פסטה פנה חיטה מלאה ,ברילה",16.5,16.50 ₪,500 גרם,ברילה,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/RVU64_M_P_8076809529433_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/פסטה_פנה/P_8076809529433.jpg
פסטה פנה,P_7296073348962,פסטה אמר פנה אורגני500גר,פסטה אמר פנה אורגני 500 גרם,18.5,18.50 ₪,500 גרם,גרין,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/XQH66_M_P_7296073348962_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/פסטה_פנה/P_7296073348962.jpg
פסטה פנה,P_8076802085738,פנה ריגטה מס' 73 ברילה,פנה ריגטה מס' 73 ברילה,8.9,8.90 ₪,500 גרם,ברילה,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/ELV62_M_P_8076802085738_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/פסטה_פנה/P_8076802085738.jpg
פסטה פנה,P_8076809570626,ברילה אורגני פנה ריגטה,ברילה אורגני פנה ריגטה,18.1,18.10 ₪,500 גרם,ברילה,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/AUD64_M_P_8076809570626_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/פסטה_פנה/P_8076809570626.jpg
פסטה פנה,P_7271730901261,ארוחת פסטה עם רוטב גבינה,ארוחת פסטה עם רוטב גבינה,11.5,11.50 ₪,156 גרם,וואקי מאק,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/RPU46_M_P_7271730901261_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/פסטה_פנה/P_7271730901261.jpg
פסטה פנה,P_7290019621478,מנת פסטה אלפרדו,מנת פסטה אלפרדו,9.9,9.90 ₪,74 גרם,בלה איטליה,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/LLV56_M_P_7290019621478_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/פסטה_פנה/P_7290019621478.jpg
פסטה פנה,P_73125,מנה חמה פסטה עגבניות,מנה חמה פסטה ברוטב עגבניות,7.5,7.50 ₪,62 גרם,מנה חמה,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/DDM18_M_P_73125_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/פסטה_פנה/P_73125.jpg
פסטה פנה,P_7290019621492,מנת פסטה נפוליטנה,מנת פסטה נפוליטנה,9.9,9.90 ₪,74 גרם,בלה איטליה,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/LMJ52_M_P_7290019621492_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/פסטה_פנה/P_7290019621492.jpg
פסטה פנה,P_7290019621485,מנת פסטה פורמג'י,מנת פסטה פורמג'י,9.9,9.90 ₪,74 גרם,בלה איטליה,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/LMC54_M_P_7290019621485_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/פסטה_פנה/P_7290019621485.jpg
פסטה פנה,P_65540,מנה חמה פסטה מוקרמת,מנה חמה פסטה מוקרמת בטעם עוף,7.7,7.70 ₪,55 גרם,מנה חמה,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/RXT20_M_P_65540_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/פסטה_פנה/P_65540.jpg
פסטה פנה,P_7290117263907,ארוחת פסטה ברוטב פטריות,ארוחת פסטה ברוטב פטריות,7.9,7.90 ₪,65 גרם,ויליפוד,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/WXW54_M_P_7290117263907_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/פסטה_פנה/P_7290117263907.jpg
פסטה פנה,P_7290117263884,ארוחת פסטה בסגנון בולונז,ארוחת פסטה בסגנון בולונז,7.9,7.90 ₪,65 גרם,ויליפוד,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/WWZ58_M_P_7290117263884_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/פסטה_פנה/P_7290117263884.jpg
פסטה פנה,P_7290012901355,ארוחת מקרוני+רוטב גבינה,ארוחת פסטה אלבו עם רוטב גבינה,12.5,12.50 ₪,206 גרם,דודל'ס,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/CLO44_M_P_7290012901355_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/פסטה_פנה/P_7290012901355.jpg
פסטה פנה,P_7290012901959,ארוחת פסטה עם רוטב גבינה,ארוחת פסטה מסולסלים עם רוטב גבינה,12.5,12.50 ₪,156 גרם,דודל'ס,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/DIU54_M_P_7290012901959_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/פסטה_פנה/P_7290012901959.jpg
פסטה פנה,P_7290112490735,מרק היום עגבניות+פסטה,מרק היום מרק עגבניות עם פסטה,14.4,14.40 ₪,105 גרם,קנור,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/IAI50_M_P_7290112490735_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/פסטה_פנה/P_7290112490735.jpg
פסטה פנה,P_60781,פסטה מסולסלת,פסטה מסולסלת,6.9,6.90 ₪,500 גרם,אסם,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/KWS22_M_P_60781_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/פסטה_פנה/P_60781.jpg
פסטה פנה,P_7290107871990,פסטה צינורות,פסטה צינורות,6.9,6.90 ₪,500 גרם,אסם,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/NOH60_M_P_7290107871990_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/פסטה_פנה/P_7290107871990.jpg
