query,code,product_name,description,price,formatted_price,unit_description,brand,image_url,image_path
קוטג,P_7290014758681,קוטג 1% שומן,קוטג 1% שומן,6.0,6.00 ₪,250 גרם,תנובה,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/TZE58_M_P_7290014758681_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/קוטג/P_7290014758681.jpg
קוטג,P_7290102397679,קוטג וחצי 5%,קוטג וחצי 5%,9.0,9.00 ₪,375 גרם,טרה,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/BLW62_M_P_7290102397679_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/קוטג/P_7290102397679.jpg
קוטג,P_4127336,קוטג' תנובה 9% שומן,קוטג' תנובה 9% שומן,6.0,6.00 ₪,250 גרם,תנובה,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/UMR26_M_P_4127336_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/קוטג/P_4127336.jpg
קוטג,P_4127077,קוטג' תנובה 3% שומן,קוטג' תנובה 3% שומן,6.0,6.00 ₪,250 גרם,תנובה,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/UCS28_M_P_4127077_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/קוטג/P_4127077.jpg
קוטג,P_7290116931241,קוטג' תנובה 12% שומן,קוטג' תנובה 12% שומן,6.8,6.80 ₪,250 גרם,תנובה,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/YVA46_M_P_7290116931241_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/קוטג/P_7290116931241.jpg
קוטג,P_48307,קוטג' תנובה 5% עם זיתים,קוטג' תנובה 5% עם זיתים,6.9,6.90 ₪,250 גרם,תנובה,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/SKY22_M_P_48307_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/קוטג/P_48307.jpg
קוטג,P_52717,קוטג' עם שום שמיר 5%,קוטג' עם שום שמיר 5%,6.9,6.90 ₪,250 גרם,תנובה,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/YYO22_M_P_52717_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/קוטג/P_52717.jpg
קוטג,P_41452,קוטג' מהדרין 9% שומן,קוטג' מהדרין 9% שומן,6.0,6.00 ₪,250 גרם,תנובה,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/IHH16_M_P_41452_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/קוטג/P_41452.jpg
קוטג,P_4127329,קוטג' תנובה 5% שומן,קוטג' תנובה 5% שומן,6.0,6.00 ₪,250 גרם,תנובה,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/UMK28_M_P_4127329_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/קוטג/P_4127329.jpg
קוטג,P_7290011194246,קוטג' 5% שומן,קוטג' 5% שומן,6.6,6.60 ₪,250 גרם,שטראוס,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/ZDN46_M_P_7290011194246_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/קוטג/P_7290011194246.jpg
קוטג,P_7290110321277,קוטג' בקטנה 5%,קוטג' בקטנה 5%,3.0,3.00 ₪,100 גרם,תנובה,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/WTQ42_M_P_7290110321277_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/קוטג/P_7290110321277.jpg
קוטג,P_2868996,קוטג' 5% רכיבים טבעיים,קוטג' 5% רכיבים טבעיים,6.6,6.60 ₪,250 גרם,טרה,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/FAZ48_M_P_2868996_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/קוטג/P_2868996.jpg
קוטג,P_41445,קוטג' תנובה 5%,קוטג' תנובה 5%,6.0,6.00 ₪,250 גרם,תנובה,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/IHA18_M_P_41445_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/קוטג/P_41445.jpg
