query,code,product_name,description,price,formatted_price,unit_description,brand,image_url,image_path
קינואה,P_7290100700273,קינואה סוגת,קינואה,14.9,14.90 ₪,500 גרם,סוגת,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/MNA38_M_P_7290100700273_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/קינואה/P_7290100700273.jpg
קינואה,P_7296073263845,קינואה שופרסל,קינואה,12.9,12.90 ₪,500 גרם,שופרסל,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/BSO62_M_P_7296073263845_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/קינואה/P_7296073263845.jpg
קינואה,P_7296073552598,קינואה,קינואה,27.9,27.90 ₪,"1 ק""ג",שופרסל,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/MWL68_M_P_7296073552598_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/קינואה/P_7296073552598.jpg
קינואה,P_7290015395045,קינואה,קינואה,12.9,12.90 ₪,400 גרם,שקדיה,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/ZIS50_M_P_7290015395045_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/קינואה/P_7290015395045.jpg
קינואה,P_7290013994653,קינואה אורגנית,קינואה אורגנית,24.9,24.90 ₪,500 גרם,הרדוף,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/HTM58_M_P_7290013994653_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/קינואה/P_7290013994653.jpg
קינואה,P_7296073529477,קינואה אדומה,קינואה אדומה,12.9,12.90 ₪,500 גרם,שופרסל,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/ERE68_M_P_7296073529477_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/קינואה/P_7296073529477.jpg
קינואה,P_7290013994295,קינואה אדומה אורגנית,קינואה אדומה אורגנית,24.9,24.90 ₪,500 גר,הרדוף,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/HFS60_M_P_7290013994295_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/קינואה/P_7290013994295.jpg
קינואה,P_7290013994318,קינואה טריקולור אורגנית,קינואה טריקולור אורגנית,24.9,24.90 ₪,500 גר,הרדוף,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/HGP56_M_P_7290013994318_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/קינואה/P_7290013994318.jpg
קינואה,P_7290013994301,קינואה שחורה אורגנית,קינואה שחורה אורגנית,24.9,24.90 ₪,500 גר,הרדוף,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/HFY48_M_P_7290013994301_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/קינואה/P_7290013994301.jpg
קינואה,P_7290113195844,קינואה מן הטבע,קינואה מן הטבע,10.0,10.00 ₪,400 גרם,שקדיה,,
קינואה,P_7290104365546,קינואה-סרום ויטמיןCלפנים,קינואה-סרום ויטמיןCלפנים,99.9,99.90 ₪,"30 מ""ל",קינואה,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/ANB52_M_P_7290104365546_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/קינואה/P_7290104365546.jpg
קינואה,P_7290104365478,קינואה-ק.לחות משקם,קינואה-ק.לחות משקם,89.1,89.10 ₪,"50 מ""ל",קינואה,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/AKL56_M_P_7290104365478_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/קינואה/P_7290104365478.jpg
קינואה,P_7290017142401,קינואה עם טונה בשמן זית,קינואה עם טונה בשמן זית,15.9,15.90 ₪,160 גרם,עץ הזית,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/KES38_M_P_7290017142401_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/קינואה/P_7290017142401.jpg
קינואה,P_8989749,פריכיות קינואה,פריכיות קינואה,14.9,14.90 ₪,200 גרם,בטר & דיפרנט,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/LKO54_M_P_8989749_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/קינואה/P_8989749.jpg
קינואה,P_4339173,המבורגר קינואה,המבורגר קינואה,28.9,28.90 ₪,400 גרם,טבע דלי,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/VWG30_M_P_4339173_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/קינואה/P_4339173.jpg
קינואה,P_7290112965363,קציצות קינואה ברוקולי99ק,קציצות קינואה ברוקולי99ק,37.9,37.90 ₪,525 גרם,טבעול,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/IDG54_M_P_7290112965363_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/קינואה/P_7290112965363.jpg
קינואה,P_7290104365416,קנואה-מקציף לניקוי פנים,קנואה-מקציף לניקוי פנים,39.6,39.60 ₪,"225 מ""ל",קינואה,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/AIB48_M_P_7290104365416_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/קינואה/P_7290104365416.jpg
קינואה,P_7290104365461,קנואה-ק.לחות  מסנן קרינה,קנואה-ק.לחות  מסנן קרינה,89.1,89.10 ₪,"50 מ""ל",קינואה,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/AJU48_M_P_7290104365461_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/קינואה/P_7290104365461.jpg
קינואה,P_7290104365485,קנואה-ק.לילה לכל סוג עור,קנואה-ק.לילה לכל סוג עור,89.1,89.10 ₪,"50 מ""ל",קינואה,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/AKS54_M_P_7290104365485_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/קינואה/P_7290104365485.jpg
