query,code,product_name,description,price,formatted_price,unit_description,brand,image_url,image_path
קמח,P_3107216,קמח לבן,קמח לבן,5.9,5.90 ₪,"1 ק""ג",טחנת קמח דגן,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/TLH20_M_P_3107216_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/קמח/P_3107216.jpg
קמח,P_3107360,קמח לבן בהיר ללא ניפוי,קמח לבן בהיר ללא ניפוי,8.9,8.90 ₪,"1 ק""ג",טחנת קמח דגן,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/TQV20_M_P_3107360_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/קמח/P_3107360.jpg
קמח,P_3060061,קמח כוסמין מלא,קמח כוסמין מלא,11.9,11.90 ₪,"1 ק""ג",טחנות ישראליות,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/BRQ16_M_P_3060061_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/קמח/P_3060061.jpg
קמח,P_7296073021575,קמח תופח,קמח תופח,6.9,6.90 ₪,"1 ק""ג",שופרסל,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/HIM54_M_P_7296073021575_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/קמח/P_7296073021575.jpg
קמח,P_7290012738180,קמח מצה מקמח כוסמין,קמח מצה מקמח כוסמין,9.9,9.90 ₪,400 גרם,מצות יהודה,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/VBP48_M_P_7290012738180_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/קמח/P_7290012738180.jpg
קמח,P_7290017907208,קמח רב תכליתי,קמח רב תכליתי,21.5,21.50 ₪,500 גרם,תמי,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/XOJ52_M_P_7290017907208_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/קמח/P_7290017907208.jpg
קמח,P_7290017907222,קמח תמי תופח,קמח תמי תופח,21.5,21.50 ₪,500 גרם,תמי,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/XOX48_M_P_7290017907222_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/קמח/P_7290017907222.jpg
קמח,P_7296073116820,קמח תפוחי אדמה,קמח תפוחי אדמה,6.9,6.90 ₪,500 גרם,שופרסל,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/SFT52_M_P_7296073116820_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/קמח/P_7296073116820.jpg
קמח,P_7296073472841,קמח חיטה מלא מנופה,קמח חיטה מלא מנופה,9.4,9.40 ₪,"1 ק""ג",שופרסל,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/YWW60_M_P_7296073472841_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/קמח/P_7296073472841.jpg
קמח,P_7296073021568,קמח חיטה לבן בהיר,קמח חיטה לבן בהיר,4.7,4.70 ₪,"1 ק""ג",שופרסל,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/HIF56_M_P_7296073021568_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/קמח/P_7296073021568.jpg
קמח,P_7296073173335,"קמח שיפון מלא 1 ק""ג",קמח שיפון מלא,7.4,7.40 ₪,"1 ק""ג",שופרסל,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/XVK56_M_P_7296073173335_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/קמח/P_7296073173335.jpg
קמח,P_7290100701577,קמח לחם,קמח לחם,8.9,8.90 ₪,"1 ק""ג",סוגת,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/OLE46_M_P_7290100701577_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/קמח/P_7290100701577.jpg
קמח,P_7296073472797,קמח חיטה לבן מנופה,קמח חיטה לבן מנופה,7.4,7.40 ₪,"1 ק""ג",שופרסל,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/YVE70_M_P_7296073472797_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/קמח/P_7296073472797.jpg
קמח,P_7290100701881,קמח פיצה,קמח פיצה,8.9,8.90 ₪,"1 ק""ג",סוגת,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/OWW44_M_P_7290100701881_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/קמח/P_7290100701881.jpg
קמח,P_2333128,"קמח מלא אורגני 1 ק""ג",קמח מלא אורגני,16.9,16.90 ₪,"1 ק""ג",הרדוף,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/SIR22_M_P_2333128_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/קמח/P_2333128.jpg
קמח,P_7296073552949,קמח שמרים מנופה,קמח שמרים מנופה,10.7,10.70 ₪,"1 ק""ג",שופרסל,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/NJY68_M_P_7296073552949_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/קמח/P_7296073552949.jpg
קמח,P_591742,קמח מצה לפסח,קמח מצה לפסח,6.9,6.90 ₪,500 גרם,מצות ראשון,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/QIH28_M_P_591742_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/קמח/P_591742.jpg
קמח,P_4952136,קמח כוסמין מלא אורגני1קג,קמח כוסמין מלא אורגני,20.9,20.90 ₪,"1 ק""ג",הרדוף,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/SPT30_M_P_4952136_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/קמח/P_4952136.jpg
קמח,P_7296073530398,קמח כוסמין לבן מנופה,קמח כוסמין לבן מנופה,15.5,15.50 ₪,"1 ק""ג",שופרסל,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/GAP62_M_P_7296073530398_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/קמח/P_7296073530398.jpg
קמח,P_7296073472896,קמח כוסמין מלא מנופה,קמח כוסמין מלא מנופה,13.5,13.50 ₪,"1 ק""ג",שופרסל,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/YYZ70_M_P_7296073472896_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/קמח/P_7296073472896.jpg
קמח,P_3107513,קמח עוגה תופח,קמח עוגה תופח,8.9,8.90 ₪,"1 ק""ג",דגן,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/TWS20_M_P_3107513_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/קמח/P_3107513.jpg
קמח,P_7296073108443,קמח חיטה מלאה,קמח חיטה מלאה,7.4,7.40 ₪,"1 ק""ג",שופרסל,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/FVO54_M_P_7296073108443_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/קמח/P_7296073108443.jpg
קמח,P_7296073116813,קמח תירס,קמח תירס,5.9,5.90 ₪,400 גרם,שופרסל,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/SFM54_M_P_7296073116813_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/קמח/P_7296073116813.jpg
קמח,P_7290100702383,קמח תופח,קמח תופח,8.9,8.90 ₪,"1 ק""ג",סוגת,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/PQE42_M_P_7290100702383_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/קמח/P_7290100702383.jpg
קמח,P_7296073661795,"קמח לאפיית לחם 1 ק""ג",קמח לאפיית לחם,7.4,7.40 ₪,"1 ק""ג",שופרסל,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/SKI68_M_P_7296073661795_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/קמח/P_7296073661795.jpg
קמח,P_7290100701331,קמח רב תכליתי,קמח רב תכליתי,8.9,8.90 ₪,"1 ק""ג",סוגת,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/OBS34_M_P_7290100701331_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/קמח/P_7290100701331.jpg
קמח,P_7290012738012,קמח מצה מלא,קמח מצה מלא,10.0,10.00 ₪,400 גרם,מצות יהודה,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/UVD42_M_P_7290012738012_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/קמח/P_7290012738012.jpg
