query,code,product_name,description,price,formatted_price,unit_description,brand,image_url,image_path
קצפת,P_7290102390465,יוג.קציפת אפרסק+פסיפלורה,מולר פרופ יוגורט עם קציפת אפרסק פסיפלורה,5.9,5.90 ₪,"150 מ""ל",מולר,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/QUK48_M_P_7290102390465_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/קצפת/P_7290102390465.jpg
קצפת,P_7290102390427,יוגורט פרופ מולר תות שדה,מולר פרופ יוגורט עם קציפת תות,5.9,5.90 ₪,"150 מ""ל",מולר,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/QSY46_M_P_7290102390427_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/קצפת/P_7290102390427.jpg
קצפת,P_4124847,קצפת צמחית מתיקות מעודנת,קצפת צמחית מתיקות מעודנת,17.2,17.20 ₪,"500 מ""ל",השף הלבן,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/QUY30_M_P_4124847_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/קצפת/P_4124847.jpg
קצפת,P_7290013146762,קצפת צמחית מעודנת24%,קצפת צמחית מעודנת24%,8.0,8.00 ₪,"200 מ""ל",מיימונס,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/BMH48_M_P_7290013146762_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/קצפת/P_7290013146762.jpg
קצפת,P_7290013146755,קצפת צמחית מעודנת24%,קצפת צמחית מעודנת24%,15.1,15.10 ₪,"500 מ""ל",מיימונס,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/BMA50_M_P_7290013146755_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/קצפת/P_7290013146755.jpg
קצפת,P_4011338,קצפת ריצ' במיכל,קצפת ריצ' במיכל,11.9,11.90 ₪,"250 מ""ל",ריצ',"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/EXF20_M_P_4011338_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/קצפת/P_4011338.jpg
קצפת,P_5838002,דניאלה מעדן קרם גבינה,מעדן גבינה ויוגורט מוקצף בטעם וניל,4.2,4.20 ₪,88 גרם,דניאלה,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/DBN26_M_P_5838002_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/קצפת/P_5838002.jpg
קצפת,P_8693134,דניאלה תות מוקצף5% שומן,מעדן גבינה ויוגורט מוקצף בטעם תות,4.2,4.20 ₪,88 גרם,דניאלה,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/OQH34_M_P_8693134_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/קצפת/P_8693134.jpg
קצפת,P_7290112349606,דניאלה תות בננה,מעדן גבינה ויוגורט מוקצף בטעם תות בננה,4.2,4.20 ₪,88 גרם,דניאלה,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/HGH50_M_P_7290112349606_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/קצפת/P_7290112349606.jpg
קצפת,P_7290011194215,דניאלה בננה,מעדן גבינה ויוגורט מוקצף בטעם בננה,4.2,4.20 ₪,88 גרם,דניאלה,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/ZCI42_M_P_7290011194215_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/קצפת/P_7290011194215.jpg
