query,code,product_name,description,price,formatted_price,unit_description,brand,image_url,image_path
בגט,P_1312995,באגט,באגט,5.9,5.90 ₪,300 גרם,שופרסל,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/RGU30_M_P_1312995_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/בגט/P_1312995.jpg
בגט,P_3993,באגט כפרי,באגט כפרי,5.9,5.90 ₪,300 גרם,שופרסל,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/EWO24_M_P_3993_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/בגט/P_3993.jpg
בגט,P_9952292,מארז חצי באגט,מארז חצי באגט,16.5,16.50 ₪,5 יחידות,שופרסל,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/FHL38_M_P_9952292_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/בגט/P_9952292.jpg
בגט,P_7296073418900,באגט רוסטיק,באגט רוסטיק,10.9,10.90 ₪,280 גרם,שופרסל,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/XCF56_M_P_7296073418900_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/בגט/P_7296073418900.jpg
בגט,P_9952285,מארז ביס באגט,מארז ביס באגט,13.3,13.30 ₪,8 יחידות,שופרסל,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/FHE40_M_P_9952285_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/בגט/P_9952285.jpg
בגט,P_7296073529040,באגט רוסטיק לבן,באגט רוסטיק לבן,10.9,10.90 ₪,280 גרם,שופרסל,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/EAJ54_M_P_7296073529040_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/בגט/P_7296073529040.jpg
בגט,P_7296073529033,באגט רוסטיק כפרי,באגט רוסטיק כפרי,10.9,10.90 ₪,280 גרם,שופרסל,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/EAC56_M_P_7296073529033_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/בגט/P_7296073529033.jpg
בגט,P_7290016497526,באגט רוסטיק לבן,באגט רוסטיק לבן,10.9,10.90 ₪,280 גרם,שופרסל,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/SFV58_M_P_7290016497526_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/בגט/P_7290016497526.jpg
בגט,P_4170479,באגט רוסטיק כפרי,באגט רוסטיק כפרי,10.9,10.90 ₪,280 גרם,שופרסל,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/GIA32_M_P_4170479_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/בגט/P_4170479.jpg
בגט,P_90870,מארז שליש באגט רוסטיק,מארז שליש באגט רוסטיק כפרי,16.5,16.50 ₪,3 יחידות,שופרסל,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/DJZ24_M_P_90870_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/בגט/P_90870.jpg
