query,code,product_name,description,price,formatted_price,unit_description,brand,image_url,image_path
גבינת מוצרלה,P_554471,גבינת מוצרלה 22%שומן,גבינת מוצרלה 22%שומן,21.7,21.70 ₪,180 גרם,מחלבות גד,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/NEU26_M_P_554471_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/גבינת_מוצרלה/P_554471.jpg
גבינת מוצרלה,P_6492432,גבינה מוצרלה בייבי,גבינה מוצרלה בייבי,16.9,16.90 ₪,150 גרם,מחלבות גד,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/JDX30_M_P_6492432_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/גבינת_מוצרלה/P_6492432.jpg
גבינת מוצרלה,P_7290014455320,כדור מוצרלה פרסקה,כדור מוצרלה פרסקה,12.5,12.50 ₪,100 גרם,מחלבות גד,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/NFL42_M_P_7290014455320_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/גבינת_מוצרלה/P_7290014455320.jpg
גבינת מוצרלה,P_7296073453451,מוצרלה גד 22% פרוס ארוז,גד גבינת מוצרלה 22% פרוס ארוז,98.0,98.00 ₪,כ-300 גרם פרוס,מחלבות גד,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/WFC56_M_P_7296073453451_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/גבינת_מוצרלה/P_7296073453451.jpg
גבינת מוצרלה,P_554815,מוצרלה בגליל 22%,מוצרלה בגליל 22%,98.0,98.00 ₪,מחיר לפי משקל,מחלבות גד,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/NSA28_M_P_554815_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/גבינת_מוצרלה/P_554815.jpg
גבינת מוצרלה,P_7290019635031,בוראטה,בוראטה,20.0,20.00 ₪,125 גרם,מחלבות גד,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/FNC46_M_P_7290019635031_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/גבינת_מוצרלה/P_7290019635031.jpg
גבינת מוצרלה,P_554655,מוצרלה מעושנת גד 22%,מוצרלה מעושנת גד 22%,110.0,110.00 ₪,מחיר לפי משקל,מחלבות גד,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/NLW30_M_P_554655_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/גבינת_מוצרלה/P_554655.jpg
גבינת מוצרלה,P_3578085,גבינת מוצרלה,גבינת מוצרלה,69.0,69.00 ₪,מחיר לפי משקל,אירו מחלבות אירופה,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/NZQ36_M_P_3578085_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/גבינת_מוצרלה/P_3578085.jpg
גבינת מוצרלה,P_7296073597391,גבינת מוצרלה מגורד,גבינת מוצרלה מגורד,69.0,69.00 ₪,כ 300 גרם,אירו מחלבות אירופה,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/BDG68_M_P_7296073597391_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/גבינת_מוצרלה/P_7296073597391.jpg
גבינת מוצרלה,P_9139198,גבינת מוצרלה מגורדת,גבינת מוצרלה מגורדת,69.0,69.00 ₪,מחיר לפי משקל,אירו מחלבות אירופה,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/YMP40_M_P_9139198_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/גבינת_מוצרלה/P_9139198.jpg
גבינת מוצרלה,P_7296073597384,גבינת מוצרלה פרוס,גבינת מוצרלה 21% פרוס אירו,69.0,69.00 ₪,כ-300 גרם,אירו מחלבות אירופה,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/BCZ70_M_P_7296073597384_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/גבינת_מוצרלה/P_7296073597384.jpg
גבינת מוצרלה,P_8350501,בייבי מוצרלה 18%,בייבי מוצרלה 18%,13.5,13.50 ₪,150 גרם,קאזה איטליה,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/BUC22_M_P_8350501_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/גבינת_מוצרלה/P_8350501.jpg
גבינת מוצרלה,P_7290117261088,בוראטה מוצרלה רכה,בוראטה מוצרלה רכה,21.9,21.90 ₪,125 גרם,אירו מחלבות אירופה,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/STL52_M_P_7290117261088_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/גבינת_מוצרלה/P_7290117261088.jpg
גבינת מוצרלה,P_7640101090833,מוצרלה כדור,מוצרלה כדור,10.9,10.90 ₪,125 גרם,זוקר,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/DOC42_M_P_7640101090833_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/גבינת_מוצרלה/P_7640101090833.jpg
גבינת מוצרלה,P_2511571,גבינת מוצרלה בלוק 22%,גבינת מוצרלה בלוק 22%,92.0,92.00 ₪,מחיר לפי משקל,מחלבת המושבה,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/WHW22_M_P_2511571_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/גבינת_מוצרלה/P_2511571.jpg
גבינת מוצרלה,P_7296073707066,גבינת מוצרלה בלוק 22%,גבינת מוצרלה בלוק 22%,92.0,92.00 ₪,כ- 300 גרם,מחלבת המושבה,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/HJN60_M_P_7296073707066_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/גבינת_מוצרלה/P_7296073707066.jpg
גבינת מוצרלה,P_7296073707073,גבינת מוצרלה22% מגורדת,גבינת מוצרלה22% מגורדת,92.0,92.00 ₪,כ- 250 גרם ארוז,מחלבת המושבה,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/HJU58_M_P_7296073707073_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/גבינת_מוצרלה/P_7296073707073.jpg
גבינת מוצרלה,P_554600,גבינת מוצרלה מגורדת 22%,גבינת מוצרלה מגורדת 22%,28.5,28.50 ₪,300 גרם,מחלבות גד,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/NJT20_M_P_554600_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/גבינת_מוצרלה/P_554600.jpg
גבינת מוצרלה,P_7290108501490,גבינת מוצרלה פרוסות,גבינת מוצרלה פרוסות,14.9,14.90 ₪,150 גרם,אירו מחלבות אירופה,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/ITV46_M_P_7290108501490_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/גבינת_מוצרלה/P_7290108501490.jpg
גבינת מוצרלה,P_4132712,אצבעות גבינת מוצרלה,אצבעות גבינת מוצרלה,19.9,19.90 ₪,8 * 21.5 גרם,עמק,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/CLL20_M_P_4132712_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/גבינת_מוצרלה/P_4132712.jpg
גבינת מוצרלה,P_7296073453642,מוצרלה גד 22% מגורד ארוז,גבינת מוצרלה גד 22% מגורד ארוז,98.0,98.00 ₪,כ- 300 גרם מגור,מחלבות גד,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/WML58_M_P_7296073453642_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/גבינת_מוצרלה/P_7296073453642.jpg
גבינת מוצרלה,P_554754,כדורי מוצרלה קטן 19%,כדורי מוצרלה קטן 19%,115.0,115.00 ₪,מחיר לפי משקל,מחלבות גד,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/NPR30_M_P_554754_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/גבינת_מוצרלה/P_554754.jpg
גבינת מוצרלה,P_554990,כדורי מוצרלה 19% שומן,כדורי מוצרלה 19% שומן,115.0,115.00 ₪,מחיר לפי משקל,מחלבות גד,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/NYT32_M_P_554990_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/גבינת_מוצרלה/P_554990.jpg
גבינת מוצרלה,P_7296073593799,כדורי מוצרלה קטן 19%,כדורי מוצרלה קטן  19% מחלבת גד,115.0,115.00 ₪,כ- 250 גרם,מחלבות גד,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/VVC76_M_P_7296073593799_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/גבינת_מוצרלה/P_7296073593799.jpg
גבינת מוצרלה,P_7296073593904,כדורי מוצרלה 19% שומן,כדורי מוצרלה 19% שומן מחלבת גד,115.0,115.00 ₪,כ- 200 גרם,מחלבות גד,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/VZD64_M_P_7296073593904_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/גבינת_מוצרלה/P_7296073593904.jpg
גבינת מוצרלה,P_5292874002043,בסגנון מוצרלה מגורדת,בסגנון מוצרלה מגורדת,21.5,21.50 ₪,150 גרם,גרין ויה,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/SGQ46_M_P_5292874002043_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/גבינת_מוצרלה/P_5292874002043.jpg
גבינת מוצרלה,P_7296073630838,מגורדת בסגנון מוצרלה,מגורדת בסגנון מוצרלה,21.9,21.90 ₪,200 גרם,גרין,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/YPR62_M_P_7296073630838_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/גבינת_מוצרלה/P_7296073630838.jpg
גבינת מוצרלה,P_7290015599061,צהובה טבעונית מוצרלה,צהובה טבעונית מוצרלה,25.9,25.90 ₪,200 גרם,וגה,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/PDM54_M_P_7290015599061_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/גבינת_מוצרלה/P_7290015599061.jpg
גבינת מוצרלה,P_5292874000063,בסגנון מוצארלה צאנק,בסגנון מוצארלה צאנק,23.9,23.90 ₪,250 גרם,גרין ויה,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/PIM46_M_P_5292874000063_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/גבינת_מוצרלה/P_5292874000063.jpg
גבינת מוצרלה,P_7290110320935,פרוסות מוצרלה,פרוסות מוצרלה,19.3,19.30 ₪,150 גרם,קולקשן,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/WGM42_M_P_7290110320935_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/גבינת_מוצרלה/P_7290110320935.jpg
