query,code,product_name,description,price,formatted_price,unit_description,brand,image_url,image_path
גבינת פרמזן,P_7290014759985,גבינת פרמזן / גבע,גבינת פרמזן / גבע,29.9,29.90 ₪,200 גרם,קולקשן,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/VXI66_M_P_7290014759985_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/גבינת_פרמזן/P_7290014759985.jpg
גבינת פרמזן,P_9954395,גבינת פרמזן מגורדת,גבינת פרמזן מגורדת,145.0,145.00 ₪,מחיר לפי משקל,קולקשן,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/IKI44_M_P_9954395_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/גבינת_פרמזן/P_9954395.jpg
גבינת פרמזן,P_7290015039635,גבינת פרמזן משולש,גבינת פרמזן משולש,24.9,24.90 ₪,200 גרם,אירו מחלבות אירופה,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/TPC50_M_P_7290015039635_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/גבינת_פרמזן/P_7290015039635.jpg
גבינת פרמזן,P_7296073421801,גבינת פרמזן 30% שופרסל,גבינת פרמזן 30% שומן,26.9,26.90 ₪,200 גרם,שופרסל,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/BJU50_M_P_7296073421801_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/גבינת_פרמזן/P_7296073421801.jpg
גבינת פרמזן,P_7296073421818,גבינת פרמזן 30% מגורדת,גבינת פרמזן 30% מגורדת,12.9,12.90 ₪,100גרם,שופרסל,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/BKL58_M_P_7296073421818_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/גבינת_פרמזן/P_7296073421818.jpg
גבינת פרמזן,P_9957341,גבינת פרמזן 30% שופרסל,גבינת פרמזן 30% שומן,115.0,115.00 ₪,מחיר לפי משקל,שופרסל,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/MTQ38_M_P_9957341_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/גבינת_פרמזן/P_9957341.jpg
גבינת פרמזן,P_7296073597339,גבינת פרמזן 30% מגורדת,גבינת פרמזן 30% מגורדת,115.0,115.00 ₪,כ- 250 גרם,שופרסל,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/BBG70_M_P_7296073597339_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/גבינת_פרמזן/P_7296073597339.jpg
גבינת פרמזן,P_9138955,גבינת פרמזן 30% מגורדת,גבינת פרמזן 30% מגורדת,115.0,115.00 ₪,מחיר לפי משקל,שופרסל,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/YDG40_M_P_9138955_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/גבינת_פרמזן/P_9138955.jpg
גבינת פרמזן,P_9137293,גבינת פרמזן 30% שופרסל,גבינת פרמזן 30% שופרסל,115.0,115.00 ₪,כ300 גרם בגוש,שופרסל,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/VRI34_M_P_9137293_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/גבינת_פרמזן/P_9137293.jpg
גבינת פרמזן,P_7296073453703,קולאז' פרמזן מגורד א23%,גבינת קולאז' פרמזן מגורד 23%,145.0,145.00 ₪,כ- 250 גרם,קולקשן,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/WOU56_M_P_7296073453703_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/גבינת_פרמזן/P_7296073453703.jpg
גבינת פרמזן,P_4122119,פתיתי פרמזן גבינה קשה23%,פתיתי פרמזן גבינה קשה23%,14.9,14.90 ₪,100 גרם,השף הלבן,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/MUA20_M_P_4122119_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/גבינת_פרמזן/P_4122119.jpg
גבינת פרמזן,P_7290108506709,גבינת פרמג'אנו,גבינת פרמג'אנו משולש,26.9,26.90 ₪,150 גרם,ויליפוד,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/QMO54_M_P_7290108506709_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/גבינת_פרמזן/P_7290108506709.jpg
