query,code,product_name,description,price,formatted_price,unit_description,brand,image_url,image_path
חלבון ביצה,P_7290102399796,מולר אקטיב לבן חלבון 25ג,מולר פרוטאין יוגורט לבן 25 גרם חלבון 2% שומן,6.9,6.90 ₪,200 גרם,מולר,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/EPH64_M_P_7290102399796_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/חלבון_ביצה/P_7290102399796.jpg
חלבון ביצה,P_7290110573737,משקה יוגורט פרו תות ללס,משקה יוגורט פרו חלבון תות ללא ת.סוכר,7.8,7.80 ₪,255 גרם,דנונה,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/GFQ52_M_P_7290110573737_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/חלבון_ביצה/P_7290110573737.jpg
חלבון ביצה,P_7290110552244,"משקה דנונה פרו20 ללת""ס",משקה יוגורט פרו חלבון וניל ללא ת.סוכר,7.8,7.80 ₪,255 גרם,דנונה,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/AKZ42_M_P_7290110552244_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/חלבון_ביצה/P_7290110552244.jpg
חלבון ביצה,P_7290110571382,מעדן בטעם וניל מועשר,מעדן חלב פרו בטעם וניל מועשר בחלבון,5.8,5.80 ₪,150 גרם,שטראוס,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/CTB46_M_P_7290110571382_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/חלבון_ביצה/P_7290110571382.jpg
חלבון ביצה,P_7290110557102,מעדן חלב שוקולד מועשר,מעדן חלב פרו בטעם שוקולד מועשר בחלבון,5.8,5.80 ₪,150 גרם,שטראוס,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/HPV40_M_P_7290110557102_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/חלבון_ביצה/P_7290110557102.jpg
חלבון ביצה,P_7290110573577,משקה יוגורט פרו וניל ללס,משקה יוגורט פרו,7.7,7.70 ₪,255 גרם,דנונה,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/FZM54_M_P_7290110573577_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/חלבון_ביצה/P_7290110573577.jpg
חלבון ביצה,P_7290110329136,מעדן חלב גו בטעם שוקולד,מעדן חלב גו בטעם שוקולד,6.2,6.20 ₪,120 גרם,יופלה גו,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/IJX44_M_P_7290110329136_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/חלבון_ביצה/P_7290110329136.jpg
חלבון ביצה,P_7290110566975,דנונה פרו 20ג חלבון תות,יוגורט חלבון פרו תות,6.4,6.40 ₪,200 גרם,דנונה,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/WFO58_M_P_7290110566975_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/חלבון_ביצה/P_7290110566975.jpg
חלבון ביצה,P_7290110329143,מעדן חלב גו בטעם וניל,מעדן חלב גו בטעם וניל,6.2,6.20 ₪,120 גרם,יופלה גו,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/IKE42_M_P_7290110329143_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/חלבון_ביצה/P_7290110329143.jpg
חלבון ביצה,P_7290116930701,מעדן חלב גו בטעם קרמל,מעדן חלב גו בטעם קרמל,6.2,6.20 ₪,120 גרם,יופלה גו,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/YAG46_M_P_7290116930701_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/חלבון_ביצה/P_7290116930701.jpg
חלבון ביצה,P_7290112336712,דנונה פרו 21 חלבון 0%,יוגורט פרו חלבון לבן 0% שומן,6.4,6.40 ₪,200 גרם,דנונה,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/OEJ44_M_P_7290112336712_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/חלבון_ביצה/P_7290112336712.jpg
חלבון ביצה,P_7290110565527,דנונה פרו 20 גרם חלבון,יוגורט פרו חלבון לבן 1.5% שומן,6.4,6.40 ₪,200 גרם,דנונה,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/UBW50_M_P_7290110565527_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/חלבון_ביצה/P_7290110565527.jpg
חלבון ביצה,P_7290112330352,דנונה פרו 20 גר וניל 0%,יוגורט פרו חלבון ניל 0% שומן,6.4,6.40 ₪,200 גרם,דנונה,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/ETT38_M_P_7290112330352_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/חלבון_ביצה/P_7290112330352.jpg
חלבון ביצה,P_7290112355027,דנונה פרו 20 קרמל מלוח,יוגורט פרו חלבון קרמל מלוח,6.4,6.40 ₪,200 גרם,דנונה,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/PGU44_M_P_7290112355027_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/חלבון_ביצה/P_7290112355027.jpg
חלבון ביצה,P_7290101551539,דנונה פרו20ג חלבון אפרסק,יוגורט פרו חלבון אפרסק 0% שומן,6.4,6.40 ₪,200 גרם,דנונה,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/XUA48_M_P_7290101551539_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/חלבון_ביצה/P_7290101551539.jpg
חלבון ביצה,P_7290110552237,דנונה פרו אפרסק מנגו,"יוגורט חלבון פרו אפרסק מנגו לת""ס",6.4,6.40 ₪,200 גרם,דנונה,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/AKS44_M_P_7290110552237_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/חלבון_ביצה/P_7290110552237.jpg
חלבון ביצה,P_7290012208959,"חלבון סויה מיובש לל""ג","חלבון סויה מיובש לל""ג",20.9,20.90 ₪,300 גרם,עתיד ירוק,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/SEY54_M_P_7290012208959_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/חלבון_ביצה/P_7290012208959.jpg
חלבון ביצה,P_7290112330390,דנונה פרו 20 פירות יער0%,יוגורט פרו חלבון פירות יער 0% שומן,6.4,6.40 ₪,200 גרם,דנונה,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/EVF40_M_P_7290112330390_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/חלבון_ביצה/P_7290112330390.jpg
חלבון ביצה,P_7290119377480,יוגורט פרו עם שוקולד,יוגורט חלבון פרו עם תוספת פתיתי שוקולד,7.0,7.00 ₪,178 גרם,דנונה,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/DND58_M_P_7290119377480_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/חלבון_ביצה/P_7290119377480.jpg
חלבון ביצה,P_7290110558314,דנונ.פרו ללא סוכר פיסטוק,יוגורט עם חלבון פרו ללא סוכר פיסטוק,6.4,6.40 ₪,200 גרם,דנונה,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/JKL46_M_P_7290110558314_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/חלבון_ביצה/P_7290110558314.jpg
חלבון ביצה,P_1201589,ביצים ארוזות L,ביצים ארוזות L,14.09,14.09 ₪,12 יחידות,לסר,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/ILY26_M_P_1201589_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/חלבון_ביצה/P_1201589.jpg
חלבון ביצה,P_1201596,ביצים ארוזות M,ביצים ארוזות M,13.0,13.00 ₪,12 יחידות,לסר,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/IMF24_M_P_1201596_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/חלבון_ביצה/P_1201596.jpg
חלבון ביצה,P_1201862,ביצי חופש L,ביצי חופש L,21.9,21.90 ₪,12 יחידות,לסר,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/IWL20_M_P_1201862_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/חלבון_ביצה/P_1201862.jpg
חלבון ביצה,P_1201855,ביצים אומגה 3 L,ביצים אומגה 3 L,23.9,23.90 ₪,12 יחידות,לסר,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/IWE22_M_P_1201855_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/חלבון_ביצה/P_1201855.jpg
