query,code,product_name,description,price,formatted_price,unit_description,brand,image_url,image_path
לחם כוסמין,P_9137842,מארז לחמניות כוסמין,מארז לחמניות כוסמין,16.5,16.50 ₪,5 יחידות,שופרסל,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/WML34_M_P_9137842_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/לחם_כוסמין/P_9137842.jpg
לחם כוסמין,P_7290016304404,לחם כוסמין,לחם כוסמין,18.9,18.90 ₪,600 גרם,דוידוביץ,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/SOB40_M_P_7290016304404_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/לחם_כוסמין/P_7290016304404.jpg
לחם כוסמין,P_7290018500316,לחם כוסמין לבן,לחם כוסמין לבן,19.9,19.90 ₪,400 גרם,אנג'ל מאפיה,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/QYF42_M_P_7290018500316_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/לחם_כוסמין/P_7290018500316.jpg
לחם כוסמין,P_7290016867237,לחם כוסמין במתיקות,לחם כוסמין במתיקות,19.9,19.90 ₪,450 גרם,"המאפה של ד""ר מרק","https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/TDM58_M_P_7290016867237_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/לחם_כוסמין/P_7290016867237.jpg
לחם כוסמין,P_1598405,לחם מחמצת טבעית,לחם כוסמין מחמצת,20.9,20.90 ₪,500 גרם,טאוברד,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/XMC32_M_P_1598405_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/לחם_כוסמין/P_1598405.jpg
לחם כוסמין,P_7290017746906,לחם כוסמין מלא כפרי,לחם כוסמין מלא כפרי,20.9,20.90 ₪,750 גרם,דוידוביץ,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/UKX58_M_P_7290017746906_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/לחם_כוסמין/P_7290017746906.jpg
לחם כוסמין,P_1598610,לחמניות כוסמין במתיקות,לחמניות כוסמין במתיקות,14.5,14.50 ₪,300 גרם,טאוברד,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/XTZ30_M_P_1598610_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/לחם_כוסמין/P_1598610.jpg
לחם כוסמין,P_7296073612735,לחם מחמצת כוסמין,לחם מחמצת כוסמין,20.9,20.90 ₪,,שופרסל,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/XVK58_M_P_7296073612735_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/לחם_כוסמין/P_7296073612735.jpg
לחם כוסמין,P_4685447,לחמניות כוסמין 6יח בשקית,לחמניות כוסמין 6יח בשקית,16.9,16.90 ₪,450 גרם,ברמן לחם,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/OCM38_M_P_4685447_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/לחם_כוסמין/P_4685447.jpg
לחם כוסמין,P_574615,כוסמין מלא 100%,לחם כוסמין מלא 100%,19.9,19.90 ₪,750 גרם,דגנית עין בר,,
לחם כוסמין,P_7290016867299,8 לחמניות כוסמין,8 לחמניות כוסמין,19.9,19.90 ₪,דר' מרק,"המאפה של ד""ר מרק","https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/TFW66_M_P_7290016867299_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/לחם_כוסמין/P_7290016867299.jpg
לחם כוסמין,P_6451507,לחם מחמצת מכוסמין,לחם מחמצת מכוסמין,20.9,20.90 ₪,,שופרסל,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/APW28_M_P_6451507_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/לחם_כוסמין/P_6451507.jpg
לחם כוסמין,P_7290017947495,לחמניות כוסמין אנג'ל 6יח,לחמניות כוסמין אנג'ל 6יח,16.9,16.90 ₪,450 גרם,אנג'ל מאפיה,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/FDW64_M_P_7290017947495_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/לחם_כוסמין/P_7290017947495.jpg
לחם כוסמין,P_7296073369974,פירורי לחם כוסמין,פירורי לחם מקמח כוסמין מלא,9.5,9.50 ₪,350 גרם,שופרסל,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/CSL72_M_P_7296073369974_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/לחם_כוסמין/P_7296073369974.jpg
לחם כוסמין,P_7296073641582,לחם מחמצת כוסמין פרוס,לחם מחמצת כוסמין פרוס,20.9,20.90 ₪,,שופרסל,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/OMX60_M_P_7296073641582_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/לחם_כוסמין/P_7296073641582.jpg
לחם כוסמין,P_574622,כוסמין מלא 100%,לחם כוסמין מלא 100% אקטיב,19.9,19.90 ₪,750 גרם,דגנית עין בר,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/QZV26_M_P_574622_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/לחם_כוסמין/P_574622.jpg
לחם כוסמין,P_7290018540817,לחם מחמצת כוסמין,לחם מחמצת כוסמין,19.9,19.90 ₪,500 גרם,אנג'ל מאפיה,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/YVY52_M_P_7290018540817_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/לחם_כוסמין/P_7290018540817.jpg
לחם כוסמין,P_7290016967456,לחם מחמצת כוסמין,לחם מחמצת כוסמין,17.9,17.90 ₪,600 גרם,אנג'ל מאפיה,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/LKB62_M_P_7290016967456_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/לחם_כוסמין/P_7290016967456.jpg
לחם כוסמין,P_7290016867008,לחם מחמצת כוסמין,לחם מחמצת כוסמין,19.9,19.90 ₪,700 גרם,"המאפה של ד""ר מרק","https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/SUR54_M_P_7290016867008_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/לחם_כוסמין/P_7290016867008.jpg
לחם כוסמין,P_4685430,לחם הארץ כוסמין 100%,לחם הארץ כוסמין 100%,17.5,17.50 ₪,500 גרם,לחם הארץ,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/OBV30_M_P_4685430_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/לחם_כוסמין/P_4685430.jpg
לחם כוסמין,P_1598313,לחמניות קלות כוסמין,לחמניות קלות כוסמין,16.5,16.50 ₪,340 גרם,טאוברד,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/XIO30_M_P_1598313_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/לחם_כוסמין/P_1598313.jpg
לחם כוסמין,P_7290016867053,לחם מחמצת כוסמין מלא,לחם מחמצת כוסמין מלא,19.9,19.90 ₪,450 גרם,"המאפה של ד""ר מרק","https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/SWK54_M_P_7290016867053_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/לחם_כוסמין/P_7290016867053.jpg
לחם כוסמין,P_7290018581421,לחמניות המבורגר כוסמין,לחמניות המבורגר כוסמין,16.9,16.90 ₪,4 יחידות,טאוברד,,
לחם כוסמין,P_7290011830168,פירורי לחם אורגני כוסמין,פירורי לחם אורגני כוסמין,15.9,15.90 ₪,200 גרם,השדה,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/DWB46_M_P_7290011830168_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/לחם_כוסמין/P_7290011830168.jpg
לחם כוסמין,P_7290016867176,לחמ.קלות כוסמין שומשום,לחמניות קלות כוסמין שומשום,15.9,15.90 ₪,300 גרם,"המאפה של ד""ר מרק","https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/TBD60_M_P_7290016867176_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/לחם_כוסמין/P_7290016867176.jpg
לחם כוסמין,P_7290016867114,לחם קל מכוסמין מלא,לחם קל מכוסמין מלא,19.9,19.90 ₪,450  גרם,"המאפה של ד""ר מרק","https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/SYT52_M_P_7290016867114_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/לחם_כוסמין/P_7290016867114.jpg
לחם כוסמין,P_498034,לחם E-FREE מקמח כוסמין,לחם E-FREE מקמח כוסמין,17.9,17.90 ₪,750 גרם,ברמן לחם,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/HSD28_M_P_498034_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/לחם_כוסמין/P_498034.jpg
לחם כוסמין,P_7290017947891,אנג'ל כוסמין וחיטה מלאה,אנג'ל כוסמין וחיטה מלאה,17.9,17.90 ₪,750 גרם,אנג'ל מאפיה,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/FTC64_M_P_7290017947891_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/לחם_כוסמין/P_7290017947891.jpg
לחם כוסמין,P_4685478,פיתות כוסמין 10 יחידות,פיתות כוסמין 10 יחידות,18.9,18.90 ₪,550 גרם,לחם הארץ,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/ODR42_M_P_4685478_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/לחם_כוסמין/P_4685478.jpg
לחם כוסמין,P_1507667,מצות כוסמין אורגניות,מצות כוסמין אורגני,14.9,14.90 ₪,300 גרם,השדה,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/TGE32_M_P_1507667_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/לחם_כוסמין/P_1507667.jpg
