query,code,product_name,description,price,formatted_price,unit_description,brand,image_url,image_path
לחם מלא,P_8006837001137,לחם מוראטו קמח מלא,לחם מוראטו קמח מלא בסגנון אמריקאי,16.9,16.90 ₪,600 גרם,מוראטו,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/APM44_M_P_8006837001137_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/לחם_מלא/P_8006837001137.jpg
לחם מלא,P_4033736,לחם עננים בסגנון בריוש,לחם עננים בסגנון בריוש,16.5,16.50 ₪,500 גרם,ברמן לחם,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/MAR26_M_P_4033736_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/לחם_מלא/P_4033736.jpg
לחם מלא,P_4033712,לחם  עננים מקמח מלא,לחם  עננים מקמח מלא,16.5,16.50 ₪,750 גרם,ברמן לחם,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/LZT20_M_P_4033712_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/לחם_מלא/P_4033712.jpg
לחם מלא,P_2037194,לחם קמח מלא בטוב,לחם קמח מלא בטוב,15.9,15.90 ₪,750 גרם,ודש,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/WOP26_M_P_2037194_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/לחם_מלא/P_2037194.jpg
לחם מלא,P_2079927,לחם דגנים מלא,לחם דגנים מלא,16.9,16.90 ₪,750 גרם,דוידוביץ,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/HUE36_M_P_2079927_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/לחם_מלא/P_2079927.jpg
לחם מלא,P_7290014940901,לחם פשוט מלא,לחם פשוט מלא,15.5,15.50 ₪,750 גרם,אנג'ל מאפיה,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/DNQ46_M_P_7290014940901_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/לחם_מלא/P_7290014940901.jpg
לחם מלא,P_7290016967074,לחם אנג'ל חיטה מלאה,לחם אנג'ל חיטה מלאה,17.9,17.90 ₪,750 גרם,אנג'ל מאפיה,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/KVJ58_M_P_7290016967074_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/לחם_מלא/P_7290016967074.jpg
לחם מלא,P_7290017304885,לחם שיפון מלא פרוס,לחם שיפון מלא פרוס,17.9,17.90 ₪,750 גרם,אנג'ל מאפיה,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/QOC54_M_P_7290017304885_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/לחם_מלא/P_7290017304885.jpg
לחם מלא,P_7290018500460,לחם אנג'ל חצי מלא,לחם אנג'ל חצי מלא,13.9,13.90 ₪,700 גרם,אנג'ל מאפיה,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/RDT42_M_P_7290018500460_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/לחם_מלא/P_7290018500460.jpg
לחם מלא,P_7290017947891,אנג'ל כוסמין וחיטה מלאה,אנג'ל כוסמין וחיטה מלאה,17.9,17.90 ₪,750 גרם,אנג'ל מאפיה,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/FTC64_M_P_7290017947891_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/לחם_מלא/P_7290017947891.jpg
לחם מלא,P_574141,לחם חיטה מלא,לחם חיטה מלא,15.5,15.50 ₪,750 גרם,דגנית עין בר,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/QHI22_M_P_574141_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/לחם_מלא/P_574141.jpg
לחם מלא,P_3268429,לחם ירוק מקמח מלא,לחם ירוק מקמח מלא,15.5,15.50 ₪,750 גרם,דגנית עין בר,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/XXU34_M_P_3268429_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/לחם_מלא/P_3268429.jpg
לחם מלא,P_3268252,לחם חיטה מלא לילדים,לחם חיטה מלא לילדים,15.5,15.50 ₪,750 גרם,דגנית עין בר,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/XQZ28_M_P_3268252_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/לחם_מלא/P_3268252.jpg
לחם מלא,P_574455,לחם חיטה מלא +כוסמין,לחם חיטה מלא +כוסמין,15.5,15.50 ₪,750 גרם,דגנית עין בר,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/QTK30_M_P_574455_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/לחם_מלא/P_574455.jpg
לחם מלא,P_4504762,לחם מקמח מלא,לחם מקמח מלא,12.5,12.50 ₪,550 גרם,שופרסל,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/GVB28_M_P_4504762_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/לחם_מלא/P_4504762.jpg
לחם מלא,P_7296073592488,לחם מקמח מלא,לחם מקמח מלא,12.5,12.50 ₪,540 גרם,שופרסל,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/TWR70_M_P_7296073592488_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/לחם_מלא/P_7296073592488.jpg
לחם מלא,P_7290015644297,לחמניות פשוט מלא,לחמניות פשוט מלא,12.5,12.50 ₪,6 * 75 גרם,אנג'ל מאפיה,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/EBI56_M_P_7290015644297_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/לחם_מלא/P_7290015644297.jpg
לחם מלא,P_6322838,לחם קמח מלא 100%,לחם קמח מלא 100%,14.5,14.50 ₪,750 גרם,דוידוביץ,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/SHB32_M_P_6322838_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/לחם_מלא/P_6322838.jpg
לחם מלא,P_7290017746906,לחם כוסמין מלא כפרי,לחם כוסמין מלא כפרי,20.9,20.90 ₪,750 גרם,דוידוביץ,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/UKX58_M_P_7290017746906_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/לחם_מלא/P_7290017746906.jpg
לחם מלא,P_574615,כוסמין מלא 100%,לחם כוסמין מלא 100%,19.9,19.90 ₪,750 גרם,דגנית עין בר,,
לחם מלא,P_3054183,לחם שיפון מלא מסטמכר,לחם שיפון מלא מסטמכר,15.5,15.50 ₪,500 גרם,מסטמאכר,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/SZO24_M_P_3054183_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/לחם_מלא/P_3054183.jpg
לחם מלא,P_497303,לחמניות מקמח מלא בשקית,לחמניות מקמח מלא בשקית,14.9,14.90 ₪,6 * 75 גרם,ברמן לחם,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/GQA26_M_P_497303_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/לחם_מלא/P_497303.jpg
לחם מלא,P_7296073124375,פירורי לחם מחיטה מלאה,פירורי לחם מחיטה מלאה,6.9,6.90 ₪,200 גרם,שופרסל,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/DKI56_M_P_7296073124375_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/לחם_מלא/P_7296073124375.jpg
לחם מלא,P_481531,לחמניות חיטה מלאה מארז,לחמניות חיטה מלאה מארז,13.4,13.40 ₪,10  * 75 גרם,דגנית עין בר,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/JHK22_M_P_481531_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/לחם_מלא/P_481531.jpg
לחם מלא,P_574622,כוסמין מלא 100%,לחם כוסמין מלא 100% אקטיב,19.9,19.90 ₪,750 גרם,דגנית עין בר,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/QZV26_M_P_574622_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/לחם_מלא/P_574622.jpg
לחם מלא,P_3719259,לחם אקסקלוסיבי שיפון מלא,לחם אקסקלוסיבי שיפון מלא,18.9,18.90 ₪,"1 ק""ג",ליבו,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/OVK36_M_P_3719259_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/לחם_מלא/P_3719259.jpg
לחם מלא,P_7290016867114,לחם קל מכוסמין מלא,לחם קל מכוסמין מלא,19.9,19.90 ₪,450  גרם,"המאפה של ד""ר מרק","https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/SYT52_M_P_7290016867114_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/לחם_מלא/P_7290016867114.jpg
לחם מלא,P_7290016867053,לחם מחמצת כוסמין מלא,לחם מחמצת כוסמין מלא,19.9,19.90 ₪,450 גרם,"המאפה של ד""ר מרק","https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/SWK54_M_P_7290016867053_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/לחם_מלא/P_7290016867053.jpg
לחם מלא,P_481203,לחם מחמצת קמח מלא,לחם מחמצת קמח מלא,17.5,17.50 ₪,550 גרם,דגנית עין בר,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/IUU18_M_P_481203_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/לחם_מלא/P_481203.jpg
לחם מלא,P_574172,לחם קל מחיטה מלאה,לחם קל מחיטה מלאה,16.4,16.40 ₪,750 גרם,דגנית עין בר,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/QIN26_M_P_574172_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/לחם_מלא/P_574172.jpg
