query,code,product_name,description,price,formatted_price,unit_description,brand,image_url,image_path
משקה שיבולת שועל,P_7290110325619,משקה שיבולת שועל,משקה שיבולת שועל,14.3,14.30 ₪,1 ליטר,תנובה אלטרנטיב,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/DEQ46_M_P_7290110325619_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/משקה_שיבולת_שועל/P_7290110325619.jpg
משקה שיבולת שועל,P_8000215204677,משקה שיבולת שועל בריסטה,משקה שיבולת שועל בריסטה,15.9,15.90 ₪,1 ליטר,ויטריז,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/VSG42_M_P_8000215204677_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/משקה_שיבולת_שועל/P_8000215204677.jpg
משקה שיבולת שועל,P_7290116932842,משקה שיבולת שועל וניל,משקה שיבולת שועל וניל,14.3,14.30 ₪,1 ליטר,תנובה אלטרנטיב,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/BEP54_M_P_7290116932842_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/משקה_שיבולת_שועל/P_7290116932842.jpg
משקה שיבולת שועל,P_8000215204714,משקה שיבולת שועל אורגני,משקה שיבולת שועל אורגני,15.9,15.90 ₪,1 ליטר,פרימאבנה,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/VTR34_M_P_8000215204714_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/משקה_שיבולת_שועל/P_8000215204714.jpg
משקה שיבולת שועל,P_5411188127697,משקה שיבולת שועל בריסטה,משקה שיבולת שועל בריסטה,16.9,16.90 ₪,1 ליטר,אלפרו,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/QFA60_M_P_5411188127697_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/משקה_שיבולת_שועל/P_5411188127697.jpg
משקה שיבולת שועל,P_7394376123337,משקה שיבולת שועל אורגני,משקה שיבולת שועל אורגני,17.5,17.50 ₪,1 ליטר,אוטלי,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/QXU58_M_P_7394376123337_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/משקה_שיבולת_שועל/P_7394376123337.jpg
משקה שיבולת שועל,P_5411188115366,משקה שיבולת שועל אלפרו,משקה שיבולת שועל אלפרו,16.9,16.90 ₪,1 ליטר,אלפרו,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/XYT50_M_P_5411188115366_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/משקה_שיבולת_שועל/P_5411188115366.jpg
משקה שיבולת שועל,P_7290116931432,משקה שיבולת שועל סחלב,משקה שיבולת שועל סחלב,14.9,14.90 ₪,1 ליטר,תנובה אלטרנטיב,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/ZCJ48_M_P_7290116931432_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/משקה_שיבולת_שועל/P_7290116931432.jpg
משקה שיבולת שועל,P_8006040380197,וולסויה משקה שיבולת שועל,וולסויה משקה שיבולת שועל,13.9,13.90 ₪,1 ליטר,וולסויה,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/RGO46_M_P_8006040380197_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/משקה_שיבולת_שועל/P_8006040380197.jpg
משקה שיבולת שועל,P_7394376621451,משקה שיבולת שועל להקצפה,משקה שיבולת שועל בריסטה להקצפה,17.9,17.90 ₪,1 ליטר,אוטלי,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/ZUA58_M_P_7394376621451_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/משקה_שיבולת_שועל/P_7394376621451.jpg
משקה שיבולת שועל,P_7290017325972,משקה שיבולת שועל  0%  סו,משקה שיבולת שועל  0%  סו,14.9,14.90 ₪,1 ליטר,הרדוף,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/VTD54_M_P_7290017325972_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/משקה_שיבולת_שועל/P_7290017325972.jpg
