query,code,product_name,description,price,formatted_price,unit_description,brand,image_url,image_path
ספגטי,P_67599,מנה חמה ספגטי בולונז,מנה חמה ספגטי בסגנון בולונז,7.5,7.50 ₪,65 גרם,מנה חמה,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/UYY36_M_P_67599_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/ספגטי/P_67599.jpg
ספגטי,P_4760161882179,ספגטי 400 גרם favelli,ספגטי,6.9,6.90 ₪,400 גרם,favelli,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/BZO60_M_P_4760161882179_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/ספגטי/P_4760161882179.jpg
ספגטי,P_7296073124399,ספגטי מס 5,ספגטי מספר 5,7.9,7.90 ₪,500 גרם,MORINI,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/DLG62_M_P_7296073124399_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/ספגטי/P_7296073124399.jpg
ספגטי,P_8263047,ספגטי אורגני,ספגטי אורגני,14.9,14.90 ₪,500 גרם,הרדוף,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/CKM30_M_P_8263047_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/ספגטי/P_8263047.jpg
ספגטי,P_8004690051573,ספגטי לה מוליזנה,ספגטי לה מוליזנה,8.2,8.20 ₪,500 גרם,לה מוליזנה,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/RSG48_M_P_8004690051573_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/ספגטי/P_8004690051573.jpg
ספגטי,P_8076800195057,ספגטי מס' 5 ברילה,ספגטי מס' 5 ברילה,8.9,8.90 ₪,500 גרם,ברילה,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/PPI56_M_P_8076800195057_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/ספגטי/P_8076800195057.jpg
ספגטי,P_8076809529419,ספגטי מחיטה מלאה,ספגטי מחיטה מלאה,16.5,16.50 ₪,500 גרם,ברילה,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/RVG68_M_P_8076809529419_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/ספגטי/P_8076809529419.jpg
ספגטי,P_8076808150072,ספגטי מס' 7 ברילה,ספגטי מס' 7 ברילה,8.9,8.90 ₪,500 גרם,ברילה,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/FJL52_M_P_8076808150072_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/ספגטי/P_8076808150072.jpg
ספגטי,P_7290011971694,ספגטי טריקולור מסמולינת,ספגטי טריקולור מסמולינת,16.9,16.90 ₪,500 גרם,הרדוף,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/FFJ56_M_P_7290011971694_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/ספגטי/P_7290011971694.jpg
ספגטי,P_7296073630890,ספגטי ללא גלוטן,"ספגטי ללא גלוטן כשל""פ",13.5,13.50 ₪,400 גרם,גרין,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/YRR60_M_P_7296073630890_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/ספגטי/P_7296073630890.jpg
ספגטי,P_7296073112471,ספגטי מקמח חיטה מלא,ספגטי מקמח חיטה מלא,7.9,7.90 ₪,500 גרם,שופרסל,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/LUM50_M_P_7296073112471_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/ספגטי/P_7296073112471.jpg
ספגטי,P_8076800315097,ספגטי בוקטיני מס'9 ברילה,ספגטי בוקטיני מס'9 ברילה,8.9,8.90 ₪,500 גרם,ברילה,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/LEG54_M_P_8076800315097_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/ספגטי/P_8076800315097.jpg
ספגטי,P_7290117768822,"ספגטי פסטה ""מונופוד""","ספגטי ""מונופוד""",5.2,5.20 ₪,500 גרם,מונופוד,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/PVR60_M_P_7290117768822_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/ספגטי/P_7290117768822.jpg
