query,code,product_name,description,price,formatted_price,unit_description,brand,image_url,image_path
פריכיות,P_7296058000519,"פריכיות כוסמת לל""ת מלח","פריכיות כוסמת לל""ת מלח",8.9,8.90 ₪,160 גרם,פרח,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/QVO52_M_P_7296058000519_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/פריכיות/P_7296058000519.jpg
פריכיות,P_7296073195252,פריכיות אורז מלא,פריכיות מאורז מלא אורגניות,9.9,9.90 ₪,110 גרם,גרין,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/EGJ58_M_P_7296073195252_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/פריכיות/P_7296073195252.jpg
פריכיות,P_7296073420323,פריכיות כוסמת אורגנית,פריכיות כוסמת אורגנית,12.9,12.90 ₪,160 גרם,גרין,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/ZEY48_M_P_7296073420323_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/פריכיות/P_7296073420323.jpg
פריכיות,P_7296073420330,פריכיות כוסמת ללא מלח,פריכיות כוסמת אורגנית ללא תוספת מלח,12.9,12.90 ₪,160 גרם,גרין,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/ZFF46_M_P_7296073420330_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/פריכיות/P_7296073420330.jpg
פריכיות,P_7290012208362,פריכיות כוסמת עם טף בהיר,פריכיות כוסמת עם טף בהיר,12.9,12.90 ₪,135 גרם,עתיד ירוק,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/RHZ42_M_P_7290012208362_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/פריכיות/P_7290012208362.jpg
פריכיות,P_7290019431794,פריכיות כוסמת עם קינואה,פריכיות כוסמת עם קינואה ללא תוספת מלח,12.9,12.90 ₪,145 גרם,עתיד ירוק,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/QWH56_M_P_7290019431794_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/פריכיות/P_7290019431794.jpg
פריכיות,P_7290017325682,פריכיות כוסמת אורגני,פריכיות כוסמת אורגני,13.9,13.90 ₪,160 גרם,הרדוף,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/VHZ52_M_P_7290017325682_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/פריכיות/P_7290017325682.jpg
פריכיות,P_4952792,פריכיות אורז דקות אורגני,פריכיות אורז דקות אורגני,13.9,13.90 ₪,100 גרם,הרדוף,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/TOZ38_M_P_4952792_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/פריכיות/P_4952792.jpg
פריכיות,P_4952785,פריכיות כוסמת דקות אורגנ,פריכיות כוסמת דקות אורגנ,13.9,13.90 ₪,100 גרם,הרדוף,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/TOS40_M_P_4952785_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/פריכיות/P_4952785.jpg
פריכיות,P_7290017325422,"פריכיות אורז מלא ללת""מ","פריכיות דקות אורז מלא ללת""מ",13.9,13.90 ₪,100 גרם,הרדוף,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/UXZ44_M_P_7290017325422_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/פריכיות/P_7290017325422.jpg
