query,code,product_name,description,price,formatted_price,unit_description,brand,image_url,image_path
שמנת,P_7296073269991,שמן זרעי ענבים,שמן זרעי ענבים,51.9,51.90 ₪,1 ליטר,גרין,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/KUY70_M_P_7296073269991_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/שמנת/P_7296073269991.jpg
שמנת,P_8052440756315,שמן קנולה אורגני,שמן קנולה אורגני,38.9,38.90 ₪,1 ליטר,נטורפוד,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/QXG50_M_P_8052440756315_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/שמנת/P_8052440756315.jpg
שמנת,P_8410179100043,שמן זית כתית מעולה,שמן זית כתית מעולה,39.9,39.90 ₪,"750 מ""ל",בורחס שמנים,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/CFS38_M_P_8410179100043_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/שמנת/P_8410179100043.jpg
שמנת,P_7290010970100,שמן שומשום כבישה קרה,שמן שומשום כבישה קרה,29.9,29.90 ₪,"250 מ""ל",טעמים,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/FON36_M_P_7290010970100_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/שמנת/P_7290010970100.jpg
שמנת,P_7290018278956,סלקט שמן עיסוי הגוף ולאמ,סלקט שמן עיסוי הגוף ולאמ,46.5,46.50 ₪,"125 מ""ל",פיור אויל,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/BMJ64_M_P_7290018278956_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/שמנת/P_7290018278956.jpg
שמנת,P_8410179100845,שמן זית מזיתי פיקואל,שמן זית מזיתי פיקואל,39.9,39.90 ₪,"750 מ""ל",בורחס שמנים,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/DKO48_M_P_8410179100845_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/שמנת/P_8410179100845.jpg
שמנת,P_7290010970551,שמן אבוקדו,שמן אבוקדו,29.9,29.90 ₪,"250 מ""ל",טעמים,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/GFW46_M_P_7290010970551_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/שמנת/P_7290010970551.jpg
שמנת,P_8410179100944,שמן זית מזיתי אוחיבלנקה,שמן זית מזיתי אוחיבלנקה,39.9,39.90 ₪,"750 מ""ל",בורחס שמנים,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/DOJ48_M_P_8410179100944_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/שמנת/P_8410179100944.jpg
שמנת,P_7290010970537,תרסיס שמן קנולה טעמים,תרסיס שמן קנולה טעמים,17.9,17.90 ₪,200 גרם,טעמים,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/GFI50_M_P_7290010970537_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/שמנת/P_7290010970537.jpg
שמנת,P_7290010970988,תרסיס שמן שומשום,תרסיס שמן שומשום,20.9,20.90 ₪,"150 מ""ל",טעמים,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/GWR60_M_P_7290010970988_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/שמנת/P_7290010970988.jpg
שמנת,P_64144090051,תרסיס שמן קנולה,תרסיס שמן קנולה,18.9,18.90 ₪,"148 מ""ל",פאם,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/EDO34_M_P_64144090051_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/שמנת/P_64144090051.jpg
שמנת,P_64144090020,תרסיס שמן זית,תרסיס שמן זית,18.9,18.90 ₪,"148 מ""ל",פאם,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/ECJ30_M_P_64144090020_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/שמנת/P_64144090020.jpg
