query,code,product_name,description,price,formatted_price,unit_description,brand,image_url,image_path
אורז בסמטי,P_7296073286073,אורז בסמטי בצנצנת שופרסל,אורז בסמטי בצנצנת,16.9,16.90 ₪,"1 ק""ג",שופרסל,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/IPM60_M_P_7296073286073_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/אורז_בסמטי/P_7296073286073.jpg
אורז בסמטי,P_5011157630281,אורז בסמטי טילדה,אורז בסמטי טילדה,23.0,23.00 ₪,"1 ק""ג",טילדה,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/RIW40_M_P_5011157630281_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/אורז_בסמטי/P_5011157630281.jpg
אורז בסמטי,P_3643004,אורז בסמטי קלאסי בשקית,אורז בסמטי קלאסי בשקית,15.9,15.90 ₪,"1 ק""ג",סוגת,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/GAN20_M_P_3643004_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/אורז_בסמטי/P_3643004.jpg
אורז בסמטי,P_7290100700372,אורז בסמטי מלא,אורז בסמטי מלא,14.9,14.90 ₪,"1 ק""ג",סוגת,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/MQV38_M_P_7290100700372_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/אורז_בסמטי/P_7290100700372.jpg
אורז בסמטי,P_8901537024014,אורז בסמטי מובחר דאווט,אורז בסמטי מובחר דאווט,14.9,14.90 ₪,"1 ק""ג",וילי פוד,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/AMX44_M_P_8901537024014_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/אורז_בסמטי/P_8901537024014.jpg
אורז בסמטי,P_8901537076679,אורז בסמטי חום מלא דווט,אורז בסמטי חום מלא,16.9,16.90 ₪,"1 ק""ג",וילי פוד,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/AKM68_M_P_8901537076679_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/אורז_בסמטי/P_8901537076679.jpg
אורז בסמטי,P_7290012309366,אורז בסמטי,אורז בסמטי,49.9,49.90 ₪,"5 ק""ג",השוק הקולינרי,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/KST48_M_P_7290012309366_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/אורז_בסמטי/P_7290012309366.jpg
אורז בסמטי,P_7290113196414,אורז בסמטי,אורז בסמטי,11.9,11.90 ₪,"1 ק""ג",השוק הקולינרי,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/LXV48_M_P_7290113196414_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/אורז_בסמטי/P_7290113196414.jpg
אורז בסמטי,P_7296073285953,אורז בסמטי מלא אורגני,אורז בסמטי מלא אורגני,16.9,16.90 ₪,"1 ק""ג",גרין,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/IKW66_M_P_7296073285953_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/אורז_בסמטי/P_7296073285953.jpg
אורז בסמטי,P_7290013994554,אורז בסמטי לבן אורגני,אורז בסמטי לבן אורגני,13.9,13.90 ₪,500 גרם,הרדוף,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/HPR58_M_P_7290013994554_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/אורז_בסמטי/P_7290013994554.jpg
אורז בסמטי,P_211985,אורז עגול,אורז עגול,12.9,12.90 ₪,"1 ק""ג",סוגת,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/AOG26_M_P_211985_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/אורז_בסמטי/P_211985.jpg
אורז בסמטי,P_211442,אורז פרסי קלאסי סוגת,אורז פרסי קלאסי סוגת,10.9,10.90 ₪,"1 ק""ג",סוגת,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/ZTJ14_M_P_211442_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/אורז_בסמטי/P_211442.jpg
אורז בסמטי,P_7290100700396,אורז יסמין קלאסי,אורז יסמין קלאסי,12.9,12.90 ₪,"1 ק""ג",סוגת,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/MRT44_M_P_7290100700396_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/אורז_בסמטי/P_7290100700396.jpg
