query,code,product_name,description,price,formatted_price,unit_description,brand,image_url,image_path
מרגרינה,P_8719200998001,"מרגרינה בלובנד ללת""מ","מרגרינה בלובנד ללת""מ",5.9,5.90 ₪,200 גרם,בלובנד,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/ZJM54_M_P_8719200998001_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/מרגרינה/P_8719200998001.jpg
מרגרינה,P_453897,מרגרינה בטעם חמאה,מרגרינה בטעם חמאה,5.5,5.50 ₪,200 גרם,שמרית,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/UKO36_M_P_453897_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/מרגרינה/P_453897.jpg
מרגרינה,P_453880,מרגרינה ללא מלח,מרגרינה ללא מלח,5.5,5.50 ₪,200 גרם,שמרית,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/UJX28_M_P_453880_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/מרגרינה/P_453880.jpg
מרגרינה,P_8719200998018,מחמאה מרגרינה בטעם חמאה,מחמאה מרגרינה בטעם חמאה,5.9,5.90 ₪,200 גרם,בלובנד,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/ZKD62_M_P_8719200998018_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/מרגרינה/P_8719200998018.jpg
מרגרינה,P_8719200997998,בלובנד עם מלח,בלובנד עם מלח,5.9,5.90 ₪,200 גרם,אפפילד,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/ZJJ78_M_P_8719200997998_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/מרגרינה/P_8719200997998.jpg
מרגרינה,P_453866,נטורינה עשיר בשמן קוקוס,נטורינה לאפיה ובישול עשירה בשמן קוקוס,9.0,9.00 ₪,200 גרם,שמרית,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/UJJ32_M_P_453866_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/מרגרינה/P_453866.jpg
מרגרינה,P_453859,נטורינה בטעם חמאה,נטורינה בטעם חמאה עם שמני אגוזים,9.0,9.00 ₪,200 גרם,שמרית,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/UJC34_M_P_453859_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/מרגרינה/P_453859.jpg
מרגרינה,P_8719200998032,מזולה בטעם חמאה,מזולה בטעם חמאה,9.9,9.90 ₪,250 גרם,מזולה,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/ZKR58_M_P_8719200998032_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/מרגרינה/P_8719200998032.jpg
מרגרינה,P_8719200998049,מזולה גלורי רגיל,מזולה גלורי רגיל,10.5,10.50 ₪,250 גרם,מזולה,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/ZLI66_M_P_8719200998049_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/מרגרינה/P_8719200998049.jpg
מרגרינה,P_8719200998094,מזולה לאפייה ללא מלח,"מזולה לאפייה ללת""מ",6.9,6.90 ₪,200 גרם,מזולה,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/ZNB66_M_P_8719200998094_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/מרגרינה/P_8719200998094.jpg
מרגרינה,P_8719200998100,מזולה לאפייה בטעם חמאה,מזולה לאפייה בטעם חמאה,6.9,6.90 ₪,200 גרם,מזולה,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/ZNH54_M_P_8719200998100_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/מרגרינה/P_8719200998100.jpg
