query,code,product_name,description,price,formatted_price,unit_description,brand,image_url,image_path
קוסקוס,P_2040019,קוסקוס רגיל,קוסקוס רגיל,5.6,5.60 ₪,350 גרם,קוסקוס מזון,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/ATG16_M_P_2040019_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/קוסקוס/P_2040019.jpg
קוסקוס,P_2040064,קוסקוס דק,קוסקוס דק,5.6,5.60 ₪,350 גרם,קוסקוס מזון,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/AUZ16_M_P_2040064_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/קוסקוס/P_2040064.jpg
קוסקוס,P_2040088,קוסקוס מלא,קוסקוס מלא,6.7,6.70 ₪,350 גרם,קוסקוס מזון,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/AVX22_M_P_2040088_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/קוסקוס/P_2040088.jpg
קוסקוס,P_2040071,קוסקוס עבה,קוסקוס עבה,5.6,5.60 ₪,350 גרם,קוסקוס מזון,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/AVG14_M_P_2040071_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/קוסקוס/P_2040071.jpg
קוסקוס,P_7296073112457,קוסקוס חיטה מלאה,קוסקוס מלא,6.9,6.90 ₪,350 גרם,שופרסל,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/LTY54_M_P_7296073112457_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/קוסקוס/P_7296073112457.jpg
קוסקוס,P_64758,קוסקוס בינוני,קוסקוס בינוני,8.7,8.70 ₪,350 גרם,אסם,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/QTR30_M_P_64758_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/קוסקוס/P_64758.jpg
קוסקוס,P_6653819,קוסקוס דק אסם,קוסקוס דק,8.7,8.70 ₪,350 גרם,אסם,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/NXC38_M_P_6653819_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/קוסקוס/P_6653819.jpg
קוסקוס,P_7296073012009,קוסקוס בינוני,קוסקוס בינוני,4.9,4.90 ₪,350 גרם,שופרסל,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/TEO46_M_P_7296073012009_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/קוסקוס/P_7296073012009.jpg
קוסקוס,P_7296073011118,קוסקוס דק שופרסל,קוסקוס דק,4.9,4.90 ₪,350 גרם,שופרסל,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/RWH46_M_P_7296073011118_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/קוסקוס/P_7296073011118.jpg
קוסקוס,P_7290100702260,קוסקוס דק סוגת,קוסקוס דק,6.5,6.50 ₪,350 גרם,סוגת,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/PLL36_M_P_7290100702260_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/קוסקוס/P_7290100702260.jpg
