query,code,product_name,description,price,formatted_price,unit_description,brand,image_url,image_path
קמח כוסמין,P_7290100704530,קמח כוסמין לבן,קמח כוסמין לבן,14.9,14.90 ₪,"1 ק""ג",סוגת,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/SUT38_M_P_7290100704530_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/קמח_כוסמין/P_7290100704530.jpg
קמח כוסמין,P_3060061,קמח כוסמין מלא,קמח כוסמין מלא,11.9,11.90 ₪,"1 ק""ג",טחנות ישראליות,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/BRQ16_M_P_3060061_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/קמח_כוסמין/P_3060061.jpg
קמח כוסמין,P_7290013521897,גליליות מקמח כוסמין,גליליות מקמח כוסמין,18.9,18.90 ₪,100 גרם,השדה,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/KKO54_M_P_7290013521897_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/קמח_כוסמין/P_7290013521897.jpg
קמח כוסמין,P_7296073530398,קמח כוסמין לבן מנופה,קמח כוסמין לבן מנופה,15.5,15.50 ₪,"1 ק""ג",שופרסל,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/GAP62_M_P_7296073530398_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/קמח_כוסמין/P_7296073530398.jpg
קמח כוסמין,P_7296073472896,קמח כוסמין מלא מנופה,קמח כוסמין מלא מנופה,13.5,13.50 ₪,"1 ק""ג",שופרסל,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/YYZ70_M_P_7296073472896_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/קמח_כוסמין/P_7296073472896.jpg
קמח כוסמין,P_4952136,קמח כוסמין מלא אורגני1קג,קמח כוסמין מלא אורגני,20.9,20.90 ₪,"1 ק""ג",הרדוף,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/SPT30_M_P_4952136_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/קמח_כוסמין/P_4952136.jpg
קמח כוסמין,P_7290013994912,קמח כוסמין 70% אורגני,קמח כוסמין 70% אורגני,23.9,23.90 ₪,"1 ק""ג",הרדוף,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/IDL56_M_P_7290013994912_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/קמח_כוסמין/P_7290013994912.jpg
קמח כוסמין,P_7290012738180,קמח מצה מקמח כוסמין,קמח מצה מקמח כוסמין,9.9,9.90 ₪,400 גרם,מצות יהודה,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/VBP48_M_P_7290012738180_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/קמח_כוסמין/P_7290012738180.jpg
קמח כוסמין,P_7290013740632,שוקולד צ'יפס קמח כוסמין,שוקולד צ'יפס קמח כוסמין,29.9,29.90 ₪,230 גרם,קופסת העוגיות של רחלי,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/VZL44_M_P_7290013740632_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/קמח_כוסמין/P_7290013740632.jpg
קמח כוסמין,P_7296073424581,טורטיות עם קמח כוסמין,טורטיות עם קמח כוסמין,12.9,12.90 ₪,8יח * 40 גרם,papa tortilla,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/FMS58_M_P_7296073424581_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/קמח_כוסמין/P_7296073424581.jpg
קמח כוסמין,P_7290011830236,בייגלה אורגני מקמח כוסמי,בייגלה אורגני קמח כוסמין,18.9,18.90 ₪,200 גרם,השדה,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/DYR42_M_P_7290011830236_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/קמח_כוסמין/P_7290011830236.jpg
קמח כוסמין,P_7290013740625,עוג.גרנולה קמח כוסמין,עוג.גרנולה קמח כוסמין,29.9,29.90 ₪,220 גרם,קופסת העוגיות של רחלי,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/VZE46_M_P_7290013740625_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/קמח_כוסמין/P_7290013740625.jpg
קמח כוסמין,P_7290017325347,מקלות ביגלה מקמח כוסמין,מקלות ביגלה מקמח כוסמין,18.9,18.90 ₪,200 גרם,הרדוף,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/UVC50_M_P_7290017325347_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/קמח_כוסמין/P_7290017325347.jpg
קמח כוסמין,P_7290013994073,פוסילי מקמח כוסמין מלא,פוסילי מקמח כוסמין מלא,19.9,19.90 ₪,400 גרם,הרדוף,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/GXE54_M_P_7290013994073_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/קמח_כוסמין/P_7290013994073.jpg
קמח כוסמין,P_7290012738142,מצות יהודה מקמח כוסמין,מצות יהודה מקמח כוסמין,15.9,15.90 ₪,300 גרם,מצות יהודה,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/VAD46_M_P_7290012738142_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/קמח_כוסמין/P_7290012738142.jpg
קמח כוסמין,P_4033729,לחם עננים מקמח כוסמין,לחם עננים מקמח כוסמין,17.5,17.50 ₪,750 גרם,ברמן לחם,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/MAK28_M_P_4033729_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/קמח_כוסמין/P_4033729.jpg
קמח כוסמין,P_7290018581728,חלה מקמח כוסמין לבן,חלה מקמח כוסמין לבן,19.5,19.50 ₪,450 גרם,טאוברד,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/HJL58_M_P_7290018581728_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/קמח_כוסמין/P_7290018581728.jpg
קמח כוסמין,P_498034,לחם E-FREE מקמח כוסמין,לחם E-FREE מקמח כוסמין,17.9,17.90 ₪,750 גרם,ברמן לחם,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/HSD28_M_P_498034_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/קמח_כוסמין/P_498034.jpg
קמח כוסמין,P_7290016867152,פיתות קלות מקמח כוסמין,מארז פיתות קלות מקמח כוסמין,15.9,15.90 ₪,5 יחידות,"המאפה של ד""ר מרק","https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/TAF54_M_P_7290016867152_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/קמח_כוסמין/P_7290016867152.jpg
קמח כוסמין,P_7296073369974,פירורי לחם כוסמין,פירורי לחם מקמח כוסמין מלא,9.5,9.50 ₪,350 גרם,שופרסל,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/CSL72_M_P_7296073369974_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/קמח_כוסמין/P_7296073369974.jpg
קמח כוסמין,P_1507360,אובלטים קמח כוסמין אורגנ,אובלטים כוסמין אורגני,12.9,12.90 ₪,100 גרם,השדה,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/SUJ22_M_P_1507360_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/קמח_כוסמין/P_1507360.jpg
