query,code,product_name,description,price,formatted_price,unit_description,brand,image_url,image_path
אורז מלא,P_7296073285953,אורז בסמטי מלא אורגני,אורז בסמטי מלא אורגני,16.9,16.90 ₪,"1 ק""ג",גרין,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/IKW66_M_P_7296073285953_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/אורז_מלא/P_7296073285953.jpg
אורז מלא,P_7290100700372,אורז בסמטי מלא,אורז בסמטי מלא,14.9,14.90 ₪,"1 ק""ג",סוגת,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/MQV38_M_P_7290100700372_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/אורז_מלא/P_7290100700372.jpg
אורז מלא,P_7296073441335,פריכיות אורז מלא,פריכיות אורז מלא,8.9,8.90 ₪,110 גרם,שופרסל,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/EHC54_M_P_7296073441335_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/אורז_מלא/P_7296073441335.jpg
אורז מלא,P_68343,פריכונים מאורז מלא,פריכונים מאורז מלא,9.9,9.90 ₪,140 גרם,אסם,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/WBO24_M_P_68343_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/אורז_מלא/P_68343.jpg
אורז מלא,P_7290108504934,דפי אורז למילוי,דפי אורז למילוי,11.5,11.50 ₪,300 גרם,וילי פוד,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/NWH52_M_P_7290108504934_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/אורז_מלא/P_7290108504934.jpg
אורז מלא,P_7296073195252,פריכיות אורז מלא,פריכיות מאורז מלא אורגניות,9.9,9.90 ₪,110 גרם,גרין,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/EGJ58_M_P_7296073195252_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/אורז_מלא/P_7296073195252.jpg
אורז מלא,P_7296073079002,פריכיות דקות אורז מלא,פריכיות דקות אורז מלא,9.9,9.90 ₪,100 גרם,שופרסל,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/OHF52_M_P_7296073079002_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/אורז_מלא/P_7296073079002.jpg
אורז מלא,P_7296073343219,פריכיות אורז מלא שופרסל,פריכיות אורז מלא שופרסל,16.9,16.90 ₪,310 גרם,שופרסל,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/PDK56_M_P_7296073343219_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/אורז_מלא/P_7296073343219.jpg
אורז מלא,P_7290115670240,פריכיות אורז מלא דקות,פריכיות אורז מלא דקות,10.0,10.00 ₪,135 גרם,אנרג'י,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/FKZ44_M_P_7290115670240_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/אורז_מלא/P_7290115670240.jpg
אורז מלא,P_7290017325859,דפי אורז מלא אורגני,דפי אורז מלא אורגני,17.9,17.90 ₪,200 גרם,הרדוף,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/VOU58_M_P_7290017325859_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/אורז_מלא/P_7290017325859.jpg
