query,code,product_name,description,price,formatted_price,unit_description,brand,image_url,image_path
גבינה לבנה,P_2824640,גבינה לבנה סקי 5%,גבינה לבנה סקי 5%,5.73,5.73 ₪,250 גרם,סקי,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/RKZ26_M_P_2824640_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/גבינה_לבנה/P_2824640.jpg
גבינה לבנה,P_4127800,גבינה לבנה 5% שומן,גבינה לבנה 5% שומן,11.46,11.46 ₪,500 גרם,תנובה,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/VEN22_M_P_4127800_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/גבינה_לבנה/P_4127800.jpg
גבינה לבנה,P_48185,גבינה לבנה רכה 5% שומן,גבינה לבנה רכה 5% שומן,5.73,5.73 ₪,250 גרם,תנובה,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/SGG26_M_P_48185_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/גבינה_לבנה/P_48185.jpg
גבינה לבנה,P_474502,גבינה לבנה 5% שומן,גבינה לבנה 5% שומן,5.73,5.73 ₪,250 גרם,טרה,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/YXB22_M_P_474502_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/גבינה_לבנה/P_474502.jpg
גבינה לבנה,P_4127862,גבינה לבנה 5% שומן,גבינה לבנה 5% שומן,17.19,17.19 ₪,750 גרם,תנובה,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/VGX30_M_P_4127862_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/גבינה_לבנה/P_4127862.jpg
גבינה לבנה,P_48192,גבינה לבנה רכה 9% שומן,גבינה לבנה רכה 9% שומן,6.1,6.10 ₪,250 גרם,תנובה,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/SGN24_M_P_48192_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/גבינה_לבנה/P_48192.jpg
גבינה לבנה,P_2824183,גבינה לבנה סקי 5% שומן,גבינה לבנה סקי 5% שומן,11.46,11.46 ₪,500 גרם,סקי,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/QTK28_M_P_2824183_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/גבינה_לבנה/P_2824183.jpg
גבינה לבנה,P_4127817,גבינה לבנה 9% שומן,גבינה לבנה 9% שומן,11.9,11.90 ₪,500 גרם,תנובה,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/VFE30_M_P_4127817_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/גבינה_לבנה/P_4127817.jpg
גבינה לבנה,P_4129545,גבינה לבנה למריחה 3%,גבינה לבנה למריחה 3%,6.2,6.20 ₪,250 גרם,תנובה,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/XTQ30_M_P_4129545_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/גבינה_לבנה/P_4129545.jpg
גבינה לבנה,P_56272,גבינה לבנה עם זיתים 5%,גבינה לבנה עם זיתים 5%,7.3,7.30 ₪,250 גרם,תנובה,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/EFH22_M_P_56272_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/גבינה_לבנה/P_56272.jpg
