query,code,product_name,description,price,formatted_price,unit_description,brand,image_url,image_path
גבינת צפתית,P_554532,גבינה צפתית מעודנת 5%,גבינה צפתית מעודנת 5%,17.9,17.90 ₪,200 גרם,מחלבות גד,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/NHD24_M_P_554532_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/גבינת_צפתית/P_554532.jpg
גבינת צפתית,P_554457,גבינה צפתית 5% שומן,גבינה צפתית 5% שומן,25.5,25.50 ₪,350 גרם,מחלבות גד,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/NEG30_M_P_554457_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/גבינת_צפתית/P_554457.jpg
גבינת צפתית,P_48437,גבינה צפתית 5% פיראוס,גבינה צפתית 5% פיראוס,17.2,17.20 ₪,200 גרם,פיראוס,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/SPY26_M_P_48437_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/גבינת_צפתית/P_48437.jpg
גבינת צפתית,P_4131814,צפתית מעודנת 5% פיראוס,צפתית מעודנת 5% פיראוס,17.2,17.20 ₪,200 גרם,פיראוס,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/BCX22_M_P_4131814_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/גבינת_צפתית/P_4131814.jpg
גבינת צפתית,P_554952,גבינה צפתית קשה 10%,גבינה צפתית קשה 10%,99.0,99.00 ₪,מחיר לפי משקל,מחלבות גד,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/NXH30_M_P_554952_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/גבינת_צפתית/P_554952.jpg
גבינת צפתית,P_5992872,גבינה צפתית במים 5% שומן,גבינה צפתית במים 5% שומן,69.0,69.00 ₪,מחיר לפי משקל,מחלבות גד,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/YEB42_M_P_5992872_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/גבינת_צפתית/P_5992872.jpg
גבינת צפתית,P_7296073593911,גבינה צפתית קשה 10%,גבינה צפתית קשה 10% מחלבת גד,99.0,99.00 ₪,כ 250 גרם,מחלבות גד,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/VZK62_M_P_7296073593911_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/גבינת_צפתית/P_7296073593911.jpg
גבינת צפתית,P_7296073453154,צפתית 5% ארוז,גבינה צפתית 5% במשקל מחלבת גד,69.0,69.00 ₪,כ-250 גרם,מחלבות גד,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/VTR56_M_P_7296073453154_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/גבינת_צפתית/P_7296073453154.jpg
גבינת צפתית,P_7296073644972,גב.צפתית קשה 10% מגורדת,גב.צפתית קשה 10% מגורדת,99.0,99.00 ₪,כ- 250 גרם,מחלבות גד,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/TNH66_M_P_7296073644972_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/גבינת_צפתית/P_7296073644972.jpg
גבינת צפתית,P_9953930,גב.צפתית קשה 10% מגורדת,גב.צפתית קשה 10% מגורדת,99.0,99.00 ₪,מחיר לפי משקל,מחלבות גד,,
