query,code,product_name,description,price,formatted_price,unit_description,brand,image_url,image_path
חלה,P_1902325,חלה קלועה,חלה קלועה,15.5,15.50 ₪,500 גרם,שופרסל,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/FBI22_M_P_1902325_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/חלה/P_1902325.jpg
חלה,P_7296073528890,חלה קלועה,חלה קלועה,15.5,15.50 ₪,500 גרם,שופרסל,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/DUP66_M_P_7296073528890_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/חלה/P_7296073528890.jpg
חלה,P_1902301,חלה מתוקה קלועה,חלה מתוקה קלועה,15.5,15.50 ₪,450 גרם,שופרסל,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/FAK16_M_P_1902301_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/חלה/P_1902301.jpg
חלה,P_5082979,חלה דגנים קלועה,חלה דגנים קלועה,15.5,15.50 ₪,500 גרם,שופרסל,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/EEE40_M_P_5082979_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/חלה/P_5082979.jpg
חלה,P_6451729,חלה מתוקה קלועה,חלה מתוקה קלועה,15.5,15.50 ₪,450 גרם,שופרסל,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/AYK34_M_P_6451729_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/חלה/P_6451729.jpg
חלה,P_7296073592471,חלה מתוקה קלועה+צימוקים,חלה מתוקה קלועה עם צימוקים,15.5,15.50 ₪,500 גרם,שופרסל,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/TWA62_M_P_7296073592471_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/חלה/P_7296073592471.jpg
חלה,P_6451392,חלה מתוקה קלועה עם צימוק,חלה מתוקה קלועה עם צימוקים,15.5,15.50 ₪,,שופרסל,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/ALL30_M_P_6451392_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/חלה/P_6451392.jpg
חלה,P_7296073567899,חלת דגנים קלועה,חלת דגנים קלועה,15.5,15.50 ₪,500 גרם,שופרסל,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/JMY78_M_P_7296073567899_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/חלה/P_7296073567899.jpg
חלה,P_2040,חלה,חלה,5.9,5.90 ₪,500 גרם,מאפית ברמן,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/BZL06_M_P_2040_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/חלה/P_2040.jpg
חלה,P_497136,חלה פרוסה ארוזה,חלה פרוסה ארוזה,11.9,11.90 ₪,500 גרם,ברמן לחם,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/GJP30_M_P_497136_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/חלה/P_497136.jpg
חלה,P_2079316,חלה רגילה פרוסה,חלה רגילה פרוסה,10.9,10.90 ₪,500 גרם,דוידוביץ,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/GWR28_M_P_2079316_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/חלה/P_2079316.jpg
חלה,P_2071,חלה קלועה,חלה קלועה,5.9,5.90 ₪,500 גרם,כללי,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/CAQ10_M_P_2071_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/חלה/P_2071.jpg
