query,code,product_name,description,price,formatted_price,unit_description,brand,image_url,image_path
חמאה,P_7290019635147,חמאה איטלקית,חמאה איטלקית,10.0,10.00 ₪,100 גרם,מחלבות גד,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/FRO54_M_P_7290019635147_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/חמאה/P_7290019635147.jpg
חמאה,P_7290019635130,חמאה איטלקית מלוחה,חמאה איטלקית מלוחה,10.0,10.00 ₪,100 גרם,מחלבות גד,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/FQX46_M_P_7290019635130_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/חמאה/P_7290019635130.jpg
חמאה,P_7290116932033,חמאה מהדרין,חמאה מהדרין,9.6,9.60 ₪,200 גרם,תנובה,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/ZZM46_M_P_7290116932033_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/חמאה/P_7290116932033.jpg
חמאה,P_4820217240114,חמאה FERMA 82.5%,חמאה FERMA 82.5%,13.9,13.90 ₪,200 גרם,פרמה,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/SWP36_M_P_4820217240114_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/חמאה/P_4820217240114.jpg
חמאה,P_4823077632440,"חמאה 82.5% רושן בד""ץ","חמאה 82.5% רושן בד""ץ",13.9,13.90 ₪,200 גרם,ROSHEN,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/YMB50_M_P_4823077632440_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/חמאה/P_4823077632440.jpg
חמאה,P_7290014758544,"חמאה בד""ץ","חמאה בד""ץ",9.6,9.60 ₪,200 גרם,תנובה,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/TTX56_M_P_7290014758544_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/חמאה/P_7290014758544.jpg
חמאה,P_4823077643064,"חמאה 82.5% רושן בד""ץ","חמאה 82.5% רושן בד""ץ",13.9,13.90 ₪,200 גרם,ROSHEN,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/OER54_M_P_4823077643064_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/חמאה/P_4823077643064.jpg
חמאה,P_4823077630057,חמאה 82.5% רושן,חמאה 82.5% רושן,13.9,13.90 ₪,200 גרם,ROSHEN,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/UYK52_M_P_4823077630057_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/חמאה/P_4823077630057.jpg
חמאה,P_369709,חמאה מתובלת,חמאה מתובלת,14.9,14.90 ₪,100 גרם,גבינות ניצן,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/ZWO34_M_P_369709_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/חמאה/P_369709.jpg
חמאה,P_7290118425496,פתיבר קוקיז בטעם חמאה,פתיבר קוקיז בטעם חמאה,11.9,11.90 ₪,155 גרם,אסם,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/ZGJ58_M_P_7290118425496_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/חמאה/P_7290118425496.jpg
