query,code,product_name,description,price,formatted_price,unit_description,brand,image_url,image_path
לחם דגנים,P_7290017746852,לחם קוביית מחמצת בווארית,לחם קוביית מחמצת בווארית,18.9,18.90 ₪,500 גרם,דוידוביץ,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/UIV58_M_P_7290017746852_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/לחם_דגנים/P_7290017746852.jpg
לחם דגנים,P_4685195,לחם 10 דגנים פרוס,לחם 10 דגנים פרוס,17.5,17.50 ₪,750 גרם,לחם הארץ,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/NSU38_M_P_4685195_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/לחם_דגנים/P_4685195.jpg
לחם דגנים,P_4685126,לחם הארץ חמישה דגנים,לחם הארץ חמישה דגנים,17.5,17.50 ₪,750 גרם,לחם הארץ,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/NQD32_M_P_4685126_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/לחם_דגנים/P_4685126.jpg
לחם דגנים,P_4685089,לחם חמניות,לחם חמניות,17.5,17.50 ₪,500 גרם,לחם הארץ,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/NOS40_M_P_4685089_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/לחם_דגנים/P_4685089.jpg
לחם דגנים,P_9952308,מארז לחמניות דגנים,מארז לחמניות דגנים,16.5,16.50 ₪,4 יחידות,שופרסל,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/FIB36_M_P_9952308_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/לחם_דגנים/P_9952308.jpg
לחם דגנים,P_497570,לחם דגנים פלוס,לחם דגנים פלוס,15.9,15.90 ₪,500 גרם,ברמן לחם,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/HAH32_M_P_497570_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/לחם_דגנים/P_497570.jpg
לחם דגנים,P_2079927,לחם דגנים מלא,לחם דגנים מלא,16.9,16.90 ₪,750 גרם,דוידוביץ,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/HUE36_M_P_2079927_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/לחם_דגנים/P_2079927.jpg
לחם דגנים,P_2079033,לחם דגנים לייט,לחם דגנים לייט,16.5,16.50 ₪,500 גרם,דוידוביץ,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/GLU24_M_P_2079033_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/לחם_דגנים/P_2079033.jpg
לחם דגנים,P_6451514,לחם מחמצת דגנים,לחם מחמצת דגנים,20.9,20.90 ₪,,שופרסל,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/AQD26_M_P_6451514_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/לחם_דגנים/P_6451514.jpg
לחם דגנים,P_7296073612728,לחם מחמצת דגנים,לחם מחמצת דגנים,20.9,20.90 ₪,,שופרסל,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/XVD60_M_P_7296073612728_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/לחם_דגנים/P_7296073612728.jpg
