query,code,product_name,description,price,formatted_price,unit_description,brand,image_url,image_path
לחם קל,P_7290016035025,לחם פשתן,לחם פשתן,28.9,28.90 ₪,450 גרם,ביכורים,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/KBI40_M_P_7290016035025_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/לחם_קל/P_7290016035025.jpg
לחם קל,P_7290016245929,לחם טחינה,לחם טחינה,28.9,28.90 ₪,450 גרם,ביכורים,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/KBA56_M_P_7290016245929_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/לחם_קל/P_7290016245929.jpg
לחם קל,P_497426,לחם ברמן לעניין פלוס,לחם ברמן לעניין פלוס,15.9,15.90 ₪,500 גרם,ברמן לחם,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/GUT32_M_P_497426_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/לחם_קל/P_497426.jpg
לחם קל,P_497570,לחם דגנים פלוס,לחם דגנים פלוס,15.9,15.90 ₪,500 גרם,ברמן לחם,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/HAH32_M_P_497570_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/לחם_קל/P_497570.jpg
לחם קל,P_2079996,לחם אחיד פרוס קל,לחם אחיד פרוס קל,15.9,15.90 ₪,750 גרם,דוידוביץ,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/HWV42_M_P_2079996_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/לחם_קל/P_2079996.jpg
לחם קל,P_6322470,לחם 9 דגנים קל,לחם 9 דגנים קל,17.9,17.90 ₪,500 גרם,דוידוביץ,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/RSX24_M_P_6322470_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/לחם_קל/P_6322470.jpg
לחם קל,P_7290017232218,לחם איטסיין קלאסי,לחם איטסיין קלאסי מופחת פחממות,26.9,26.90 ₪,430 גרם,איטסיין,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/NBF44_M_P_7290017232218_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/לחם_קל/P_7290017232218.jpg
לחם קל,P_7290017232225,לחם איטסיין גלילי,לחם איטסיין גלילי מופחת פחמימות,26.9,26.90 ₪,450 גרם,איטסיין,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/NBM42_M_P_7290017232225_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/לחם_קל/P_7290017232225.jpg
לחם קל,P_6322104,לחם רחיים קל,לחם רחיים קל,15.9,15.90 ₪,500 גרם,דוידוביץ,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/REV18_M_P_6322104_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/לחם_קל/P_6322104.jpg
לחם קל,P_2079033,לחם דגנים לייט,לחם דגנים לייט,16.5,16.50 ₪,500 גרם,דוידוביץ,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/GLU24_M_P_2079033_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/לחם_קל/P_2079033.jpg
לחם קל,P_4685010,לחם מחמצת שיפון קל,לחם מחמצת שיפון קל,17.5,17.50 ₪,500 גרם,לחם הארץ,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/NLR24_M_P_4685010_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/לחם_קל/P_4685010.jpg
לחם קל,P_4685027,לחם מחמצת וחיטה מלאה קל,לחם מחמצת וחיטה מלאה קל,17.5,17.50 ₪,500 גרם,לחם הארץ,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/NMI32_M_P_4685027_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/לחם_קל/P_4685027.jpg
לחם קל,P_7290013027399,לחם קמח מלא100%+שיפון-קל,לחם קמח מלא100%+שיפון-קל,15.7,15.70 ₪,750 גרם,אנג'ל מאפיה,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/GXK52_M_P_7290013027399_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/לחם_קל/P_7290013027399.jpg
לחם קל,P_379203,לחם עינן קל,לחם עינן קל,15.9,15.90 ₪,500 גרם,אנג'ל מאפיה,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/NXS24_M_P_379203_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/לחם_קל/P_379203.jpg
