query,code,product_name,description,price,formatted_price,unit_description,brand,image_url,image_path
פיתות,P_9398786,מארז פיתות אסליות,מארז פיתות אסליות,9.0,9.00 ₪,5 יחידות,שופרסל,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/SMT50_M_P_9398786_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/פיתות/P_9398786.jpg
פיתות,P_9398281,מארז פיתות אסליות,מארז 10 פיתות אסליות,16.5,16.50 ₪,10 יחידות,שופרסל,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/RTI40_M_P_9398281_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/פיתות/P_9398281.jpg
פיתות,P_7296073427315,מארז פיתות כוסמין,מארז פיתות כוסמין,16.5,16.50 ₪,8 יחידות,שופרסל,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/JNW56_M_P_7296073427315_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/פיתות/P_7296073427315.jpg
פיתות,P_7296073564560,פיתות אסליות מארז,פיתות אסליות מארז,16.5,16.50 ₪,10 * 100 גרם,שופרסל,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/EON60_M_P_7296073564560_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/פיתות/P_7296073564560.jpg
פיתות,P_2759126,מארז מיני פיתות אסליות,מארז מיני פיתות אסליות,15.5,15.50 ₪,10 יחידות,שופרסל,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/YNF32_M_P_2759126_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/פיתות/P_2759126.jpg
פיתות,P_7290010777099,פיתות אקספרס במרקם מיוחד,פיתות אקספרס במרקם מיוחד,12.5,12.50 ₪,8 * 100 גרם,פיתה אקספרס,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/GBK58_M_P_7290010777099_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/פיתות/P_7290010777099.jpg
פיתות,P_7290010777358,פיתות ביס 100% כוסמין,פיתות ביס 100% כוסמין,17.8,17.80 ₪,8 * 50 גרם,פיתה אקספרס,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/GLJ56_M_P_7290010777358_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/פיתות/P_7290010777358.jpg
פיתות,P_7290012244643,מארז פיתות תימניות,מארז 5 פיתות בסגנון תימני,15.5,15.50 ₪,5 יחידות,שופרסל,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/SZK44_M_P_7290012244643_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/פיתות/P_7290012244643.jpg
פיתות,P_9401790,מארז פיתות קמח מלא,מארז 5 פיתות קמח מלא,9.0,9.00 ₪,5 יחידות,שופרסל,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/WYH30_M_P_9401790_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/פיתות/P_9401790.jpg
פיתות,P_1598603,פיתות כוסמין קלות,פיתות כוסמין קלות,12.9,12.90 ₪,טאוברד,טאוברד,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/XTS32_M_P_1598603_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/פיתות/P_1598603.jpg
פיתות,P_1696231,מארז מיני פיתות מקמח מלא,מארז מיני פיתות מקמח מלא,17.5,17.50 ₪,10 יחידות,שופרסל,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/MEQ28_M_P_1696231_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/פיתות/P_1696231.jpg
פיתות,P_7290010777297,פיתות ביס 12 יחידות,פיתות ביס 12 יחידות,13.5,13.50 ₪,600 גרם,פיתה אקספרס,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/GJA58_M_P_7290010777297_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/פיתות/P_7290010777297.jpg
פיתות,P_481029,פיתות בטעם ביתי,פיתות בטעם ביתי,12.9,12.90 ₪,10 יחידות,דגנית עין בר,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/IOC24_M_P_481029_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/פיתות/P_481029.jpg
פיתות,P_7290010777525,פיתות 100% כוסמין מלא,פיתות 100% כוסמין מלא,17.8,17.80 ₪,6 * 50 גרם,פיתה אקספרס,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/GRU52_M_P_7290010777525_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/פיתות/P_7290010777525.jpg
פיתות,P_481043,פיתות כוסמין 10 יחידות,פיתות כוסמין 10 יחידות,16.5,16.50 ₪,700 גרם,תנעמי,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/IOQ20_M_P_481043_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/פיתות/P_481043.jpg
פיתות,P_7290018581407,פיתות ג'וניור כוסמין לבן,פיתות ג'וניור כוסמין לבן,13.9,13.90 ₪,330 גרם,טאוברד,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/GXC52_M_P_7290018581407_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/פיתות/P_7290018581407.jpg
פיתות,P_4685478,פיתות כוסמין 10 יחידות,פיתות כוסמין 10 יחידות,18.9,18.90 ₪,550 גרם,לחם הארץ,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/ODR42_M_P_4685478_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/פיתות/P_4685478.jpg
פיתות,P_497204,פיתות בשקית,פיתות בשקית,9.5,9.50 ₪,5 * 100 גרם,ברמן לחם,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/GMF26_M_P_497204_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/פיתות/P_497204.jpg
פיתות,P_7290016867282,פיתות כוסמין מלא,פיתות כוסמין מלא,19.5,19.50 ₪,8 יחידות,"המאפה של ד""ר מרק","https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/TFF58_M_P_7290016867282_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/פיתות/P_7290016867282.jpg
פיתות,P_7290016867046,פיתות קלות כוסמין,פיתות קלות כוסמין,17.5,17.50 ₪,6 יחידות,"המאפה של ד""ר מרק","https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/SWD56_M_P_7290016867046_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/פיתות/P_7290016867046.jpg
פיתות,P_7290016867152,פיתות קלות מקמח כוסמין,מארז פיתות קלות מקמח כוסמין,15.9,15.90 ₪,5 יחידות,"המאפה של ד""ר מרק","https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/TAF54_M_P_7290016867152_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/פיתות/P_7290016867152.jpg
