query,code,product_name,description,price,formatted_price,unit_description,brand,image_url,image_path
פתיתים,P_60200,פתיתים אפויים קוסקוס,פתיתים אפויים קוסקוס,7.9,7.90 ₪,500 גרם,אסם,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/KAJ08_M_P_60200_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/פתיתים/P_60200.jpg
פתיתים,P_60903,פתיתים אפויים אורז,פתיתים אפויים אורז,7.9,7.90 ₪,500 גרם,אסם,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/LBK18_M_P_60903_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/פתיתים/P_60903.jpg
פתיתים,P_7296073129431,פתיתים קוסקוס שופרסל,פתיתים אפויים בצורת קוסקוס,5.9,5.90 ₪,500 גרם,שופרסל,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/KWU54_M_P_7296073129431_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/פתיתים/P_7296073129431.jpg
פתיתים,P_7290100702611,פתיתים אפויים אורז,פתיתים אפויים אורז,6.5,6.50 ₪,500 גרם,סוגת,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/PYY36_M_P_7290100702611_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/פתיתים/P_7290100702611.jpg
פתיתים,P_60576,פתיתים אפויים כוכבים,פתיתים אפויים כוכבים,7.9,7.90 ₪,500 גרם,אסם,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/KOV24_M_P_60576_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/פתיתים/P_60576.jpg
פתיתים,P_7296073129479,פתיתים כוכבים,פתיתים אפויים בצורת כוכבים,5.9,5.90 ₪,500 גרם,שופרסל,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/KYQ66_M_P_7296073129479_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/פתיתים/P_7296073129479.jpg
פתיתים,P_7296073129462,פתיתים לבבות שופרסל,פתיתים אפויים בצורת לבבות,5.9,5.90 ₪,500 גרם,שופרסל,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/KXZ58_M_P_7296073129462_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/פתיתים/P_7296073129462.jpg
פתיתים,P_7290100702628,פתיתים אפויים קוסקוס,פתיתים אפויים קוסקוס,6.5,6.50 ₪,500 גרם,סוגת,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/PZP44_M_P_7290100702628_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/פתיתים/P_7290100702628.jpg
פתיתים,P_7296073129448,פתיתים טבעות שופרסל,פתיתים אפויים בצורת טבעות,5.9,5.90 ₪,500 גרם,שופרסל,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/KXL62_M_P_7296073129448_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/פתיתים/P_7296073129448.jpg
פתיתים,P_7296073143727,פתיתים אפויים 3 צבעים,פתיתים אפויים בשלושה צבעים,6.9,6.90 ₪,500 גרם,שופרסל,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/GAQ58_M_P_7296073143727_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/פתיתים/P_7296073143727.jpg
