query,code,product_name,description,price,formatted_price,unit_description,brand,image_url,image_path
קמח לבן,P_3107216,קמח לבן,קמח לבן,5.9,5.90 ₪,"1 ק""ג",טחנת קמח דגן,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/TLH20_M_P_3107216_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/קמח_לבן/P_3107216.jpg
קמח לבן,P_3107360,קמח לבן בהיר ללא ניפוי,קמח לבן בהיר ללא ניפוי,8.9,8.90 ₪,"1 ק""ג",טחנת קמח דגן,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/TQV20_M_P_3107360_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/קמח_לבן/P_3107360.jpg
קמח לבן,P_7290100704530,קמח כוסמין לבן,קמח כוסמין לבן,14.9,14.90 ₪,"1 ק""ג",סוגת,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/SUT38_M_P_7290100704530_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/קמח_לבן/P_7290100704530.jpg
קמח לבן,P_7296073021568,קמח חיטה לבן בהיר,קמח חיטה לבן בהיר,4.7,4.70 ₪,"1 ק""ג",שופרסל,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/HIF56_M_P_7296073021568_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/קמח_לבן/P_7296073021568.jpg
קמח לבן,P_7296073472797,קמח חיטה לבן מנופה,קמח חיטה לבן מנופה,7.4,7.40 ₪,"1 ק""ג",שופרסל,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/YVE70_M_P_7296073472797_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/קמח_לבן/P_7296073472797.jpg
קמח לבן,P_7296073472827,קמח תופח לבן מנופה,קמח תופח לבן מנופה,9.4,9.40 ₪,"1 ק""ג",שופרסל,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/YWI64_M_P_7296073472827_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/קמח_לבן/P_7296073472827.jpg
קמח לבן,P_7296073530398,קמח כוסמין לבן מנופה,קמח כוסמין לבן מנופה,15.5,15.50 ₪,"1 ק""ג",שופרסל,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/GAP62_M_P_7296073530398_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/קמח_לבן/P_7296073530398.jpg
קמח לבן,P_7290018581728,חלה מקמח כוסמין לבן,חלה מקמח כוסמין לבן,19.5,19.50 ₪,450 גרם,טאוברד,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/HJL58_M_P_7290018581728_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/קמח_לבן/P_7290018581728.jpg
קמח לבן,P_138,כרוב לבן,"כרוב לבן  כ 2 ק""ג - תוצרת ישראל",6.9,6.90 ₪,מחיר לפי משקל,קטיף.,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/EHI12_M_P_138_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/קמח_לבן/P_138.jpg
קמח לבן,P_1715,תפוח אדמה לבן ארוז,תפוח אדמה לבן ארוז,5.9,5.90 ₪,מחיר לפי משקל,שופרסל,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/BMY14_M_P_1715_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/קמח_לבן/P_1715.jpg
קמח לבן,P_7296073596455,תירס לבן,תירס לבן,21.9,21.90 ₪,יחידה,שופרסל,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/ZTG68_M_P_7296073596455_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/קמח_לבן/P_7296073596455.jpg
קמח לבן,P_9147759,כרוב לבן אורגני ארוז,כרוב לבן אורגני ארוז,11.9,11.90 ₪,יחידה,גרין,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/LDW42_M_P_9147759_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/קמח_לבן/P_9147759.jpg
קמח לבן,P_916248,כרוב לבן אורגני,כרוב לבן אורגני,11.9,11.90 ₪,יחידה,גרין,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/CJH30_M_P_916248_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/קמח_לבן/P_916248.jpg
קמח לבן,P_964362,פומלה לבנה,פומלה לבנה,8.9,8.90 ₪,מחיר לפי משקל,קטיף.,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/VNV30_M_P_964362_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/קמח_לבן/P_964362.jpg
