query,code,product_name,description,price,formatted_price,unit_description,brand,image_url,image_path
קרקרים,P_7290014321199,קרקרים פשתן צ'ילי פיקנטי,קרקרים פשתן צ'ילי פיקנטי,25.9,25.90 ₪,125 גרם,לאס אנד מור,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/WUY48_M_P_7290014321199_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/קרקרים/P_7290014321199.jpg
קרקרים,P_8434165466333,מיני קרקרים עגולים,מיני קרקרים עגולים,11.9,11.90 ₪,350 גרם,krit,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/UPI56_M_P_8434165466333_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/קרקרים/P_8434165466333.jpg
קרקרים,P_8434165466326,מיני קרקרים פאב מיקס,מיני קרקרים מיקס,11.9,11.90 ₪,350 גרם,krit,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/UPB58_M_P_8434165466326_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/קרקרים/P_8434165466326.jpg
קרקרים,P_7296073661337,קרקר שמנת בצל,קרקרים בטעם שמנת ובצל,7.9,7.90 ₪,80 גרם,SNACK BITES,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/RSS60_M_P_7296073661337_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/קרקרים/P_7296073661337.jpg
קרקרים,P_7296073661313,קרקר פטריות כמהין,קרקרים בטעם פטריות כמהין,7.9,7.90 ₪,80 גרם,SNACK BITES,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/RRU54_M_P_7296073661313_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/קרקרים/P_7296073661313.jpg
קרקרים,P_8008698003503,קרקרים מלבניים שר,קרקרים מלבניים שר,29.9,29.90 ₪,210 גרם,שר,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/ERO50_M_P_8008698003503_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/קרקרים/P_8008698003503.jpg
קרקרים,P_8434165466166,קריט קרקרים מלוחים,קריט קרקרים מלוחים,8.9,8.90 ₪,200 גרם,krit,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/UIX60_M_P_8434165466166_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/קרקרים/P_8434165466166.jpg
קרקרים,P_74375,קרקר זהב אסם,קרקר זהב,7.9,7.90 ₪,150 גרם,אסם,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/EZO26_M_P_74375_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/קרקרים/P_74375.jpg
קרקרים,P_7290014321205,קיטו קרקרים גרעיני פשתן,קיטו קרקרים עם גרעיני פשתן,25.9,25.90 ₪,125 גרם,לאס אנד מור,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/WVE36_M_P_7290014321205_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/קרקרים/P_7290014321205.jpg
קרקרים,P_7290112968807,קרקר דק פיטנס סלק,קרקר דק פיטנס סלק,13.3,13.30 ₪,140 גרם,פיטנס,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/NFS60_M_P_7290112968807_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/קרקרים/P_7290112968807.jpg
