query,code,product_name,description,price,formatted_price,unit_description,brand,image_url,image_path
שמנת חמוצה,P_41858,שמנת חמוצה 15% מועשרת,שמנת חמוצה 15% מועשרת,3.3,3.30 ₪,"200 מ""ל",יטבתה,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/IWX26_M_P_41858_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/שמנת_חמוצה/P_41858.jpg
שמנת חמוצה,P_4125509,שמנת חמוצה 15% חצי מנה,שמנת חמוצה 15% חצי מנה,2.1,2.10 ₪,"100 מ""ל",תנובה,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/RUK26_M_P_4125509_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/שמנת_חמוצה/P_4125509.jpg
שמנת חמוצה,P_4125370,שמנת חמוצה תנובה 9% שומן,שמנת חמוצה תנובה 9% שומן,4.6,4.60 ₪,"200 מ""ל",תנובה,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/RPB22_M_P_4125370_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/שמנת_חמוצה/P_4125370.jpg
שמנת חמוצה,P_4125455,שמנת תנובה 15% שומן,שמנת תנובה 15%שומן,2.77,2.77 ₪,"200 מ""ל",תנובה,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/RSI26_M_P_4125455_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/שמנת_חמוצה/P_4125455.jpg
שמנת חמוצה,P_72963753,שמנת של פעם חמוצה 27%,שמנת של פעם חמוצה 27%,5.1,5.10 ₪,200 גרם,תנובה,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/HNE42_M_P_72963753_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/שמנת_חמוצה/P_72963753.jpg
שמנת חמוצה,P_7296073269991,שמן זרעי ענבים,שמן זרעי ענבים,51.9,51.90 ₪,1 ליטר,גרין,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/KUY70_M_P_7296073269991_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/שמנת_חמוצה/P_7296073269991.jpg
שמנת חמוצה,P_8052440756315,שמן קנולה אורגני,שמן קנולה אורגני,38.9,38.90 ₪,1 ליטר,נטורפוד,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/QXG50_M_P_8052440756315_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/שמנת_חמוצה/P_8052440756315.jpg
שמנת חמוצה,P_7296073703792,שמן זית אורגני,שמן זית כתית מעולה אורגני,39.9,39.90 ₪,"750 מ""ל",גרין,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/CNP62_M_P_7296073703792_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/שמנת_חמוצה/P_7296073703792.jpg
שמנת חמוצה,P_8017938005122,חומץ תפוחים אורגני,חומץ תפוחים אורגני,19.9,19.90 ₪,"750 מ""ל",מריה לוציה,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/EDF46_M_P_8017938005122_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/שמנת_חמוצה/P_8017938005122.jpg
שמנת חמוצה,P_8007270999012,שמן גרעיני ענבים דורו,שמן גרעיני ענבים דורו,54.9,54.90 ₪,1 ליטר,קוסטה ד'אורו,"https://res.cloudinary.com/shufersal/image/upload/f_auto,q_auto/v1551800922/prod/product_images/products_medium/RHL54_M_P_8007270999012_1.png",/Users/noa/Desktop/PriceComparisonApp/data/images/שמנת_חמוצה/P_8007270999012.jpg
